particular,A002,A003,A004,A006,A007,A008,A009,A010,A014,A017,A018,A019,A020,A021,A022,A029,A117,A118,A119,A121,A122,A123,A124,A126,A127,Total
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               National Dairy Authority,0,0,0,0,0,0,0,"315,022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"315,022"
               National Food Authority,0,0,0,0,0,0,0,"9,189,261",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,189,261"
               National Irrigation Administration,0,0,0,0,0,0,0,"450,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"450,000"
               National Tobacco Administration,0,0,0,0,0,0,0,"77,454",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"77,454"
               Philippine Coconut Authority,0,0,0,0,0,0,0,"552,700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"552,700"
               Philippine Crop Insurance Corporation,0,0,0,0,0,0,0,"113,771",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"113,771"
               Philippine Fisheries Development Authority,0,0,0,0,0,0,0,"500,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"500,000"
               Philippine Rice Research Institute,0,0,0,0,0,0,0,"453,504",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"453,504"
               National Livelihood Development Corporation,0,0,0,0,0,0,0,"598,840",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"598,840"
,,,,,,,,,,,,,,,,,,,,,,,,,,
          Department of Energy,0,0,0,0,0,0,0,"15,752,655",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,752,655"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               National Electrification Administration,0,0,0,0,0,0,0,"1,660,572",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,660,572"
               National Power Corporation,0,0,0,0,0,0,0,"14,092,083",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14,092,083"
,,,,,,,,,,,,,,,,,,,,,,,,,,
          Department of Environment and Natural Resources,0,0,0,0,0,0,0,"565,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"565,000"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Laguna Lake Development Authority,0,0,0,0,0,0,0,"117,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"117,000"
               Natural Resources Development Corporation,0,0,0,0,0,0,0,"448,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"448,000"
,,,,,,,,,,,,,,,,,,,,,,,,,,
          Department of Finance,0,0,0,0,0,0,0,"4,183,362",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,183,362"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Philippine Deposit Insurance Corporation,0,0,0,0,0,0,0,"4,183,362",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,183,362"
,,,,,,,,,,,,,,,,,,,,,,,,,,
          Department of Health,0,0,0,0,0,0,0,"8,584,270",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,584,270"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Local Water Utilities Administration,0,0,0,0,0,0,0,"52,800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"52,800"
               Lung Center of the Philippines,0,0,0,0,0,0,0,"288,083",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"288,083"
               National Kidney and Transplant Institute,0,0,0,0,0,0,0,"337,282",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"337,282"
               Philippine Children`s Medical Center,0,0,0,0,0,0,0,"640,858",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"640,858"
               Philippine Heart Center,0,0,0,0,0,0,0,"631,511",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"631,511"
               Philippine Health Insurance Corporation,0,0,0,0,0,0,0,"6,596,736",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,596,736"
               Philippine Institute of Traditional and,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Alternative Health Care,0,0,0,0,0,0,0,"37,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"37,000"
,,,,,,,,,,,,,,,,,,,,,,,,,,
          Department of Science and Technology,0,0,0,0,0,0,0,"336,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"336,000"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Technology Resource Center,0,0,0,0,0,0,0,"336,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"336,000"
,,,,,,,,,,,,,,,,,,,,,,,,,,
          Department of Tourism,0,0,0,0,0,0,0,"65,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"65,000"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Tourism Promotions Board,0,0,0,0,0,0,0,"65,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"65,000"
,,,,,,,,,,,,,,,,,,,,,,,,,,
          Department of Trade and Industry,0,0,0,0,0,0,0,"155,186",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"155,186"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Aurora Pacific Economic Zone and,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Freeport Authority (formerly ASEZA),0,0,0,0,0,0,0,"67,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"67,500"
               Center for International Trade,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Expositions and Missions,0,0,0,0,0,0,0,"79,686",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"79,686"
               Cottage Industry Technology Center,0,0,0,0,0,0,0,"8,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,000"
,,,,,,,,,,,,,,,,,,,,,,,,,,
          Department of Transportation and Communications,0,0,0,0,0,0,0,"2,767,694",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,767,694"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Light Rail Transit Authority,0,0,0,0,0,0,0,"1,867,512",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,867,512"
               Philippine National Railways,0,0,0,0,0,0,0,"900,182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"900,182"
,,,,,,,,,,,,,,,,,,,,,,,,,,
          National Economic and Development Authority,0,0,0,0,0,0,0,"685,300",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"685,300"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Philippine Institute for Development Studies,0,0,0,0,0,0,0,"685,300",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"685,300"
,,,,,,,,,,,,,,,,,,,,,,,,,,
          Presidential Communications Operations Office,0,0,0,0,0,0,0,"41,613",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"41,613"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
"               People`s Television Network, Incorporated",0,0,0,0,0,0,0,"41,613",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"41,613"
,,,,,,,,,,,,,,,,,,,,,,,,,,
          Other Executive Offices,0,0,0,0,0,0,0,"21,996,707",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"21,996,707"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Credit Information Corporation,0,0,0,0,0,0,0,"17,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"17,500"
               Cultural Center of the Philippines,0,0,0,0,0,0,0,"201,625",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"201,625"
               Development Academy of the Philippines,0,0,0,0,0,0,0,"216,124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"216,124"
               Development Bank of the Philippines,0,0,0,0,0,0,0,"12,390",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,390"
               National Home Mortgage Finance Corporation,0,0,0,0,0,0,0,"500,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"500,000"
               National Housing Authority,0,0,0,0,0,0,0,"20,001,100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20,001,100"
               Philippine Postal Corporation,0,0,0,0,0,0,0,"939,868",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"939,868"
               Southern Philippines Development Authority,0,0,0,0,0,0,0,"59,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"59,000"
               Zamboanga City Special Economic Zone Authority,0,0,0,0,0,0,0,"49,100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"49,100"
,,,,,,,,,,,,,,,,,,,,,,,,,,
     Allocation to Local Government Units,8,"3,592","20,635",0,"74,302","1,005",0,"314,389,088","47,407","1,772",0,0,0,79,0,"815,757",0,0,438,0,0,0,0,0,0,"315,354,083"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Internal Revenue Allotment,0,0,0,0,0,0,0,"286,944,239",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"286,944,239"
          Special Shares of Local Government Units in,,,,,,,,,,,,,,,,,,,,,,,,,,
                the Proceeds of National Taxes,0,0,0,0,0,0,0,"10,943,143",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,943,143"
          Metropolitan Manila Development Authority,8,"3,592","20,635",0,"74,302","1,005",0,0,"47,407","1,772",0,0,0,79,0,"815,757",0,0,438,0,0,0,0,0,0,"964,995"
          Special Financial Assistance to Local,,,,,,,,,,,,,,,,,,,,,,,,,,
                Government Units,0,0,0,0,0,0,0,"8,275,902",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,275,902"
          Local Government Support Fund (Formerly,,,,,,,,,,,,,,,,,,,,,,,,,,
                Financial Subsidy to Local Government Units),0,0,0,0,0,0,0,"8,225,804",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,225,804"
,,,,,,,,,,,,,,,,,,,,,,,,,,
     Debt Service Fund-Interest Payment,0,0,0,0,0,0,"278,996,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"278,996,000"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
GRAND TOTAL,"7,739,846","2,692,722","21,230,005","604,179","39,005,780","10,159,289","279,244,561","442,588,131","8,430,245","9,109,739","2,955,827","752,954","442,417","15,583,860","292,958","28,508,933","1,142,498","553,027","1,725,624","9,860","247,018","751,616","2,871,220","44,626","71,216","876,758,151"
