function_or_program_or_project_or_activity_a,function_or_program_or_project_or_activity_b,appropriation,allotment,obligation,balance_of_appropriation,balance_of_allotments
Jct. Ibung-Careb Rd Villaverde and Bagabag (8000.4.4.38)-2704010113,Capital Outlay,4747.38,4747.38,0,0,4747.38
Ibung-Nagbitin-Calao Road-Villaverde (8000.4.4.39)-2704010114,Ibung-Nagbitin-Calao Road-Villaverde (8000.4.4.39)-2704010114,8413.76,8413.76,0,0,8413.76
Ibung-Nagbitin-Calao Road-Villaverde (8000.4.4.39)-2704010114,Capital Outlay,8413.76,8413.76,0,0,8413.76
Lubbunan-Sawmill Road-Villaverde (8000.4.4.40)-2704010115,Lubbunan-Sawmill Road-Villaverde (8000.4.4.40)-2704010115,15559.06,15559.06,0,0,15559.06
Lubbunan-Sawmill Road-Villaverde (8000.4.4.40)-2704010115,Capital Outlay,15559.06,15559.06,0,0,15559.06
Maddiangat-Paitan Road-Quezon (8000.4.4.45)-2704010116,Maddiangat-Paitan Road-Quezon (8000.4.4.45)-2704010116,11525.76,11525.76,0,0,11525.76
Maddiangat-Paitan Road-Quezon (8000.4.4.45)-2704010116,Capital Outlay,11525.76,11525.76,0,0,11525.76
Baresbes-Nalub-Caliat-Darubba Rd-Quezon (8000.4.4.47)-2704010117,Baresbes-Nalub-Caliat-Darubba Rd-Quezon (8000.4.4.47)-2704010117,15097.42,15097.42,0,0,15097.42
Baresbes-Nalub-Caliat-Darubba Rd-Quezon (8000.4.4.47)-2704010117,Capital Outlay,15097.42,15097.42,0,0,15097.42
Diffuday Bonifacio Rd-Quezon (8000.4.4.48)-2704010118,Diffuday Bonifacio Rd-Quezon (8000.4.4.48)-2704010118,11494.74,11494.74,0,0,11494.74
Diffuday Bonifacio Rd-Quezon (8000.4.4.48)-2704010118,Capital Outlay,11494.74,11494.74,0,0,11494.74
CVR Kinacao-Kurasay-Kinalabasa Road-Bagabag (8000.4.4.49)-2704010119,CVR Kinacao-Kurasay-Kinalabasa Road-Bagabag (8000.4.4.49)-2704010119,27615.59,27615.59,0,0,27615.59
CVR Kinacao-Kurasay-Kinalabasa Road-Bagabag (8000.4.4.49)-2704010119,Capital Outlay,27615.59,27615.59,0,0,27615.59
CVR Nagsabaran-Decabacan-Ampakleng Road-Diadi (8000.4.4.50)-2704010120,CVR Nagsabaran-Decabacan-Ampakleng Road-Diadi (8000.4.4.50)-2704010120,3965.34,3965.34,0,0,3965.34
CVR Nagsabaran-Decabacan-Ampakleng Road-Diadi (8000.4.4.50)-2704010120,Capital Outlay,3965.34,3965.34,0,0,3965.34
CVR Diadi-Escoting-Arwas-Talictic Road-Diadi (8000.4.4.51)-2704010121,CVR Diadi-Escoting-Arwas-Talictic Road-Diadi (8000.4.4.51)-2704010121,13590.92,13590.92,0,0,13590.92
CVR Diadi-Escoting-Arwas-Talictic Road-Diadi (8000.4.4.51)-2704010121,Capital Outlay,13590.92,13590.92,0,0,13590.92
Luyang-Reservoir (8000.4.4.53)-2704010122,Luyang-Reservoir (8000.4.4.53)-2704010122,500000,500000,492719.66,0,7280.34
Luyang-Reservoir (8000.4.4.53)-2704010122,Capital Outlay,500000,500000,492719.66,0,7280.34
Provincial Roads Rehabilitation Improvement-27040102,Provincial Roads Rehabilitation Improvement-27040102,542177.23,542177.23,248222.73,0,293954.5
Provincial Roads Rehabilitation Improvement-27040102,Maintenance and Other Operating Expenses,542177.23,542177.23,248222.73,0,293954.5
Provincial Roads Flood Control Structures Project-27040103,Provincial Roads Flood Control Structures Project-27040103,416552.35,416552.35,307189.42,0,109362.93
Provincial Roads Flood Control Structures Project-27040103,Capital Outlay,416552.35,416552.35,307189.42,0,109362.93
Provincial Roads Maintenance Project (Province Wide)-27040104 Provincial Roads Maintenance Project (Provincewide)-2704010401,Provincial Roads Maintenance Project (Province Wide)-27040104 Provincial Roads Maintenance Project (Provincewide)-2704010401,1337506.68,1337506.68,1036959.19,0,300547.49
Provincial Roads Maintenance Project (Province Wide)-27040104 Provincial Roads Maintenance Project (Provincewide)-2704010401,Maintenance and Other Operating Expenses,1337506.68,1337506.68,1036959.19,0,300547.49
"Maintenance of Provincial Roads (Fuel, Oil, Spareparts and Maintenance Materials)-2704010402","Maintenance of Provincial Roads (Fuel, Oil, Spareparts and Maintenance Materials)-2704010402",3227019.86,3227019.86,1897091.63,0,1329928.23
"Maintenance of Provincial Roads (Fuel, Oil, Spareparts and Maintenance Materials)-2704010402",Maintenance and Other Operating Expenses,3227019.86,3227019.86,1897091.63,0,1329928.23
Construction of Padol Bridge Phase Ii (Ao#2011-180)-27040105,Construction of Padol Bridge Phase Ii (Ao#2011-180)-27040105,6798513.65,6798513.65,6668778.35,0,129735.3
Construction of Padol Bridge Phase Ii (Ao#2011-180)-27040105,Capital Outlay,6798513.65,6798513.65,6668778.35,0,129735.3
Concreting and Improvement of Various Provincial Roads-AO # 2011-208-27040106,Concreting and Improvement of Various Provincial Roads-AO # 2011-208-27040106,35000000,19560000,2201121.45,15440000,17358878.55
Concreting and Improvement of Various Provincial Roads-AO # 2011-208-27040106,Capital Outlay,35000000,19560000,2201121.45,15440000,17358878.55
Environment and Natural Resources Office - 270402 Rehabilitation and Refo of Dupax Sur Watershed Forest Reserve (8000.8.3.4)-27040201,Environment & Natural Resources Office - 270402 Rehabilitation & Refo of Dupax Sur Watershed Forest Reserve (8000.8.3.4)-27040201,24950,24950,5205,0,19745
Environment and Natural Resources Office - 270402 Rehabilitation and Refo of Dupax Sur Watershed Forest Reserve (8000.8.3.4)-27040201,Maintenance and Other Operating Expenses,24950,24950,5205,0,19745
Marang Sub-Watershed Rehabilitation Project (8000.8.3.6)-27040202,Marang Sub-Watershed Rehabilitation Project (8000.8.3.6)-27040202,94475,94475,72000,0,22475
Marang Sub-Watershed Rehabilitation Project (8000.8.3.6)-27040202,Maintenance And Other Operating,94475,94475,72000,0,22475
Protection and Management of Barobbob Watershed (8000.8.3.7)-27040203,Protection and Management of Barobbob Watershed (8000.8.3.7)-27040203,12000,12000,0,0,12000
Protection and Management of Barobbob Watershed (8000.8.3.7)-27040203,Maintenance and Other Operating Expenses,12000,12000,0,0,12000
Malico-Sta Rosa Refo Project (8000.8.3.8)-27040204,Malico-Sta Rosa Refo Project (8000.8.3.8)-27040204,105940,105940,14670,0,91270
Malico-Sta Rosa Refo Project (8000.8.3.8)-27040204,Maintenance And Other Operating,105940,105940,14670,0,91270
Rehabilitation Development Protection and Maint of Biruk Watershed for Biodiversity Conservation and Climate Change Mitigation (8000.8.3.9) (ENRO/FRENDS)-27040205,Rehabilitation Development Protection & Maint of Biruk Watershed for Biodiversity Conservation and Climate Change Mitigation (8000.8.3.9) (ENRO/FRENDS)-27040205,15075,15075,0,0,15075
Rehabilitation Development Protection and Maint of Biruk Watershed for Biodiversity Conservation and Climate Change Mitigation (8000.8.3.9) (ENRO/FRENDS)-27040205,Maintenance and Other Operating Expenses,15075,15075,0,0,15075
Merging Socio-Economic Development and Biodiversity Conservation In Mt. Palali through Community based Management Approach (8000.8.3.10) (Enro/Frends)-27040206,Merging Socio-Economic Development and Biodiversity Conservation In Mt. Palali through Community based Management Approach (8000.8.3.10) (Enro/Frends)-27040206,22095,22095,0,0,22095
Merging Socio-Economic Development and Biodiversity Conservation In Mt. Palali through Community based Management Approach (8000.8.3.10) (Enro/Frends)-27040206,Maintenance and Other Operating Expenses,22095,22095,0,0,22095
Nueva Vizcaya Million Tree Program (8000.8.3.13)-27040207,Nueva Vizcaya Million Tree Program (8000.8.3.13)-27040207,500000,500000,166101.27,0,333898.73
Nueva Vizcaya Million Tree Program (8000.8.3.13)-27040207,Maintenance and Other Operating Expenses,500000,500000,166101.27,0,333898.73
Nueva Vizcaya Million Tree Program (8000.8.3.13)-27040207,Nueva Vizcaya Million Tree Program (8000.8.3.13)-27040207,36439.67,36439.67,0,0,36439.67
Nueva Vizcaya Million Tree Program (8000.8.3.13)-27040207,Maintenance and Other Operating Expenses,36439.67,36439.67,0,0,36439.67
Establishment of Coconut Plantation (Lower Magat) (8000.8.4.3)-27040209,Establishment of Coconut Plantation (Lower Magat) (8000.8.4.3)-27040209,18136.03,18136.03,17584.23,0,551.8
Establishment of Coconut Plantation (Lower Magat) (8000.8.4.3)-27040209,Maintenance and Other Operating Expenses,18136.03,18136.03,17584.23,0,551.8
DBP-PLGU Refo Project (8000.8.4.4)-27040210,DBP-PLGU Refo Project (8000.8.4.4)-27040210,500000,500000,47788.66,0,452211.34
DBP-PLGU Refo Project (8000.8.4.4)-27040210,Maintenance and Other Operating Expenses,500000,500000,47788.66,0,452211.34
Sustainable Environment Development in the Grassroots Level through Cooperation and Peoples Initiatives (8000.8.4.8)-27040211,Sustainable Environment Development in the Grassroots Level through Cooperation and Peoples Initiatives (8000.8.4.8)-27040211,94490,94490,94440,0,50
Sustainable Environment Development in the Grassroots Level through Cooperation and Peoples Initiatives (8000.8.4.8)-27040211,Maintenance and Other Operating Expenses,94490,94490,94440,0,50
Agroforestry Model: An Implementation of the Integrated Resource Managmentt Plan (IRMP) for the Co-Management Agreement In Buliwao-Maasin Quezon (8000.8.4.9)-27040212,Agroforestry Model: An Implementation of the Integrated Resource Managmentt Plan (IRMP) for the Co-Management Agreement In Buliwao-Maasin Quezon (8000.8.4.9)-27040212,38200,38200,1705,0,36495
Agroforestry Model: An Implementation of the Integrated Resource Managmentt Plan (IRMP) for the Co-Management Agreement In Buliwao-Maasin Quezon (8000.8.4.9)-27040212,Maintenance and Other Operating Expenses,38200,38200,1705,0,36495
Provincial Nursery Operation Project (8000.8.5.1)-27040213,Provincial Nursery Operation Project (8000.8.5.1)-27040213,267209.33,267209.33,48820.97,0,218388.36
Provincial Nursery Operation Project (8000.8.5.1)-27040213,Maintenance and Other Operating Expenses,267209.33,267209.33,48820.97,0,218388.36
Community Alternative Livelihood: Seedling Production Project (8000.8.5.2)-27040214,Community Alternative Livelihood: Seedling Production Project (8000.8.5.2)-27040214,16200,16200,10300,0,5900
Community Alternative Livelihood: Seedling Production Project (8000.8.5.2)-27040214,Maintenance and Other Operating Expenses,16200,16200,10300,0,5900
Bamboo Production and Plantation Project (8000.8.6.2)-27040215,Bamboo Production and Plantation Project (8000.8.6.2)-27040215,89640,89640,0,0,89640
Bamboo Production and Plantation Project (8000.8.6.2)-27040215,Maintenance and Other Operating Expenses,89640,89640,0,0,89640
Save the Magat River Project (8000.8.6.3)-27040216,Save the Magat River Project (8000.8.6.3)-27040216,28944.76,28944.76,0,0,28944.76
Save the Magat River Project (8000.8.6.3)-27040216,Maintenance and Other Operating Expenses,28944.76,28944.76,0,0,28944.76
Rehabilitation and Protection of Sta. Fe Riverbank through the Estabishment of Bamboo Plantation (8000.8.6.6)-27040217,Rehabilitation & Protection of Sta. Fe Riverbank through the Estabishment of Bamboo Plantation (8000.8.6.6)-27040217,80895.59,80895.59,0,0,80895.59
Rehabilitation and Protection of Sta. Fe Riverbank through the Estabishment of Bamboo Plantation (8000.8.6.6)-27040217,Maintenance and Other Operating Expenses,80895.59,80895.59,0,0,80895.59
Bantay Gubat Project (8000.8.7.1)-27040218,Bantay Gubat Project (8000.8.7.1)-27040218,1046.79,1046.79,0,0,1046.79
Bantay Gubat Project (8000.8.7.1)-27040218,Maintenance and Other Operating Expenses,1046.79,1046.79,0,0,1046.79
Capability Building on Fire Prevention and Suppression within Forest Zones-27040219,Capability Building on Fire Prevention and Suppression within Forest Zones-27040219,76600,76600,60172.5,0,16427.5
Capability Building on Fire Prevention and Suppression within Forest Zones-27040219,Maintenance and Other Operating Expenses,76600,76600,60172.5,0,16427.5
Livelihood Support Project for Upland Farmers (8000.8.8.1)-27040220,Livelihood Support Project for Upland Farmers (8000.8.8.1)-27040220,47525,47525,6598.2,0,40926.8
Livelihood Support Project for Upland Farmers (8000.8.8.1)-27040220,Maintenance and Other Operating Expenses,47525,47525,6598.2,0,40926.8
Fame Project (8000.8.8.2)-27040221,Fame Project (8000.8.8.2)-27040221,211210.56,211210.56,34175.63,0,177034.93
Fame Project (8000.8.8.2)-27040221,Maintenance and Other Operating Expenses,211210.56,211210.56,34175.63,0,177034.93
Establishment of Nursery for the Extraction of Essential Oil and Provision of Extraction Machinery (8000.8.8.3)-27040222,Establishment of Nursery for the Extraction of Essential Oil and Provision of Extraction Machinery (8000.8.8.3)-27040222,2748,2748,0,0,2748
Establishment of Nursery for the Extraction of Essential Oil and Provision of Extraction Machinery (8000.8.8.3)-27040222,Maintenance and Other Operating Expenses,2748,2748,0,0,2748
Fabrication on ENR Protection Billboards Project (8000.8.9.1)-27040223,Fabrication on ENR Protection Billboards Project (8000.8.9.1)-27040223,67600,67600,58751.5,0,8848.5
Fabrication on ENR Protection Billboards Project (8000.8.9.1)-27040223,Maintenance and Other Operating Expenses,67600,67600,58751.5,0,8848.5
Allocation of Open Access Areas within the LMFR (8000.8.10.2)-27040224,Allocation of Open Access Areas within the LMFR (8000.8.10.2)-27040224,98848.34,98848.34,9817,0,89031.34
Allocation of Open Access Areas within the LMFR (8000.8.10.2)-27040224,Maintenance and Other Operating Expenses,98848.34,98848.34,9817,0,89031.34
ISR-CBFM Projects (8000.8.10.3)-27040225,ISR-CBFM Projects (8000.8.10.3)-27040225,33610,33610,7381,0,26229
ISR-CBFM Projects (8000.8.10.3)-27040225,Maintenance and Other Operating Expenses,33610,33610,7381,0,26229
Conduct of Training On SWW/AWM (8000.9.3.1)-27040226,Conduct of Training On SWW/AWM (8000.9.3.1)-27040226,7465,1615,0,5850,1615
Conduct of Training On SWW/AWM (8000.9.3.1)-27040226,Maintenance and Other Operating Expenses,7465,1615,0,5850,1615
Provision of Technical Assistance (8000.9.3.2)-27040227,Provision of Technical Assistance (8000.9.3.2)-27040227,25100,21500,1835,3600,19665
Provision of Technical Assistance (8000.9.3.2)-27040227,Maintenance and Other Operating Expenses,25100,21500,1835,3600,19665
Establishment Of MRFS (8000.9.3.3)-27040228,Establishment Of MRFS (8000.9.3.3)-27040228,27450,21600,21600,5850,0
Establishment Of MRFS (8000.9.3.3)-27040228,Maintenance and Other Operating Expenses,27450,21600,21600,5850,0
Establish Model/Pilot SWM (8000.9.3.7)-27040229,Establish Model/Pilot SWM (8000.9.3.7)-27040229,27911.53,10411.53,3740,17500,6671.53
Establish Model/Pilot SWM (8000.9.3.7)-27040229,Maintenance and Other Operating Expenses,27911.53,10411.53,3740,17500,6671.53
Vermicomposting: A Step to Reduce Waste and an Income Generation for Women in Nueva Vizcaya (8000.9.3.11)-27040230,Vermicomposting: A Step to Reduce Waste and an Income Generation for Women in Nueva Vizcaya (8000.9.3.11)-27040230,41660,33860,7750,7800,26110
Vermicomposting: A Step to Reduce Waste and an Income Generation for Women in Nueva Vizcaya (8000.9.3.11)-27040230,Maintenance and Other Operating Expenses,41660,33860,7750,7800,26110
"Operationalization Of Quarry, SAG and SSM, Regulatory Board-27040231","Operationalization Of Quarry, SAG and SSM, Regulatory Board-27040231",100000,84250,0,15750,84250
"Operationalization Of Quarry, SAG and SSM, Regulatory Board-27040231",Maintenance and Other Operating Expenses,100000,84250,0,15750,84250
Provincial Agriculture Office-270403 Rice Subsidy Assistance Project (8000.14.2)-27040301,Provincial Agriculture Office-270403 Rice Subsidy Assistance Project (8000.14.2)-27040301,839427.83,711927.83,97233.23,127500,614694.6
Provincial Agriculture Office-270403 Rice Subsidy Assistance Project (8000.14.2)-27040301,Maintenance and Other Operating Expenses,839427.83,711927.83,97233.23,127500,614694.6
Vegetable Development Project (8000.14.8)-27040302,Vegetable Development Project (8000.14.8)-27040302,298639.96,214389.96,0,84250,214389.96
Vegetable Development Project (8000.14.8)-27040302,Maintenance and Other Operating Expenses,298639.96,214389.96,0,84250,214389.96
Exotic Fruit Tree Farm Project (8000.14.10)-27040303,Exotic Fruit Tree Farm Project (8000.14.10)-27040303,91658.93,91658.93,0,0,91658.93
Exotic Fruit Tree Farm Project (8000.14.10)-27040303,Maintenance and Other Operating Expenses,91658.93,91658.93,0,0,91658.93
Dragon Fruit Production Project (8000.14.11)-27040304,Dragon Fruit Production Project (8000.14.11)-27040304,50000,50000,0,0,50000
Dragon Fruit Production Project (8000.14.11)-27040304,Maintenance and Other Operating Expenses,50000,50000,0,0,50000
Balik-Igat and Gourami Species Production Project (8000.15.1)-27040305,Balik-Igat and Gourami Species Production Project (8000.15.1)-27040305,90220,90220,0,0,90220
Balik-Igat and Gourami Species Production Project (8000.15.1)-27040305,Maintenance and Other Operating Expenses,90220,90220,0,0,90220
"Fish Sanctuary Development, Promotion And Protection (8000.15.2)-27040306","Fish Sanctuary Development, Promotion And Protection (8000.15.2)-27040306",28002,28002,0,0,28002
"Fish Sanctuary Development, Promotion And Protection (8000.15.2)-27040306",Maintenance and Other Operating Expenses,28002,28002,0,0,28002
Establishment of Technology Demonstration on the Culture of Pangasius (8000.15.4-A)-27040307,Establishment of Technology Demonstration on the Culture of Pangasius (8000.15.4-A)-27040307,52000,52000,22500,0,29500
Establishment of Technology Demonstration on the Culture of Pangasius (8000.15.4-A)-27040307,Maintenance and Other Operating Expenses,52000,52000,22500,0,29500
Establishment of Technology Demonstration on the Utilization of Natural Fish Food as Supplementary Feed for Tilapia (8000.15.4-B)-27040308,Establishment of Technology Demonstration on the Utilization of Natural Fish Food as Supplementary Feed for Tilapia (8000.15.4-B)-27040308,60000,0,0,60000,0
Establishment of Technology Demonstration on the Utilization of Natural Fish Food as Supplementary Feed for Tilapia (8000.15.4-B)-27040308,Maintenance and Other Operating Expenses,60000,0,0,60000,0
PAFC Operationalization (8000.16.2) - 27040309,PAFC Operationalization (8000.16.2) - 27040309,176000,0,0,176000,0
PAFC Operationalization (8000.16.2) - 27040309,Maintenance and Other Operating Expenses,176000,0,0,176000,0
Farm-To-Market Roads (8000.17.4)-27040310,Farm-To-Market Roads (8000.17.4)-27040310,30411.41,30411.41,0,0,30411.41
Farm-To-Market Roads (8000.17.4)-27040310,Maintenance and Other Operating Expenses,30411.41,30411.41,0,0,30411.41
Postharvest Facility Support Services Project (8000.18.2)-27040311,Postharvest Facility Support Services Project (8000.18.2)-27040311,347166.55,347166.55,319404.41,0,27762.14
Postharvest Facility Support Services Project (8000.18.2)-27040311,Maintenance and Other Operating Expenses,347166.55,347166.55,319404.41,0,27762.14
Provincial Veterinary-270404 Swine Upgrading Project-Rectal Palpation (8000.22.1A)-27040401,Provincial Veterinary-270404 Swine Upgrading Project-Rectal Palpation (8000.22.1A)-27040401,29829.5,29829.5,27960,0,1869.5
Provincial Veterinary-270404 Swine Upgrading Project-Rectal Palpation (8000.22.1A)-27040401,Maintenance and Other Operating Expenses,29829.5,29829.5,27960,0,1869.5
Carabao and Cattle Upgrading Project-Rectal Palpation (8000.22.2)-27040402,Carabao & Cattle Upgrading Project-Rectal Palpation (8000.22.2)-27040402,14294.65,14294.65,10222.15,0,4072.5
Carabao and Cattle Upgrading Project-Rectal Palpation (8000.22.2)-27040402,Maintenance and Other Operating Expenses,14294.65,14294.65,10222.15,0,4072.5
Small Ruminant Upgrading Project-Maint of Breeding Animals (8000.22.3A)-27040403,Small Ruminant Upgrading Project-Maint of Breeding Animals (8000.22.3A)-27040403,90870,90870,85850,0,5020
Small Ruminant Upgrading Project-Maint of Breeding Animals (8000.22.3A)-27040403,Maintenance and Other Operating Expenses,90870,90870,85850,0,5020
Dairy Development Project-Training of Qualified Recipients (8000.22.4A)-27040404,Dairy Development Project-Training of Qualified Recipients (8000.22.4A)-27040404,61008.37,61008.37,35605.77,0,25402.6
Dairy Development Project-Training of Qualified Recipients (8000.22.4A)-27040404,Maintenance and Other Operating Expenses,61008.37,61008.37,35605.77,0,25402.6
Wildlife Restoration and Conservation Project-Maintenance of Show Animals (8000.22.5A)-27040405,Wildlife Restoration and Conservation Project-Maintenance of Show Animals (8000.22.5A)-27040405,261681.4,261681.4,0,0,261681.4
Wildlife Restoration and Conservation Project-Maintenance of Show Animals (8000.22.5A)-27040405,Maintenance and Other Operating Expenses,261681.4,261681.4,0,0,261681.4
Wildlife Restoration and Conservation Project-Wildlife Advocacy (8000.22.5C)-27040406,Wildlife Restoration and Conservation Project-Wildlife Advocacy (8000.22.5C)-27040406,270202.13,270202.13,4800,0,265402.13
Wildlife Restoration and Conservation Project-Wildlife Advocacy (8000.22.5C)-27040406,Maintenance and Other Operating Expenses,270202.13,270202.13,4800,0,265402.13
Wildlife Restoration and Conservation Project-Creation Of Mini Zoo (8000.22.5D)-27040407,Wildlife Restoration and Conservation Project-Creation Of Mini Zoo (8000.22.5D)-27040407,769255.88,769255.88,298679.17,0,470576.71
Wildlife Restoration and Conservation Project-Creation Of Mini Zoo (8000.22.5D)-27040407,Maintenance and Other Operating Expenses,769255.88,769255.88,298679.17,0,470576.71
Range Dual Type Poultry Recepients (8000.23.1)-27040408,Range Dual Type Poultry Recepients (8000.23.1)-27040408,100000,100000,0,0,100000
Range Dual Type Poultry Recepients (8000.23.1)-27040408,Maintenance and Other Operating Expenses,100000,100000,0,0,100000
Small Ruminants Dispersal Livelihood Projects-Training of Qualified Recepients (8000.23.2A)-27040409,Small Ruminants Dispersal Livelihood Projects-Training of Qualified Recepients (8000.23.2A)-27040409,100000,100000,0,0,100000
Small Ruminants Dispersal Livelihood Projects-Training of Qualified Recepients (8000.23.2A)-27040409,Maintenance and Other Operating Expenses,100000,100000,0,0,100000
Maintenance of Animal and Extension Services-Hemosept Vaccination,Maintenance of Animal and Extension Services-Hemosept Vaccination,59321.15,59321.15,24585.53,0,34735.62
Maintenance of Animal and Extension Services-Hemosept Vaccination,Maintenance and Other Operating Expenses,59321.15,59321.15,24585.53,0,34735.62
Rabies Prevention and Control Services-Dog Vaccination (8000.24.2A)-27040411,Rabies Prevention & Control Services-Dog Vaccination (8000.24.2A)-27040411,109638.85,109638.85,22033.73,0,87605.12
Rabies Prevention and Control Services-Dog Vaccination (8000.24.2A)-27040411,Maintenance and Other Operating Expenses,109638.85,109638.85,22033.73,0,87605.12
Nueva Vizcaya Birdflu Preparedness and Response Project-Operationalization of Bird Flu Task Force (8000.24.3A)-27040412,Nueva Vizcaya Birdflu Preparedness and Response Project-Operationalization of Bird Flu Task Force (8000.24.3A)-27040412,13176.82,13176.82,3279.9,0,9896.92
Nueva Vizcaya Birdflu Preparedness and Response Project-Operationalization of Bird Flu Task Force (8000.24.3A)-27040412,Maintenance and Other Operating Expenses,13176.82,13176.82,3279.9,0,9896.92
Provincial Cooperative Affairs Office-270405  Entrepreneurial Linkaging and Networking Project (8000.27.1)-27040501,Provincial Cooperative Affairs Office-270405  Entrepreneurial Linkaging & Networking Project (8000.27.1)-27040501,100000,100000,85000,0,15000
Provincial Cooperative Affairs Office-270405  Entrepreneurial Linkaging and Networking Project (8000.27.1)-27040501,Maintenance and Other Operating Expenses,100000,100000,85000,0,15000
Entreprenuerial Linkaging and Networking Project-NV Goes to SM Megatrade (8000.27.1B)-27040502,Entreprenuerial Linkaging and Networking Project-NV Goes to SM Megatrade (8000.27.1B)-27040502,300000,300000,300000,0,0
Entreprenuerial Linkaging and Networking Project-NV Goes to SM Megatrade (8000.27.1B)-27040502,Maintenance and Other Operating Expenses,300000,300000,300000,0,0
Technology and Livelihood Trimedia Advocacy Project (8000.27.2)-27040503,Technology and Livelihood Trimedia Advocacy Project (8000.27.2)-27040503,68318.25,68318.25,37521.25,0,30797
Technology and Livelihood Trimedia Advocacy Project (8000.27.2)-27040503,Maintenance and Other Operating Expenses,68318.25,68318.25,37521.25,0,30797
Improved Business Industrial Planning And Devleopment Project (8000.27.3)-27040504,Improved Business Industrial Planning And Devleopment Project (8000.27.3)-27040504,83.25,83.25,0,0,83.25
Improved Business Industrial Planning And Devleopment Project (8000.27.3)-27040504,Maintenance and Other Operating Expenses,83.25,83.25,0,0,83.25
Enterprise Management Project (8000.27.4)-27040505,Enterprise Management Project (8000.27.4)-27040505,50000,50000,50000,0,0
Enterprise Management Project (8000.27.4)-27040505,Maintenance and Other Operating Expenses,50000,50000,50000,0,0
Integrated Fruit Processing Project (8000.27.5)-27040506,Integrated Fruit Processing Project (8000.27.5)-27040506,50000,50000,50000,0,0
Integrated Fruit Processing Project (8000.27.5)-27040506,Maintenance and Other Operating Expenses,50000,50000,50000,0,0
"Tourism Division-Go-270406 Eco-Tourism Exploration, Protection And Site Development Project (8000.29.6.4)-27040601","Tourism Division-Go-270406 Eco-Tourism Exploration, Protection And Site Development Project (8000.29.6.4)-27040601",31362,31362,0,0,31362
"Tourism Division-Go-270406 Eco-Tourism Exploration, Protection And Site Development Project (8000.29.6.4)-27040601",Maintenance and Other Operating Expenses,31362,31362,0,0,31362
Visit Vizcaya Project (8000.29.6.6)-27040602,Visit Vizcaya Project (8000.29.6.6)-27040602,37022.37,37022.37,35753.66,0,1268.71
Visit Vizcaya Project (8000.29.6.6)-27040602,Maintenance and Other Operating Expenses,37022.37,37022.37,35753.66,0,1268.71
Museo Eskwela 9A Museum Advocacy Project (8000.31.4)-27040603,Museo Eskwela 9A Museum Advocacy Project (8000.31.4)-27040603,22335,22335,0,0,22335
Museo Eskwela 9A Museum Advocacy Project (8000.31.4)-27040603,Maintenance and Other Operating Expenses,22335,22335,0,0,22335
Special Events/Tourism Week Celebration (8000.31.5)-27040604,Special Events/Tourism Week Celebration (8000.31.5)-27040604,502.9,502.9,0,0,502.9
Special Events/Tourism Week Celebration (8000.31.5)-27040604,Maintenance and Other Operating Expenses,502.9,502.9,0,0,502.9
Special Events-10th National Caving Congress 2011 (8000.31.5)-27040605,Special Events-10Th National Caving Congress 2011 (8000.31.5)-27040605,26482,26482,0,0,26482
Special Events-10th National Caving Congress 2011 (8000.31.5)-27040605,Maintenance and Other Operating Expenses,26482,26482,0,0,26482
Panagyaman/Ammungan Festival (8000.31.6)-27040606,Panagyaman/Ammungan Festival (8000.31.6)-27040606,90914.89,90914.89,89575,0,1339.89
Panagyaman/Ammungan Festival (8000.31.6)-27040606,Maintenance and Other Operating Expenses,90914.89,90914.89,89575,0,1339.89
2012 - 2800 General Public Services - 2801 Municipal Development Assistance Program (1000.3.1)(Go-Exec)-280101,2012 - 2800 General Public Services - 2801 Municipal Development Assistance Program (1000.3.1)(Go-Exec)-280101,15000000,6000000,6000000,9000000,0
2012 - 2800 General Public Services - 2801 Municipal Development Assistance Program (1000.3.1)(Go-Exec)-280101,Capital Outlay,15000000,6000000,6000000,9000000,0
Barangay Development Assistance (1000.3.2)(Go-Exec) - 280102,Barangay Development Assistance (1000.3.2)(Go-Exec) - 280102,5225000,5225000,5206000,0,19000
Barangay Development Assistance (1000.3.2)(Go-Exec) - 280102,Capital Outlay,5225000,5225000,5206000,0,19000
Management Development Fund (1000.3.3)(Go-Exec)-280103,Management Development Fund (1000.3.3)(Go-Exec)-280103,6000000,0,0,6000000,0
Management Development Fund (1000.3.3)(Go-Exec)-280103,Maintenance and Other Operating Expenses,6000000,0,0,6000000,0
Barangay Development Fund (1000.3.4)(Go-Exec)-280104,Barangay Development Fund (1000.3.4)(Go-Exec)-280104,1500000,0,0,1500000,0
Barangay Development Fund (1000.3.4)(Go-Exec)-280104,Maintenance and Other Operating Expenses,1500000,0,0,1500000,0
Health Aid to Barangay (1000.3.5)(Go-Exec)-280105,Health Aid to Barangay (1000.3.5)(Go-Exec)-280105,300000,0,0,300000,0
Health Aid to Barangay (1000.3.5)(Go-Exec)-280105,Maintenance and Other Operating Expenses,300000,0,0,300000,0
Provincial Scholarship and Development Program (1000.5)(Go-Exec)-280106,Provincial Scholarship & Development Program (1000.5)(Go-Exec)-280106,600000,0,0,600000,0
Provincial Scholarship and Development Program (1000.5)(Go-Exec)-280106,Maintenance and Other Operating Expenses,600000,0,0,600000,0
