program_or_project,activity,code,appropriation,allotment,appropriation_balance,obligation,allotment_balance
Office of the City Social Welfare and Development- Women Welfare Program - GAD,-,-,25000,25000,-,22650,2350
Office of the City Social Welfare and Development- Women Welfare Program - GAD,Other Maintenance and Operating Expenses,969,25000,25000,-,22650,2350
Office of the City Social Welfare and Development- Women - Victims of Abuse Program - GAD,-,-,20000,-,20000,-,-
Office of the City Social Welfare and Development- Women - Victims of Abuse Program - GAD,Donations,878,20000,-,20000,-,-
Office of the City Veterinarian,-,8721,1148155.35,1148155.35,-,796930.85,351224.5
Office of the City Veterinarian- Livestock and Poultry Production Program Livestock Outlay (Dispersal Program),-,-,440920,440920,-,286487,154433
Office of the City Veterinarian- Livestock and Poultry Production Program Livestock Outlay (Dispersal Program),Animal or Zoological Supplies Expenses,757,300000,300000,-,180000,120000
Office of the City Veterinarian- Livestock and Poultry Production Program Livestock Outlay (Dispersal Program),Other Supplies Expenses,765,50000,50000,-,23537,26463
Office of the City Veterinarian- Livestock and Poultry Production Program Livestock Outlay (Dispersal Program),General Services,795,90920,90920,-,82950,7970
Office of the City Veterinarian-Animal Health Services,-,-,280000,280000,-,202846,77154
Office of the City Veterinarian-Animal Health Services,Animal or Zoological Supplies Expenses,757,200000,200000,-,188800,11200
Office of the City Veterinarian-Animal Health Services,Other Supplies Expenses,765,30000,30000,-,5646,24354
Office of the City Veterinarian-Animal Health Services,Other Maintenance And Operating Expenses,969,50000,50000,-,8400,41600
Office of the City Veterinarian-Animal Regulatory Program,-,-,54136,54136,-,-,54136
Office of the City Veterinarian-Animal Regulatory Program,General Services,795,54136,54136,-,-,54136
Office of the City Veterinarian-Aviary Management Program,-,-,373099.35,373099.35,-,307597.85,65501.5
Office of the City Veterinarian-Aviary Management Program,Animal or Zoological Supplies Expenses,757,80000,80000,-,28340.5,51659.5
Office of the City Veterinarian-Aviary Management Program,Agricultural Supplies Expense,762,30000,30000,-,18628,11372
Office of the City Veterinarian-Aviary Management Program,General Services,795,263099.35,263099.35,-,260629.35,2470
Office of the City Environment and Natural Resources,-,8731,1365083,1365083,-,1358440.72,6642.28
Office of the City Environment and Natural Resources- Research and ECC Program,-,-,50000,50000,-,45163.65,4836.35
Office of the City Environment and Natural Resources- Research and ECC Program,Other Maintenance and Operating Expenses,969,50000,50000,-,45163.65,4836.35
Office of the City Environment and Natural Resources- Expropriation and Titling,-,969,1315083,1315083,-,1313277.07,1805.93
Office of the City Architect,-,8741,1826152.99,1826152.99,-,1754889.4,71263.59
Office of the City Architect- Architect Maintenance Program,-,-,1826152.99,1826152.99,-,1754889.4,71263.59
Office of the City Architect- Architect Maintenance Program,General Services,795,1826152.99,1826152.99,-,1754889.4,71263.59
CEO- Motorpool Division,-,8754,7563649.65,7563649.65,-,7225795.24,337854.41
CEO- Motorpool Division- Motorpool Maintenance Program,-,-,7563649.65,7563649.65,-,7225795.24,337854.41
CEO- Motorpool Division- Motorpool Maintenance Program,General Services,795,7563649.65,7563649.65,-,7225795.24,337854.41
CEO- Industrial Plant Division,-,-,6432469.5,6432469.5,-,5994557.85,437911.65
CEO- Industrial Plant Division- Industrial Plant Maintenance Program,-,-,1706199.62,1706199.62,-,1648118.74,58080.88
CEO- Industrial Plant Division- Industrial Plant Maintenance Program,General Services,795,1706199.62,1706199.62,-,1648118.74,58080.88
CEO- Industrial Plant Division- Fabrication Maintenance Program,-,-,4726269.88,4726269.88,-,4346439.11,379830.77
CEO- Industrial Plant Division- Fabrication Maintenance Program,Office Supplies Expenses,755,20000,20000,-,17379.4,2620.6
CEO- Industrial Plant Division- Fabrication Maintenance Program,Gasoline Expenses,761,120000,120000,-,76644.34,43355.66
CEO- Industrial Plant Division- Fabrication Maintenance Program,Other Supplies Expenses,765,10000,10000,-,9998,2
CEO- Industrial Plant Division- Fabrication Maintenance Program,General Services,795,4526269.88,4526269.88,-,4232492.37,293777.51
CEO- Industrial Plant Division- Fabrication Maintenance Program,Repair and Maintenance - Motor Vehicles,841,50000,50000,-,9925,40075
Economic Enterprise,-,-,-,-,-,-,-
Terminal Division,-,8801-64,1699623.08,1699623.08,-,1697312.1,2310.98
Terminal Division- Sanitary Program,-,-,924630.55,924630.55,-,924200.55,430
Terminal Division- Sanitary Program,Environment or Sanitary Services,794,924630.55,924630.55,-,924200.55,430
Terminal Division- Security Program,-,-,774992.53,774992.53,-,773111.55,1880.98
Terminal Division- Security Program,Security Services,797,774992.53,774992.53,-,773111.55,1880.98
Public Market Division,-,8811-51,9740282.62,9740282.62,-,9708144.77,32137.85
Public Market Division- Sanitation Program,-,-,5762641.99,5762641.99,-,5761363.3,1278.69
Public Market Division- Sanitation Program,Environment or Sanitary Services,794,5762641.99,5762641.99,-,5761363.3,1278.69
Public Market Division- Security Program,-,-,3977640.63,3977640.63,-,3946781.47,30859.16
Public Market Division- Security Program,Security Services,797,3977640.63,3977640.63,-,3946781.47,30859.16
TLAC or Slaughterhouse Division,-,8812,1617109.77,1617109.77,-,1616024.07,1085.7
TLAC or Slaughterhouse Division- Sanitary Program,-,-,568673.14,568673.14,-,567987.52,685.62
TLAC or Slaughterhouse Division- Sanitary Program,Environment or Sanitary Services,794,568673.14,568673.14,-,567987.52,685.62
TLAC or Slaughterhouse Division- Security Program,-,-,1048436.63,1048436.63,-,1048036.55,400.08
TLAC or Slaughterhouse Division- Security Program,Security Services,797,1048436.63,1048436.63,-,1048036.55,400.08
Cemetery Services,-,8841,405760,405760,-,392117.65,13642.35
Cemetery Services- Sanitation Program,-,-,405760,405760,-,392117.65,13642.35
Cemetery Services- Sanitation Program,Environment or Sanitary Services,794,405760,405760,-,392117.65,13642.35
Totally Locally Funded Projects,-,-,155845797.9,155375797.9,470000,145997950.5,9377847.41
20% Development Fund,-,-,-,-,-,-,-
Office of the City Mayor or Admin,-,1011,68899479.98,64929908.33,3969571.65,57808636.11,7121272.22
Office of the City Mayor or Admin- Construction or Completion of Multi Purpose Building (Gym),-,215,3000000,2700000,300000,2625412.37,74587.63
Office of the City Mayor or Admin- Construction or Completion of Multi Purpose Building (Gym),"Brgy. Hall Site, Mag. West (Reference number: 143-04-12 )",-,-,750000,-,725125,24875
Office of the City Mayor or Admin- Construction or Completion of Multi Purpose Building (Gym),Margarita Subd. Brgy. Mankilam (Reference number: 156-04-12),-,-,750000,-,721175.49,28824.51
Office of the City Mayor or Admin- Construction or Completion of Multi Purpose Building (Gym),"Makabayan Subd., Brgy. San Isidro (Reference number: 157-04-12)",-,-,700000,-,699741.71,258.29
Office of the City Mayor or Admin- Construction or Completion of Multi Purpose Building (Gym),"Brgy. Hall Site, Brgy. Magdum (Reference number: 175-05-12 )",-,-,200000,-,181772,18228
Office of the City Mayor or Admin- Construction or Completion of Multi Purpose Building (Gym),"Brgy. Hall Site, Brgy. Madaum (Reference number: 176-05-12 )",-,-,300000,-,297598.17,2401.83
Office of the City Mayor or Admin- Water Development Program- GAD,-,254,750000,715000,35000,669108.18,45891.82
Office of the City Mayor or Admin- Water Development Program- GAD,"Various Barangay, Tagum City (Ref.number: 054A-01-12)",-,-,500000,-,461084.96,38915.04
Office of the City Mayor or Admin- Water Development Program- GAD,"Installation of 2"" diameter Casing Jetmatic Pump Purok 3, Brgy. Madaum (Reference number: 245-08-12)",-,-,65000,-,59605.16,5394.84
Office of the City Mayor or Admin- Water Development Program- GAD,at Tagum City (\Reference number: 280-10-12 ),-,-,150000,-,148418.06,1581.94
Office of the City Mayor or Admin- Construction of Bus Stop and Waiting Shed,-,251,2000000,1920000,80000,1920000,-
Office of the City Mayor or Admin- Construction of Bus Stop and Waiting Shed,Tagum Doctor's Hospital ( 4 units ),-,-,1920000,-,1920000,-
Office of the City Mayor or Admin- Construction of Bus Stop and Waiting Shed,"NCCC Mall (2 units) along National Highway, Tagum City (Reference number: 07-01-12 )",-,-,-,-,-,-
Office of the City Mayor or Admin- Construction or Rehabilitation of Multi- purpose Pavement,-,202,1000000,1000000,-,967764.2,32235.8
Office of the City Mayor or Admin- Construction or Rehabilitation of Multi- purpose Pavement,"Mencidor, Brgy. East ( Reference number: 0064-02-12)",-,-,130394.88,-,125645.11,4749.77
Office of the City Mayor or Admin- Construction or Rehabilitation of Multi- purpose Pavement,"Purok 6-A, Brgy. Magdum (Reference number: 0065-02-12)",-,-,154035.84,-,150119.64,3916.2
Office of the City Mayor or Admin- Construction or Rehabilitation of Multi- purpose Pavement,"Purok 1-B, Brgy. San Miguel (Reference number: 0070-02-12)",-,-,141120,-,132407.31,8712.69
Office of the City Mayor or Admin- Construction or Rehabilitation of Multi- purpose Pavement,"Purok Lanzones, Brgy. Pandapan (Reference number: 0084-02-12)",-,-,154224,-,149231.57,4992.43
Office of the City Mayor or Admin- Construction or Rehabilitation of Multi- purpose Pavement,"Purok Narra, Brgy. East ( Reference number: 0085-02-12)",-,-,170452.8,-,169031.48,1421.32
Office of the City Mayor or Admin- Construction or Rehabilitation of Multi- purpose Pavement,"Purok 18-A, Brgy Madaum (Reference number: 132-03-12)",-,-,104720,-,103657.09,1062.91
Office of the City Mayor or Admin- Construction or Rehabilitation of Multi- purpose Pavement,"Purok Cadena de Amor, Brgy. Visayan Village (Reference number: 298-11-12)",-,-,145052.48,-,137672,7380.48
Office of the City Mayor or Admin- Asphalting of Roads,-,251,13000000,13000000,-,12583980.2,416019.8
Office of the City Mayor or Admin- Asphalting of Roads,"Purok Kalamboan, Brgy. North(Ref.number: 060-02-12)",-,-,1260000,-,1259503.02,496.98
Office of the City Mayor or Admin- Asphalting of Roads,"San Isidro Labrador Chapel, Purok Lanzones, Brgy. Pandapan (Reference number: 061-02-12)",-,-,294000,-,293380.32,619.68
Office of the City Mayor or Admin- Asphalting of Roads,"Purok Tandang Sora, Brgy. Poblacion(Reference number: 062-02-12)",-,-,339136.48,-,338637.95,498.53
Office of the City Mayor or Admin- Asphalting of Roads,Purok Narra (Rd. Going Madayag Residence) Brgy. Visayan Village (Reference number: 063-02-12),-,-,204400,-,200992.1,3407.9
Office of the City Mayor or Admin- Asphalting of Roads,"Purok Rambutan (Melendres Compound), Brgy. East (Reference number: 066-02-12)",-,-,779400,-,779118.64,281.36
Office of the City Mayor or Admin- Asphalting of Roads,"Purok Pioneer, Brgy. Visayan Village (Reference number: 067-02-12)",-,-,500000,-,493260.76,6739.24
Office of the City Mayor or Admin- Asphalting of Roads,"GKK IKP Suaybaguio Dist., Brgy. North (Reference number: 068-02-12)",-,-,126000,-,121982.24,4017.76
Office of the City Mayor or Admin- Asphalting of Roads,"Villa Rita Subd., Purok 3 Unit 5, Brgy. Apokon (Reference number:069-02-12)",-,-,500000,-,498047.62,1952.38
Office of the City Mayor or Admin- Asphalting of Roads,"Purok Erlynville, Brgy. San Miguel (Reference number: 071-02-12)",-,-,544320,-,543722.87,597.13
Office of the City Mayor or Admin- Asphalting of Roads,"Christ the King Cathedral Parking Space, Brgy. South (Reference number: 072-02-12)",-,-,224000,-,223057.44,942.56
Office of the City Mayor or Admin- Asphalting of Roads,"Infront of Pagsabangan Brgy. Hall, Barangay Pagsabangan (Reference number: 073-02-12)",-,-,252756,-,245198.5,7557.5
Office of the City Mayor or Admin- Asphalting of Roads,"Floraville-Purok Cadena de Amor Phase 3, Brgy. Visayan Village (Reference number: 074-02-12)",-,-,848000,-,845930.3,2069.7
Office of the City Mayor or Admin- Asphalting of Roads,"Adela Subd., Purok 3 Unit 6, Brgy. Apokon(Reference number: 075-02-12)",-,-,500000,-,494798.3,5201.7
Office of the City Mayor or Admin- Asphalting of Roads,"North Eagle IV, Brgy. Mankilam (Reference number: 076-02-12)",-,-,500000,-,498206.12,1793.88
Office of the City Mayor or Admin- Asphalting of Roads,"Purok 3, Brgy. La Filipina (Reference number: 077-02-12)",-,-,500000,-,497453.85,2546.15
Office of the City Mayor or Admin- Asphalting of Roads,"Purok Bulaklak 3, Brgy. North (Reference number: 078-02-12)",-,-,500000,-,499485.38,514.62
Office of the City Mayor or Admin- Asphalting of Roads,"Purok Garcia-Greenland, Brgy. Mankilam (Reference number: 079-02-12)",-,-,1316000,-,1308397.68,7602.32
Office of the City Mayor or Admin- Asphalting of Roads,"Purok Jumabon, Brgy. Cuambogan (Reference number: 080-02-12)",-,-,761600,-,760998.71,601.29
Office of the City Mayor or Admin- Asphalting of Roads,"Purok 2-A(Suico Compound),Brgy. San Miguel (Reference number:081-02-12)",-,-,789600,-,786870.77,2729.23
Office of the City Mayor or Admin- Asphalting of Roads,"Purok Malipayon (Rd. going Engr. Zaragoza Residence), Brgy. West (Reference number: 082-02-12 )",-,-,636160,-,628649.31,7510.69
Office of the City Mayor or Admin- Asphalting of Roads,"Purok Pag-asa-Talisay, Brgy. West (Reference number: 083-02-12)",-,-,600000,-,586330.09,13669.91
Office of the City Mayor or Admin- Asphalting of Roads,"Asphalt Overlay at Paraiso Subd., Brgy. Visayan Village (Reference number: 0131-04-12)",-,-,518107.52,-,510831.56,7275.96
Office of the City Mayor or Admin- Asphalting of Roads,"Purok Lynville, Brgy. Mankilam (Reference number: 294-11-12)",-,-,506520,-,169126.67,337393.33
Office of the City Mayor or Admin- Concreting of Roads,-,251,15689479.98,12500000,3189479.98,9901880.88,2598119.12
Office of the City Mayor or Admin- Concreting of Roads,"Sator Ave.Brgy. Mankilam,T.C.(Reference number: 017-01-12)",-,-,435000,-,426239.44,8760.56
Office of the City Mayor or Admin- Concreting of Roads,Capitol Ave. Brgy. Mankilam(Add'l Lane)(Reference number: 018-01-12),-,-,150000,-,142389.06,7610.94
Office of the City Mayor or Admin- Concreting of Roads,"Along Davao City Central Warehouse Club (Add'l Lane),Brgy. Mag. East, T.C.(Reference number: 030-01-12)",-,-,300000,-,283342.75,16657.25
Office of the City Mayor or Admin- Concreting of Roads,"Garcia St. (Add'l Lane),Mag. South(Reference number:020-01-12)",-,-,380000,-,377269.09,2730.91
Office of the City Mayor or Admin- Concreting of Roads,"Circumferential Road to Gazmen Road, Brgy. La Filipina (Reference number: 026-03-12)",-,-,600000,-,595107.14,4892.86
Office of the City Mayor or Admin- Concreting of Roads,"Garciaville, Brgy. Mankilam (Reference number: 037-01-12 )",-,-,580000,-,572851,7149
Office of the City Mayor or Admin- Concreting of Roads,"New City Hall (NearChildren's Park),Brgy. Apokon (Reference number: 0027-01-12)",-,-,1000000,-,892349,107651
Office of the City Mayor or Admin- Concreting of Roads,"Mel Village,Brgy. Visayan Village (Reference number: 0029-01-12)",-,-,475000,-,471663.31,3336.69
Office of the City Mayor or Admin- Concreting of Roads,"Mirafuentes Main Road, Brgy. Mag. North (Ref. # 0032-03-12)",-,-,1000000,-,989321.5,10678.5
Office of the City Mayor or Admin- Concreting of Roads,"Merville Subd., Brgy. Magdum (Reference number: 024-01-12)",-,-,600000,-,576394.65,23605.35
Office of the City Mayor or Admin- Concreting of Roads,"Sison Subd., Emerald St., Brgy Mag. South Reference number: 033-01-12",-,-,240000,-,237507,2493
Office of the City Mayor or Admin- Concreting of Roads,"Sison Subd., Gold St., Brgy. Mag. South(Reference number: 034-01-12)",-,-,370000,-,364590.5,5409.5
Office of the City Mayor or Admin- Concreting of Roads,"Villa Verde Subd., Brgy. San Miguel ( Reference number: 035-01-12 )",-,-,500000,-,426774,73226
Office of the City Mayor or Admin- Concreting of Roads,"Ferido Arcade, Brgy. Mag. West ( Reference number: 036-01-12 )",-,-,500000,-,412838,87162
Office of the City Mayor or Admin- Concreting of Roads,"Sator to Teacher's Village, Brgy. Magugpo South Reference number: 019-01-12",-,-,600000,-,560252,39748
Office of the City Mayor or Admin- Concreting of Roads,"Sagon Road, Brgy. La Filipina ( Reference number: 238-08-12 )",-,-,1500000,-,1350965,149035
Office of the City Mayor or Admin- Concreting of Roads,"Cristo Rey Subd., Brgy. Mag.West ( Reference number: 021-01-12)",-,-,410000,-,314195.04,95804.96
Office of the City Mayor or Admin- Concreting of Roads,"Country Homes (Mahogany and Yakal), Brgy. Mankilam Reference number: 022-01-12",-,-,500000,-,472485.56,27514.44
Office of the City Mayor or Admin- Concreting of Roads,"Northeagle 3, Brgy. Visayan Village (Reference number: 023-01-12)",-,-,410000,-,317309.84,92690.16
Office of the City Mayor or Admin- Concreting of Roads,"Rotary Park to BAEX, Brgy. Mag. Poblacion (Ref.number: 028-01-12)",-,-,950000,-,56781,893219
Office of the City Mayor or Admin- Concreting of Roads,"Narisma Road, Brgy. Mag. South ( Reference number: 038-01-12 )",-,-,1000000,-,61256,938744
Office of the City Mayor or Admin- Concreting of Alleys,-,251,1000000,1000000,-,698223,301777
Office of the City Mayor or Admin- Concreting of Alleys,Various Purok ( Reference number: 282-10-12 ),-,-,1000000,-,698223,301777
Office of the City Mayor or Admin- Fabrication of Park Benches,-,260,300000,300000,-,299750.75,249.25
Office of the City Mayor or Admin- Fabrication of Park Benches,"Motorpool, Tipaz St. (Reference number: 158-04-12)",-,-,300000,-,299750.75,249.25
Office of the City Mayor or Admin- Acquisition of Land,-,201,13000000,12739908.33,260091.67,12739908.33,-
Office of the City Mayor or Admin- Construction of Bridges,-,251,500000,500000,-,442155.84,57844.16
Office of the City Mayor or Admin- Construction of Bridges,"Framed Flat Slab (w/o Wingwall) Phase 1, Marquez Road (near San Lorenzo Ruiz Academy), Brgy. Apokon Reference number: 172-05-12",-,-,500000,-,442155.84,57844.16
Office of the City Mayor or Admin- Development of Nabintad Park,-,252,500000,500000,-,380351,119649
Office of the City Mayor or Admin- Development of Nabintad Park,Phase II Brgy. Madaum ( Reference number: 274-10-12 ),-,-,500000,-,380351,119649
Office of the City Mayor or Admin- Development of Canocotan Circuit at Barangay Canocotan ( Ref. number: 225-07-12 ),-,205,3000000,3000000,-,505327,2494673
Office of the City Mayor or Admin- Development of Bird Park,-,252,1500000,1500000,-,1244600.87,255399.13
Office of the City Mayor or Admin- Development of Bird Park,"Mandapaan Creek, Brgy. New Balamban (Ref.number: 0117-03-12)",-,-,1000000,-,798024.87,201975.13
Office of the City Mayor or Admin- Development of Bird Park,"Mandapaan, Brgy. New Balamban (Reference number: 250-09-12 )",-,-,500000,-,446576,53424
Office of the City Mayor or Admin- Land Development and Improvement,-,202,1000000,1000000,-,984840.52,15159.48
Office of the City Mayor or Admin- Land Development and Improvement,"City Employee's Village, Tipaz, Brgy. Mag. East Reference number: 179-05-12",-,-,1000000,-,984840.52,15159.48
Office of the City Mayor or Admin- Construction of Septic Tank,"at Iga-uy, Brgy. Madaum ( Reference number: 240-08-12 )",215,500000,500000,-,422450.81,77549.19
Peace and Order Fund: Development of Parks and Highways,-,252,3000000,2995000,5000,2492571.87,502428.13
Peace and Order Fund: Development of Parks and Highways,Merville Subd. Brgy. Magdum (Reference number: 046-01-12),-,-,300000,-,262027.6,37972.4
Peace and Order Fund: Development of Parks and Highways,Ferraren Subd. Brgy. Mag. East (Reference number: 047-01-12),-,-,200000,-,191331.8,8668.2
Peace and Order Fund: Development of Parks and Highways,"First Ave. Open Park, Brgy. Mag. South (Reference number: 048-01-12)",-,-,260000,-,251416.8,8583.2
Peace and Order Fund: Development of Parks and Highways,"Fab. and Installation of Paving Blocks at National H-way, Brgy. Visayan Village (Reference number: 052-01-12)",-,-,300000,-,295904.78,4095.22
Peace and Order Fund: Development of Parks and Highways,"City Hall Concrete Benches, Brgy. Poblacion (Reference number: 086-02-12)",-,-,300000,-,265196.5,34803.5
Peace and Order Fund: Development of Parks and Highways,Brgy. Bincungan (Reference number: 198-06-12),-,-,245000,-,223966,21034
Peace and Order Fund: Development of Parks and Highways,Fab. and Installation of Paving Blocks National Highway at Brgy. Canocotan (from Canocotan Elem. School to DPWH and Canocotan Elem. School to Crossing Timog ) (Reference number: 230-07-12),-,-,400000,-,314706.59,85293.41
Peace and Order Fund: Development of Parks and Highways,"Dev't of Mag. Creek, Phase 2, Punzalan Avenue Brgy. Magugpo South (Reference number: 236-08-12)",-,-,200000,-,166562,33438
Peace and Order Fund: Development of Parks and Highways,Along Pioneer Ave. to Osmena St. (Reference number: 241-08-12),-,-,230000,-,189825.8,40174.2
Peace and Order Fund: Development of Parks and Highways,"Betty Homes, Brgy. Apokon (Reference number: 278-10-12 )",-,-,260000,-,182713,77287
Peace and Order Fund: Development of Parks and Highways,"Concrete Benches and Plant Works, Brgy. Mag. East (Reference number: 281-10-12)",-,-,300000,-,148921,151079
Peace and Order Fund: Construction of Purok Centers,-,215,500000,500000,-,392533,107467
Peace and Order Fund: Construction of Purok Centers,"Purok Poblacion, San Isidro; Purok 8, San Miguel; Purok 4-G Apokon; Purok Ilocandia, Mankilam; Purok Popular, Mag. East; Purok 1-B Velasco,Canocotan; Cristo Rey 1B, Mag. West Reference number: 155-04-12",-,-,500000,-,392533,107467
Peace and Order Fund: Elecrification Program,-,205,8160000,8060000,100000,8057567.29,2432.71
Peace and Order Fund: Elecrification Program,"Rewiring of Streetlights Lines at Brgy. East, Brgy. Cuambogan, Brgy. Liboganon, Brgy. Madaum and Brgy. Bincungan (Reference number: 016-01-12)",-,-,1000000,-,999894.83,105.17
Peace and Order Fund: Elecrification Program,"Brgy. Apokon, Tagum City (Reference number: 050-01-12)",-,-,5000000,-,4998995.69,1004.31
Peace and Order Fund: Elecrification Program,Add'l Installation of Street Lights at E-Park Compound Brgy. Apokon (Reference number: 147-04-12),-,-,860000,-,859853,147
Peace and Order Fund: Elecrification Program,Installation of Lighting Facilities (Reference number: 260-09-12),-,-,1200000,-,1198823.77,1176.23
Peace and Order Fund: Development of Resettlement Area,-,260,500000,500000,-,480210,19790
Peace and Order Fund: Development of Resettlement Area,"Pipe Line Extension of 2"" Diameter P.E. Hose at Iga Uy A Brgy. Madaum (Reference number: 194-06-12)",-,-,200000,-,188916,11084
Peace and Order Fund: Development of Resettlement Area,"Iga Uy, Madaum (Reference number: 211-06-12)",-,-,300000,-,291294,8706
Office of the City Agriculture,-,8711,12752299.59,12752299.59,-,12136317.24,615982.35
Office of the City Agriculture- Operationalization of City Agricultural and Fishery Program (CAFP),-,-,2102935.45,2102935.45,-,2022100.1,80835.35
Office of the City Agriculture- Operationalization of City Agricultural and Fishery Program (CAFP),General Services,795,2102935.45,2102935.45,-,2022100.1,80835.35
Office of the City Agriculture- Organic Fertilizer Production Project,-,-,346140,346140,-,324050,22090
Office of the City Agriculture- Organic Fertilizer Production Project,General Services,795,346140,346140,-,324050,22090
Office of the City Agriculture- Reforestation Program,-,-,2340616,2340616,-,2222029,118587
Office of the City Agriculture- Reforestation Program,General Services,795,2340616,2340616,-,2222029,118587
Office of the City Agriculture- Fishery Law Enforcement Program,-,-,175240,175240,-,165590,9650
Office of the City Agriculture- Fishery Law Enforcement Program,General Services,795,175240,175240,-,165590,9650
Office of the City Agriculture- Landscaping Management Program,-,-,3220179,3220179,-,3084678,135501
Office of the City Agriculture- Landscaping Management Program,General Services,795,3220179,3220179,-,3084678,135501
Office of the City Agriculture- Agricultural Productivity and Greening Program,-,-,3942054.14,3942054.14,-,3793595.14,148459
Office of the City Agriculture- Agricultural Productivity and Greening Program,General Services,795,3942054.14,3942054.14,-,3793595.14,148459
Office of the City Agriculture- Fabrication of Artificial Coral Reef,-,-,625135,625135,-,524275,100860
Office of the City Agriculture- Fabrication of Artificial Coral Reef,"at Brgy Liboganon, T.C. (Reference number: 053-01-12)",215,625135,625135,-,524275,100860
Office of the City Environment and Natural Resources,-,8731,888572,888572,-,836579.76,51992.24
Office of the City Environment and Natural Resources- Watershed Development Program (Botanical Park),-,-,791142,791142,-,749109.76,42032.24
Office of the City Environment and Natural Resources- Watershed Development Program (Botanical Park),General Services,795,791142,791142,-,749109.76,42032.24
Office of the City Environment and Natural Resources- Solid Waste MGT Program- SWM Evaluation or Intensive Education Campaign (IEC),-,-,97430,97430,-,87470,9960
Office of the City Environment and Natural Resources- Solid Waste MGT Program- SWM Evaluation or Intensive Education Campaign (IEC),General Services,795,97430,97430,-,87470,9960
CEO- Construction and Maintenance Division,-,8752,9035972.7,8932750,103222.7,8482967.78,449782.22
CEO- Construction and Maintenance Division,"Rep and Maint-Electrification, Power and Energy Structures",805,3257750,3257750,-,3086240.83,171509.17
CEO- Construction and Maintenance Division,"Rep and Maint-Electrification, Power and Energy Structures- at Tagum City (Reference number: 009-01-12)",-,-,3057750,-,2900373.81,157376.19
CEO- Construction and Maintenance Division,"Rep and Maint-Electrification, Power and Energy Structures- at Tagum City (Reference number: 275-10-12)",-,-,200000,-,185867.02,14132.98
CEO- Construction and Maintenance Division,Repair and Maint-Roads and Road Marking at Tagum City (Reference number: 012-01-12),851,2694222.7,2591000,103222.7,2521550.7,69449.3
CEO- Construction and Maintenance Division,Repair and Maint - Drainage at Tagum City (Reference number: 004-01-12),855,2228000,2228000,-,2058835.44,169164.56
CEO- Construction and Maintenance Division,Repair and Maint - Road Right of Way ( Clearing and Maintenance ),851,856000,856000,-,816340.81,39659.19
CEO- Construction and Maintenance Division,Repair and Maint - Road Right of Way ( Clearing and Maintenance )- at Tagum City (Reference number: 03-01-12),-,-,456000,-,431957.81,24042.19
CEO- Construction and Maintenance Division,Repair and Maint - Road Right of Way ( Clearing and Maintenance )- at Tagum City (Reference number: 010-01-12),-,-,400000,-,384383,15617
Total 20% Development Fund,-,-,91576324.27,87503529.92,4072794.35,79264500.89,8239029.03
Economic Enterprise,-,-,-,-,-,-,-
Econ. Ent. Terminal Division,-,8801 (64),3205156.32,3205156.32,-,3008064.73,197091.59
Econ. Ent. Terminal Division- Personal Services,-,-,2348816,2348816,-,2334400.54,14415.46
Econ. Ent. Terminal Division- Personal Services,Salaries and Wages-Regular,701,967776,967776,-,959590.32,8185.68
Econ. Ent. Terminal Division- Personal Services,Salaries and Wages-Casual,705,940598,940598,-,939530.8,1067.2
Econ. Ent. Terminal Division- Personal Services,PERA,711,120000,120000,-,119363.63,636.37
Econ. Ent. Terminal Division- Personal Services,Clothing Allowance,715,20000,20000,-,20000,-
Econ. Ent. Terminal Division- Personal Services,Productivity Incentive Allowance,717,22000,22000,-,22000,-
Econ. Ent. Terminal Division- Personal Services,Cash Gift,724,25000,25000,-,25000,-
Econ. Ent. Terminal Division- Personal Services,Year- End Bonus,725,80648,80648,-,80269,379
Econ. Ent. Terminal Division- Personal Services,Life and Retirement Insurance Contributions,731,116134,116134,-,115632.84,501.16
Econ. Ent. Terminal Division- Personal Services,PAG-IBIG Contributions,732,6000,6000,-,6000,-
Econ. Ent. Terminal Division- Personal Services,PHILHEALTH Contributions,733,11850,11850,-,11850,-
Econ. Ent. Terminal Division- Personal Services,ECC Contributions,734,6000,6000,-,6000,-
Econ. Ent. Terminal Division- Personal Services,Loyalty Pay,749,5000,5000,-,5000,-
Econ. Ent. Terminal Division- Personal Services,Monetization of Leave Credits,749,27810,27810,-,24163.95,3646.05
Econ. Ent. Terminal Division- Maintenance and Other Operating Expenses,-,-,856340.32,856340.32,-,673664.19,182676.13
Econ. Ent. Terminal Division- Maintenance and Other Operating Expenses,Traveling Expenses - Local,751,34000,34000,-,26167.7,7832.3
Econ. Ent. Terminal Division- Maintenance and Other Operating Expenses,Trainings Expenses,753,-,-,-,-,-
Econ. Ent. Terminal Division- Maintenance and Other Operating Expenses,Office Supplies Expenses,755,54340.32,54340.32,-,50151.27,4189.05
Econ. Ent. Terminal Division- Maintenance and Other Operating Expenses,Printed Forms Expense,756,220000,220000,-,214750,5250
Econ. Ent. Terminal Division- Maintenance and Other Operating Expenses,Accountable Forms Expenses,756,100000,100000,-,-,100000
Econ. Ent. Terminal Division- Maintenance and Other Operating Expenses,Water Expenses,766,30000,30000,-,6425.35,23574.65
Econ. Ent. Terminal Division- Maintenance and Other Operating Expenses,Electricity Expenses,767,400000,400000,-,364697.15,35302.85
Econ. Ent. Terminal Division- Maintenance and Other Operating Expenses,Telephone Expenses-Landline,772,18000,18000,-,11472.72,6527.28
