Project Title,Development Partner,Implementing/ Executing Agency,Grant Amount   (in US$ M),"Utilization
(in US$ M)",Project Start Date,Project Closing Date,Utilization Rate (UR),Time Elapsed (TE),TE-UR (%),Sector,Location,Type,"Financial 
Status","Physical
Status",Last Update,As of Date
"Regional program to encourage political participation on gender equity in Bangladesh, Cambodia, Philippines, East Timor and Vietnam ",Spain,Paz y Desarrollo Association,2.58,2.58,9/1/2010,12/31/2015,100,71.8,-28.2,Social Reform and Community Development,"Region V, XIII, Mindanao",Technical Cooperation,Ongoing,Completed,6/30/2014,6/30/2014
Strengthening of Local Government Institutions and Civil Society to adapt strategies and policies to climate change ,Spain,INTERED Foundation ,0.38,0.38,11/1/2011,3/31/2014,100,110.33,10.33,Governance and Institutions Development,Bicol,Technical Cooperation,Closed,Completed,6/30/2014,6/30/2014
"Culture of Peace, peaceful conflict resolution and governance in Zamboanga City and the Province of Basilan, Philippines ",Spain,Manos Unidas ,0.33,0.33,11/1/2011,6/30/2014,100,100,0,Social Reform and Community Development,"Region XI (Southern Mindanao/Davao), ARMM",Technical Cooperation,Closed,Completed,6/30/2014,6/30/2014
"Strengthening resilience against disaster risk of communities in 2 municipalities in Masbate, Philippines",Spain,Plan Internacional España,0.33,0.33,3/1/2012,3/31/2014,100,111.97,11.97,Social Reform and Community Development,Region V,Technical Cooperation,Closed,Completed,6/30/2014,6/30/2014
Promotion of democratic values in the barangays of Gubat,Spain,Zabalketa Association ,0.28,0.28,3/1/2012,3/31/2014,100,111.97,11.97,Governance and Institutions Development,Region V,Technical Cooperation,Closed,Completed,6/30/2014,6/30/2014
"Disaster risk and prevention management with focus on local governance in 3 municipalities in Camarines Norte, Philippines",Spain,Manos Unidas,0.42,0.42,3/1/2013,3/31/2015,100,63.95,-36.05,Social Reform and Community Development,Bicol,Technical Cooperation,Ongoing,Completed,6/30/2014,6/30/2014
"Strengthening of local government in Camarines Norte, to design a plan for community development and climate change adaptation",Spain,FUNDESO,0.4,0.4,3/1/2013,3/31/2015,100,63.95,-36.05,Social Reform and Community Development,Bicol,Technical Cooperation,Ongoing,Completed,6/30/2014,6/30/2014
"Active advocacy of human rights in the barangays of Pilar, Sorsogon",Spain,Zabalketa Association,0.15,0.15,12/1/2013,12/31/2015,100,27.76,-72.24,Governance and Institutions Development,Bicol,Technical Cooperation,Ongoing,Completed,6/30/2014,6/30/2014
"Culture for peace, governance and disaster risk management in Zamboanga City and in the province of Basilan, Philippines",Spain,Manos Unidas,0.35,0.35,12/1/2013,12/31/2015,100,27.76,-72.24,Governance and Institutions Development,"Region XI (Southern Mindanao/Davao), ARMM",Technical Cooperation,Ongoing,Completed,6/30/2014,6/30/2014
"Reduction of vulnerability of affected communities of Typhoon Bopha in the Davao Oriental Region, Philippines",Spain,Humanismo y Democracia Foundation,0.24,0.24,12/1/2013,12/31/2015,100,27.76,-72.24,Social Reform and Community Development,Region XI (Southern Mindanao/Davao),Technical Cooperation,Ongoing,Completed,6/30/2014,6/30/2014
"Build resiliency and improve disaster preparedness among children and vulnerable communities in Region XI, Philippines",Spain,Save the Children Foundation,0.27,0.27,12/1/2013,12/31/2015,100,27.76,-72.24,Social Reform and Community Development,Region XI (Southern Mindanao/Davao),Technical Cooperation,Ongoing,Completed,6/30/2014,6/30/2014
Achieving Sustainable Urban Development (ASUD) in the Philippines,Spain,UN-Habitat,1.16,1.16,1/1/2013,12/31/2015,100,49.82,-50.18,Social Reform and Community Development,National,Technical Cooperation,Ongoing,Completed,6/30/2014,6/30/2014
Emergency assistance to typhoon Pablo affected population,Spain,World Food Program,0,0,1/1/2013,6/30/2013,100,302.78,202.78,Social Reform and Community Development,Region XI (Southern Mindanao/Davao),Emergency/Relief,Closed,Completed,6/30/2014,6/30/2014
"Saving lives through timely, coordinated and principled humanitarian action in the Philippines                                                 ",Spain,OCHA,0,0,7/1/2013,12/31/2013,100,198.91,98.91,Governance and Institutions Development,National,Emergency/Relief,Closed,Completed,6/30/2014,6/30/2014
Emergency assistance to Zamboanga clashes affected population,Spain,Acción Contra el Hambre Foundation,0.06,0.06,10/1/2013,12/31/2013,100,298.9,198.9,Social Reform and Community Development,Region IX (Zamboanga Peninsula),Emergency/Relief,Closed,Completed,6/30/2014,6/30/2014
Assure protection and acces to education to Zamboanga clashes affected children,Spain,Save the Children,0.19,0.19,10/2/2013,12/31/2013,100,301.11,201.11,Social Reform and Community Development,Region IX (Zamboanga Peninsula),Emergency/Relief,Closed,Completed,6/30/2014,6/30/2014
Emergency assistance to Bohol earthquake affected population (WASH and health),Spain,Spanish Red Cross,0.08,0.08,10/3/2013,12/31/2013,100,303.37,203.37,Social Reform and Community Development,Region VII (Central Visayas),Emergency/Relief,Closed,Completed,6/30/2014,6/30/2014
Assure acces to education to Bohol earthquake affected children,Spain,Save the Children,0.21,0.21,10/4/2013,12/31/2013,100,305.68,205.68,Social Reform and Community Development,Region VII (Central Visayas),Emergency/Relief,Closed,Completed,6/30/2014,6/30/2014
Emergency relief to Haiyan victims (WASH and Shelter),Spain,Spanish Red Cross,0.2,0.2,11/1/2013,1/31/2014,100,264.84,164.84,Social Reform and Community Development,Region VIII (Eastern Visayas),Emergency/Relief,Closed,Completed,6/30/2014,6/30/2014
"Emergency relief to Haiyan victims (logistics, generators, NFI, tents)",Spain,Spanish Technical Cooperation Office,0.07,0.07,11/2/2013,12/31/2013,100,406.78,306.78,Social Reform and Community Development,Region VIII (Eastern Visayas),Emergency/Relief,Closed,Completed,6/30/2014,6/30/2014
"Emergency relief to Haiyan victims (Water Treatement Plants, NFI, Plastic sheeting)",Spain,OAH/ Acción Contra el Hambre Foundation/Spanish Red Cross,0.37,0.37,11/3/2013,11/30/2013,100,885.19,785.19,Infrastructure Development,Region VIII (Eastern Visayas),Emergency/Relief,Closed,Completed,6/30/2014,6/30/2014
"Emergency relief to Haiyan victims (Water Treatement Plants, NFI, Plastic sheeting)",Spain,OAH (Office of the Humanitarian Action-AECID),0.05,0.05,11/4/2013,11/30/2013,100,915.38,815.38,Infrastructure Development,Region VIII (Eastern Visayas),Emergency/Relief,Closed,Completed,6/30/2014,6/30/2014
Emergency relief to Haiyan victims (Water),Spain,Spanish Red Cross,0.75,0.75,11/5/2013,12/31/2014,100,56.29,-43.71,Social Reform and Community Development,Region VIII (Eastern Visayas),Emergency/Relief,Closed,Completed,6/30/2014,6/30/2014
Emergency relief to Haiyan victims (Water and Nutrition),Spain,Acción Contra el Hambre Foundation,0.03,0.03,11/6/2013,12/31/2014,100,56.19,-43.81,Social Reform and Community Development,Region VIII (Eastern Visayas),Emergency/Relief,Closed,Completed,6/30/2014,6/30/2014
Emergency relief to Haiyan victims (Spanish Medical Team),Spain,OAH (Office of the Humanitarian Action-AECID),0.41,0.41,11/7/2013,12/30/2013,100,443.4,343.4,Social Reform and Community Development,Region VIII (Eastern Visayas),Emergency/Relief,Closed,Completed,6/30/2014,6/30/2014
Emergency relief to Haiyan victims (Education and Security),Spain,Save the Children,0.21,0.21,11/8/2013,2/28/2014,100,208.93,108.93,Social Reform and Community Development,Region VIII (Eastern Visayas),Emergency/Relief,Closed,Completed,6/30/2014,6/30/2014
Emergency relief to Haiyan victims (Food and Logistics),Spain,World Food Program,0.2,0.2,11/9/2013,12/31/2013,100,448.08,348.08,Social Reform and Community Development,Region VIII (Eastern Visayas),Emergency/Relief,Closed,Completed,6/30/2014,6/30/2014
"Emergency relief to Haiyan victims (Early recovery, WASH and Food security)",Spain,Intermón Oxfam,0.59,0.59,11/10/2013,3/31/2014,100,164.54,64.54,Social Reform and Community Development,Region VIII (Eastern Visayas),Emergency/Relief,Closed,Completed,6/30/2014,6/30/2014
Emergency relief to Haiyan victims (Health),Spain,MSF,0.72,0.72,11/11/2013,1/31/2014,100,285.19,185.19,Social Reform and Community Development,Region VIII (Eastern Visayas),Emergency/Relief,Closed,Completed,6/30/2014,6/30/2014
Srenghthening of the EVRMC in Tacloban,Spain,MdM,0.27,0.27,11/12/2013,5/14/2014,100,125.68,25.68,Social Reform and Community Development,Region VIII (Eastern Visayas),Emergency/Relief,Closed,Completed,6/30/2014,6/30/2014
"Emergency relief to Haiyan victims (logistics, generators, NFI, tents)",Spain,Spanish Technical Cooperation Office,0.06,0.06,11/13/2013,12/31/2013,100,477.08,377.08,Social Reform and Community Development,Region VIII (Eastern Visayas),Emergency/Relief,Closed,Completed,6/30/2014,6/30/2014
Strengthening preparedness and improve the effectiveness of disaster response to humanitarian crises in the Philippines,Spain,Save the Children / Accion Contra el Hambre Foundation,3.4,3.4,1/1/2014,12/31/2017,100,12.33,-87.67,Social Reform and Community Development,Mindanao,Technical Cooperation,Ongoing,On schedule,6/30/2014,6/30/2014
"Building a Culture of Peace, addressing conflict resolution and trauma healing, addressing the causes of absence of peace and promoting values ??and attitudes that foster multicultural Peace community building  in  the Philippines",Spain,Manos Unidas,3.4,3.4,1/2/2014,12/31/2017,100,12.27,-87.73,Social Reform and Community Development,Region IX (Zamboanga Peninsula) and Basilan,Technical Cooperation,Ongoing,On schedule,6/30/2014,6/30/2014
"Promoting good governance in LGUs and building resilient communities with special emphasis on Disaster Risk Prevention in Caraga and Bicol, Philippines",Spain,INTERED Foundation / FRS / Codespa Foundation,3.4,3.4,1/3/2014,12/31/2017,100,12.21,-87.79,Social Reform and Community Development,Region XIII (Caraga) and Bicol,Technical Cooperation,Ongoing,On schedule,6/30/2014,6/30/2014
Intramuros Escuela Taller - Phase VI,Spain,NCCA,0.2,0.2,1/4/2014,12/31/2015,100,24.38,-75.62,Social Reform and Community Development,NCR ,Technical Cooperation,Ongoing,On schedule,6/30/2014,6/30/2014
Strengthening national and local capacities for Disaster Risk Reduction,Spain,"DILG/LGA
NDRRMC/OCD
",1.02,1.02,1/5/2014,12/31/2015,100,24.28,-75.72,Social Reform and Community Development,NCR ,Technical Cooperation,Ongoing,On schedule,6/30/2014,6/30/2014
Establishment of HRD Center in the Philippines,KOICA,TESDA and DND,7.5,3.4,1/1/2012,12/31/2014,45.33,83.2,37.86,Governance and Institutions Development,NCR,Mixed,Closed,Completed,6/30/2014,6/30/2014
Establishment of National Integrated Vehicle Inspection And Management System,KOICA,DOTC,1,21.76,1/1/2013,12/31/2014,"2,176.00",74.76,"-2,101.24",Infrastructure Development,Nationwide,Mixed,Closed,Completed,6/30/2014,6/30/2014
Integrated Sustainable Wood Pellet Manufacturing and Industrial Tree Plantation Development in the Philippines,KOICA,DENR-FMB,3.4,3,1/1/2010,12/31/2013,88.24,112.4,24.16,"Agriculture, Agrarian Reform and Natural Resources",X,Mixed,Ongoing,Behind schedule,6/30/2014,6/30/2014
Adapting to Climate Change Impacts through the Construction of Water Impounding Facilities in the Philippines ,KOICA,DA-NIA,21.76,3.5,1/1/2011,12/31/2016,16.08,58.24,42.15,"Agriculture, Agrarian Reform and Natural Resources",II,Mixed,Ongoing,Behind schedule,6/30/2014,6/30/2014
Phase II Project for Upgrading and Enhancement of Training Programs of the Regional Training Center - Korea Philippines Vocational Training Center in Davao City ,KOICA,TESDA,3,5,1/1/2012,12/31/2014,166.67,83.2,-83.47,Governance and Institutions Development,XI,Mixed,Ongoing,Behind schedule,6/30/2014,6/30/2014
"Establishment of an Integrated Water Resources Information System for Systematic Water Allocation, Development and Management of Pampanga and Bulacan Province",KOICA,NWRB,3.5,7,1/1/2014,12/31/2016,200,16.44,-183.56,"Agriculture, Agrarian Reform and Natural Resources",III,Mixed,Ongoing,On schedule,6/30/2014,6/30/2014
Integrated Agricultural Development Project in Quirino ,KOICA,Provincial Government of Quirino,5,2.5,1/1/2013,12/31/2016,50,37.33,-12.67,"Agriculture, Agrarian Reform and Natural Resources",II,Mixed,Ongoing,On schedule,6/30/2014,6/30/2014
Iloilo GIDA Health System Strengthening,KOICA,Provincial Government of Iloilo,7,4,1/1/2014,12/31/2016,57.14,16.44,-40.7,Social Reform and Community Development,VI,Mixed,Ongoing,On schedule,6/30/2014,6/30/2014
Master Plan Study for the Development of National Airports in the Philippines,KOICA,DOTC,2.5,4,1/1/2014,12/31/2016,160,16.44,-143.56,Infrastructure Development,Nationwide,Mixed,Ongoing,On schedule,6/30/2014,6/30/2014
Establishment of a Radio Frequency Management System in the Philippines,KOICA,NTC,4,4,1/1/2014,12/31/2016,100,16.44,-83.56,Infrastructure Development,Nationwide,Mixed,Ongoing,On schedule,6/30/2014,6/30/2014
Enhancing the Capacity of Production and Distribution of High-Quality Rice Seeds,KOICA,DA - PhilRice,4,5,1/1/2014,12/31/2016,125,16.44,-108.56,"Agriculture, Agrarian Reform and Natural Resources",III,Mixed,Ongoing,On schedule,6/30/2014,6/30/2014
"Establishment of Communications, Ocean & Meteorological Satellite Data Analysis System in the Philippines",KOICA,DOST-PAGASA,4,7.5,1/1/2014,12/31/2016,187.5,16.44,-171.06,"Agriculture, Agrarian Reform and Natural Resources",Nationwide,Mixed,Ongoing,On schedule,6/30/2014,6/30/2014
Interoperable Health Information System for Region 4A-CALABARZON*,KOICA,DOH,5,1,1/1/2014,12/31/2017,20,12.33,-7.67,Social Reform and Community Development,IV-A,Mixed,Ongoing,,6/30/2014,6/30/2014
Updating of the Master Plan on the Development of Aids to Navigation in Luzon and Visayas*,KOICA,DOTC,2.2,2.2,1/1/2014,12/31/2016,100,16.44,-83.56,Infrastructure Development,"NCR, III, IV-A, IV-B, V, VI, VII, VIII",Mixed,Ongoing,,6/30/2014,6/30/2014
"Project to Demonstrate Viability and Removal of Barriers that Impede Adoption and Successful Implementation of Available, Non-Combustion Technologies for Destroying Persistent Organic Pollutants (Philippines)",UNIDO,UNIDO / DENR - EMB,4.11,4.09,9/1/2007,12/1/2014,99.51,94.18,-5.32,"Industry, Trade and Tourism","NCR, Region IV-A, Region IV-B, Region III",Mixed,Ongoing,on schedule,6/30/2014,6/30/2014
Sector plan to phase-out HCFC-141b in the foam sector,UNIDO,UNIDO / DENR - EMB,2.09,1.91,1/1/2011,12/1/2014,91.6,89.23,-2.37,"Industry, Trade and Tourism","NCR, Region IV-A Region VII

",Technical Cooperation,Ongoing,on schedule,6/30/2014,6/30/2014
Demonstration of BAT & BEP in Fossil Fuel-Fired Utilities & Industrial Boilers in Response to the Stockholm Convention on POPs,UNIDO,UNIDO / DENR - EMB,0.67,0.29,5/1/2010,4/1/2015,43.78,84.69,40.91,"Industry, Trade and Tourism",Region III,Mixed,Ongoing,on schedule,6/30/2014,6/30/2014
Philippine Industrial Energy Project,UNIDO,UNIDO / DOE - EUMB,3.17,1.7,1/1/2012,12/1/2017,53.57,42.16,-11.41,"Industry, Trade and Tourism","NCR, Region III, Region IV-A, Region VI, Region VII, Region VIII, Region X, 
Region XI


",Technical Cooperation,Ongoing,on schedule,6/30/2014,6/30/2014
Improve the health and environment of artisanal gold mining communities in Southeast Asia by reducing mercury emissions,UNIDO,UNIDO / DENR - EMB,0.55,0.52,5/1/2013,5/1/2015,93.68,58.22,-35.46,"Industry, Trade and Tourism","CAR, Region V, Region XI",Technical Cooperation,Ongoing,on schedule,6/30/2014,6/30/2014
Enabling Activities to Review and Update the National Implementation Plan for the Stockholm Convention on Persistent Organic Pollutants,UNIDO,UNIDO / DENR - EMB,0.23,0.21,10/1/2012,12/1/2014,95.04,80.53,-14.51,"Industry, Trade and Tourism",National,Technical Assistance,Ongoing,on schedule,6/30/2014,6/30/2014
Philippines NZ Dairy Project,New Zealand,NDA,4.419,0.733,8/1/2013,6/30/2018,16.59,18.56,1.97,"Agriculture, Agrarian Reform and Natural Resources","X, IVA",Others,Ongoing,On schedule,6/30/2014,6/30/2014
Strengthening the Response Capacities of the Philippine Red Cross,New Zealand,Philippine Red Cross,3.898,3.898,6/21/2013,2/29/2016,100,38.05,-61.95,"Agriculture, Agrarian Reform and Natural Resources","NCR, ARMM, II, III, IV, VI, VII, VIII, IX, X, XII",Others,Ongoing,On schedule,6/30/2014,6/30/2014
Integrating DRR and CC Adaptation,New Zealand,UNDP/NEDA,1.112,1.112,4/1/2011,9/30/2014,100,92.8,-7.2,"Agriculture, Agrarian Reform and Natural Resources","CAR, III, IVB, V, VI, VII, VIII, IX, X, XI, XIII, ARMM",Others,Ongoing,On schedule,6/30/2014,6/30/2014
Restoring Agricultural Livelihoods in Conflict Affected Areas,New Zealand,FAO/ARMM DAF,2.649,2.649,4/1/2011,6/30/2014,100,100,0,"Agriculture, Agrarian Reform and Natural Resources",ARMM,Others,Ongoing,On schedule,6/30/2014,6/30/2014
Restoring Agricultural Livelihoods in Typhoon Affected Areas,New Zealand,FAO,1.96,1.96,3/1/2014,10/7/2015,100,20.68,-79.32,"Agriculture, Agrarian Reform and Natural Resources","VI, VII, VIII",Others,Ongoing,On schedule,6/30/2014,6/30/2014
Project ReBUILD,New Zealand,UNDP/Climate Change Commission,1.311,1.311,6/1/2012,6/30/2016,100,50.94,-49.06,"Agriculture, Agrarian Reform and Natural Resources","II. CAR, VI",Technical Cooperation,Ongoing,On schedule,6/30/2014,6/30/2014
Camiguin Coastal Resource Management Programme,New Zealand,DENR,0.79,0.79,2/16/2012,8/30/2014,100,93.41,-6.59,"Agriculture, Agrarian Reform and Natural Resources",X,Others,Ongoing,On schedule,6/30/2014,6/30/2014
NZ ASEAN Scholars Awards ,New Zealand,Others/ Multiagency,1.143,1.143,7/1/2013,6/30/2014,100,100,0,Governance and Institutions Development,All,Technical Cooperation,Ongoing,On schedule,6/30/2014,6/30/2014
Head of Mission Fund ,New Zealand,Others/ Multiagency,0.059,0.059,7/1/2013,6/30/2014,100,100,0,Social Reform and Community Development,All,Others,Ongoing,On schedule,6/30/2014,6/30/2014
Humanitarian Assistance: Bohol Earthquake,New Zealand,UNICEF,0.417,0.417,11/11/2013,7/11/2014,100,95.45,-4.55,Social Reform and Community Development,VII,Emergency/Relief,Ongoing,On schedule,6/30/2014,6/30/2014
Humanitarian Assistance: Typhoon Haiyan (NGO NZDRP),New Zealand,"UNICEF, Philippine Red Cross, Others",1.246,1.246,12/1/2013,12/1/2014,100,57.81,-42.19,Social Reform and Community Development,"VI, VII, VIII",Emergency/Relief,Ongoing,On schedule,6/30/2014,6/30/2014
Self Reliance and Empowerment for the Deaf in Bohol and Leyte,New Zealand,Others/ Multiagency,0.088,0.088,4/1/2011,3/31/2014,100,108.31,8.31,Social Reform and Community Development,"VII, VIII",Others,Ongoing,On schedule,6/30/2014,6/30/2014
Sustainable and Resilient Agribusiness in Mercedes (SARAM),New Zealand,Others/ Multiagency,0.528,0.38,3/1/2013,2/29/2016,71.97,44.38,-27.59,"Agriculture, Agrarian Reform and Natural Resources",V,Others,Ongoing,On schedule,6/30/2014,6/30/2014
HOPENZ - Water and Sustainable Agriculture in Luzon and Mindanao,New Zealand,Others/ Multiagency,0.316,0.316,9/1/2013,11/30/2015,100,36.83,-63.17,"Agriculture, Agrarian Reform and Natural Resources","X, IVA",Others,Ongoing,On schedule,6/30/2014,6/30/2014
Building Actors and Leaders for Advancing Community Excellence in Development (BALANCED Project),USAid,USAID,0.8,,9/17/2008,9/16/2013,,,,Social Reform and Community Development,Nationwide,,,,6/30/2014,6/30/2014
Strengthening Pharmaceutical Systems,USAid,USAID,1.74,,7/23/2010,12/17/2012,,,,Social Reform and Community Development,Nationwide,,,,6/30/2014,6/30/2014
2011 Family Health Survey,USAid,USAID,1.378,1.378,4/8/2011,12/31/2014,100,86.5,-13.5,Social Reform and Community Development,Nationwide,Technical Assistance,Ongoing ,,6/30/2014,6/30/2014
MCHIP,USAid,DOH,1.5,1.5,4/8/2011,9/30/2014,100,92.76,-7.24,Social Reform and Community Development,Nationwide,"Technical Assistance, Training and Capacity Building",Ongoing ,,6/30/2014,6/30/2014
Private Sector Mobilization 2 (PRISM2) Project,USAid,DOH,34.852,31.577,10/30/2009,10/29/2014,90.6,93.37,2.77,Social Reform and Community Development,"NCR, CAR, I-IV-A, VI-VIII, X-XII, CARAGA, ARMM","Technical Assistance, Training and Capacity Building",Ongoing ,,6/30/2014,6/30/2014
Technical Assistance to the DOH (USAID/DELIVER Project-Task Order 1),USAid,DOH,0.41,0.41,9/30/2010,9/29/2014,100,93.77,-6.23,Social Reform and Community Development,Nationwide,Technical Assistance,Ongoing ,,6/30/2014,6/30/2014
Technical Support - National TB Control Program,USAid,USAID,0.663,,9/11/2009,9/30/2014,0,95.01,95.01,Social Reform and Community Development,Nationwide,,,,6/30/2014,6/30/2014
US Pharmacopeia - Promoting Quality Medicine,USAid,USAID,0.73,,9/18/2009,9/17/2014,0,95.67,95.67,Social Reform and Community Development,NCR,,,,6/30/2014,6/30/2014
Technical Support - National TB Control Program,USAid,DOH,1.135,0.885,9/11/2009,9/30/2014,77.97,95.01,17.04,Social Reform and Community Development,Nationwide,Technical Assistance,Ongoing ,,6/30/2014,6/30/2014
US Pharmacopeia - Promoting Quality Medicine,USAid,Food and Drug Administration,2.23,1.23,9/18/2009,9/17/2014,55.16,95.67,40.51,Social Reform and Community Development,NCR,Technical Assistance,Ongoing ,,6/30/2014,6/30/2014
Health Policy Development Program 2 (HPDP-2),USAid,DOH,6,3.799,10/1/2012,9/30/2017,63.32,34.9,-28.41,Social Reform and Community Development,Nationwide,"Technical Assistance, Training, Capacity Building, Studies",Ongoing ,,6/30/2014,6/30/2014
Reaching Out to Most-at-Risk Populations (ROMP),USAid,DOH,1.999,0.785,10/1/2012,9/30/2015,39.27,58.23,18.96,Social Reform and Community Development,"NCR, Region VII",Technical Assistance and Training,Ongoing ,,6/30/2014,6/30/2014
Innovations and Multi-Sectoral Partnerships to Achieve Control of Tuberculosis (IMPACT),USAid,DOH,10,6.217,10/1/2012,9/30/2017,62.17,34.9,-27.27,Social Reform and Community Development,Nationwide,"Technical Assistance, Training and Capacity Building",Ongoing ,,6/30/2014,6/30/2014
"Universal Health Care through Clinical and Organizational Capacity-Strengthening of Midwives for Maternal, Neonatal, Child  Health Nutrition (MNCHN SCALE-UP) Project",USAid,DOH,1.5,0.581,10/1/2012,9/30/2015,38.73,58.23,19.49,Social Reform and Community Development,"NCR, Regions 1, 4A, 6, 7, 8, 9, 10, 11, ARMM","Technical Assistance, Training and Capacity Building",Ongoing ,,6/30/2014,6/30/2014
Systems for Improved Access to Pharmaceuticals and Services (SIAPS) ,USAid,"Lung Center of the Philippines, Research Institute of Tropical Medicine",3.35,1.781,9/23/2011,9/22/2016,53.16,55.37,2.2,Social Reform and Community Development,Nationwide,"Technical Assistance, Training and Capacity Building",Ongoing ,,6/30/2014,6/30/2014
"Integrated Maternal, Neonatal, Child Health and Nutrition/Family Planning Regional Projects  (Luzon)",USAid,DOH,7.305,5.485,1/23/2013,1/22/2018,75.09,28.66,-46.43,Social Reform and Community Development,Luzon,"Technical Assistance, Training, Capacity Building and Commodities",Ongoing ,,6/30/2014,6/30/2014
"Integrated Maternal, Neonatal, Child Health and Nutrition/Family Planning Regional Projects  (Visayas) ",USAid,DOH,6.07,3.835,2/19/2013,2/18/2018,63.18,27.18,-36,Social Reform and Community Development,Visayas,"Technical Assistance, Training, Capacity Building and Commodities",Ongoing ,,6/30/2014,6/30/2014
"Integrated Maternal, Neonatal, Child Health and Nutrition/Family Planning Regional Projects  (Mindanao)",USAid,DOH,9.209,4.424,2/19/2013,2/18/2018,48.04,27.18,-20.86,Social Reform and Community Development,Mindanao,"Technical Assistance, Training, Capacity Building and Commodities",Ongoing ,,6/30/2014,6/30/2014
Communication for Health Advancement through Networking and Governance Enhancement (CHANGE),USAid,DOH,6.555,4.284,2/1/2013,1/31/2018,65.35,28.16,-37.19,Social Reform and Community Development,Nationwide,Technical Assistance and Training,Ongoing ,,6/30/2014,6/30/2014
Health Leadership and Governance Program,USAid,DOH,1,0.073,10/1/2013,9/30/2016,7.3,24.84,17.54,Social Reform and Community Development,Nationwide,Contribution to Zuellig Foundation's activities.  Zuellig Foundation's share is $3.7 million,Ongoing ,,6/30/2014,6/30/2014
USAID Contribution to the Mindanao Trust Fund,USAid,MINDA,0.75,0.75,8/31/2007,6/30/2017,100,69.48,-30.52,Governance and Institutions Development,MILF areas of Mindanao,"Technical Assistance, Training, Block grants",Ongoing,,6/30/2014,6/30/2014
Growth with Equity in Mindanao III (GEM III),USAid,MINDA,111.524,106.605,1/1/2008,4/30/2014,95.59,102.64,7.05,Governance and Institutions Development,Mindanao-wide,"Technical Assistance, Training, Capacity Building, Studies",Ongoing ,,6/30/2014,6/30/2014
Transforming Conflicts in Sulu and Basilan through People to People Engagement,USAid,MINDA,1.087,0.568,3/30/2012,3/29/2015,52.25,75.14,22.88,Governance and Institutions Development,ARMM,Technical Assistance and Training,Ongoing ,,6/30/2014,6/30/2014
Applying the 3B's to Land Conflict in Mindanao (A3B to Land Conflict),USAid,MINDA,1.055,0.662,4/3/2012,9/20/2015,62.75,64.66,1.92,Governance and Institutions Development,Mindanao,Technical Assistance and Training,Ongoing ,,6/30/2014,6/30/2014
"Enhancing Governance, Accountability and Engagement (ENGAGE)",USAid,MINDA,3.5,2.352,4/18/2013,4/17/2018,67.2,24,-43.2,Governance and Institutions Development,"Zamboanga City, Cotabato City, Isabela City, Marawi, Jolo and Southern Basilan","Technical Assistance, Training and Capacity Building",Ongoing ,,6/30/2014,6/30/2014
Logistics Support for Mindanao Activities (LOGISTICS),USAid,MINDA,0.849,0,1/1/2014,12/31/2016,0,16.44,16.44,Governance and Institutions Development,Mindanao,Technical Assistance,Ongoing,,6/30/2014,6/30/2014
"Women, Peace and Security: Increasing Participation of Women in Conflict Areas in Mindanao (WPS)",USAid,NGOs,0.497,0.092,8/30/2013,8/29/2015,18.51,41.7,23.19,Governance and Institutions Development,"Zamboanga City, Cotabato City, Isabela City, Marawi, Jolo and Southern Basilan",Technical Assistance and Training,Ongoing,,6/30/2014,6/30/2014
Climate Change and Clean Energy Project,USAid,"Department of Energy, Energy Regulatory Commission",7.559,7.487,5/10/2010,2/28/2014,99.05,108.78,9.73,"Agriculture, Agrarian Reform and Natural Resources","NCR, I, III, VI, IX","Technical Assistance, Training and Capacity Building",Closed,,6/30/2014,6/30/2014
Partnership for Biodiversity Conservation II,USAid,"Department of Environment and Natural Resources, Department of Agriculture",0.935,0.9,6/4/2010,6/23/2014,96.26,100.47,4.22,"Agriculture, Agrarian Reform and Natural Resources","IV-B, X, XIII","Technical Assistance, Training and Capacity Building",Ongoing ,,6/30/2014,6/30/2014
MSC Program on Management of Marine Protected Areas,USAid,Department of Environment and Natural Resources,0.522,0.265,10/24/2011,4/24/2016,50.77,59.61,8.84,"Agriculture, Agrarian Reform and Natural Resources",NCR (Dist 2),"Technical Assistance, Training and Capacity Building",Ongoing ,,6/30/2014,6/30/2014
Reducing Threats to Philippine Biodiversity and Ecosystems thru Environmental Law Enforcement Capacity Strengthening,USAid,Department of Environment and Natural Resources,0.5,0.484,12/9/2011,2/28/2014,96.8,115.02,18.22,"Agriculture, Agrarian Reform and Natural Resources","Luzon, Visayas, Mindanao (selected provinces) and ARMM","Technical Assistance, Training and Capacity Building",Ongoing ,,6/30/2014,6/30/2014
Coastal Climate Change Adaptation:  Marine Protected Areas,USAid,Department of Environment and Natural Resources,1.497,0.788,6/29/2012,6/29/2016,52.64,50.03,-2.6,"Agriculture, Agrarian Reform and Natural Resources","Luzon, Visayas, Mindanao (selected provinces)","Technical Assistance, Training and Capacity Building",Ongoing ,,6/30/2014,6/30/2014
Ecosystems Improved for Sustainable Fisheries Program,USAid,Department of Environment and Natural Resources,5.967,4.604,6/29/2012,6/28/2017,77.16,40.05,-37.1,"Agriculture, Agrarian Reform and Natural Resources","Regions IVA/B, Bicol Region, Region VI, VII, VIII, XIII, ARMM","Technical Assistance, Training and Capacity Building",Ongoing ,,6/30/2014,6/30/2014
