sequence,city,trade_or_business_name,printer_name,registered_address,permanent_accreditation_number,date_of accreditation,email_address,contact_number
RDO 15,"Naguilan, Isabela",Foremost Jade Enterprises,Vincent K. Wong,"#43 Atip St. Silauan Sur, Echague, Isabela",015MP20130000000023,12/19/2013,wongstervice@gmail.com,"(078) 305-9058"
RDO 15,"Naguilan, Isabela",Irish Printing Press,Rory Danilo M. Castro,"Brgy. San Fermin, Cauayan City, Isabela",015MP20130000000010,12/19/2013,irishprintingpress@yahoo.com,to follow
RDO 15,"Naguilan, Isabela",Katrina's Printing Press,George A. Manaligod,"#26 Carreon St. Centro East, Santiago City, Isabela",015MP20130000000011,12/19/2013,katrinas_printing@yahoo.com,"(078) 305-2108"
RDO 15,"Naguilan, Isabela",Kwik Copy Printing and Publishing,Priscila P. Cabugao,"738 Don Jocson St. Brgy. Mabini, Santiago City, Isabela",015MP20130000000017,12/19/2013,geminibhabes@yahoo.com,"(078) 305-2047"
RDO 15,"Naguilan, Isabela",Lob. Printhauz,Leticia C. Arellano,"km 318 Provincial Road, Brgy. Sagat, Cordon, Isabela",015MP20130000000013,12/19/2013,lobprinthauz@yahoo.com.ph,to follow
RDO 15,"Naguilan, Isabela",New Valley Times Press,Ferdinand Bascos,"National Highway Bliss Vill.,Ilagan City, Isabela",015MP20130000000012,12/19/2013,newvtpress@yahoo.com,"(078) 624-0168"
RDO 15,"Naguilan, Isabela","Progressive Printing Press and Bookstore, Inc.","Progressive Printing Press and Bookstore, Inc.","Miranda Blvd. Centro East, Santiago City, Isabela",015MP20130000000002,12/19/2013,neriebartolome527@yahoo.com,"(078) 305-0699"
RDO 15,"Naguilan, Isabela",Sher's Prints and Paper Shop,Ernesto C. Uy,"Roxas Dist., Cauayan City, Isabela",015MP20130000000003,12/19/2013,midtownprintinghouse@yahoo.com,"(078) 652-2193"
RDO 15,"Naguilan, Isabela",Taguinod P.O.D. Printing Press,Jeffrey C. Taguinod,"City Road, Dubinan East, Santiago City, Isabela",015MP20130000000015,12/19/2013,podprintingpress@yahoo.com.ph,"(078) 305-0917"
RDO 15,"Naguilan, Isabela",Ubando Printing Press,Emiliano M. Ubando,"T. Dalupang St. Dist. 2, Cauayan City, Isabela",015MP20130000000001,12/19/2013,ubandopress_cyn@yahoo.com,"(078) 652-0003"
RDO 16,"Cabarroguis, Quirino",Krznad Print Hauz,Danilo F. Vaquilar,"National Highway, AndresBonifacio, Diffun, Quirino",016MP20140000000001,2/20/2014,marivonprinthauz@yahoo.com,0907-5199755
RDO 16,"Cabarroguis, Quirino",LCC Printing Press,Leonila C. Carreon,"Purok 7 Rizal, Diffun, Quirino",016MP20140000000003,2/20/2014,leonida.carreon.9@facebook.com,0916-8595285
RDO 16,"Cabarroguis, Quirino",SGO Press and Enterprises,Silvestre G. Oligan,"Andres Bonifacio, Diffun, Quirino",016MP20140000000002,2/20/2014,joy_glysle09@yahoo.com,0926-3696591
RDO 17A,Tarlac City,Acmendoza Printing Co. Inc.,Acmendoza Printing Co. Inc.,"San Sebastian, Tarlac City",17AMP20130000000001,12/27/2013,mendopress@yahoo.com,(045) 982-1814
RDO 17A,Tarlac City,Cervantes Printing Press,Jesus Jose Flores Cervantes,"Juan Luna St. Sto. Cristo, Tarlac City",17AMP20130000000002,12/27/2013,jjjcervant@yahoo.com,(045) 982-2125
RDO 17A,Tarlac City,Diolazo Printing Press,Diolazo Printing Press and Gen. MDSE. Corp.,"F. Tanedo St. San Nicolas, Tarlac City",17AMP20130000000003,12/27/2013,robertdiolazo@yahoo.com,(045) 493-0125
RDO 17A,Tarlac City,VC Deuz Printing Press and Enterprises,Vilma Deuz Lucas,"Zapiro St. San Nicolas, Tarlac City",17AMP20130000000004,12/27/2013,vcdeuz@gmail.com,(045) 628-0854
RDO 17B ,"Paniqui, Tarlac",CMB Delos Reyes Enterprises Corporation,CMB Delos Reyes Enterprises Corporation,"Quezon Ave., Poblacion, Camiling, Tarlac",17BMP20130000000001,12/27/2013,cmbdelosreyes@gmail.com,0949-8933951
RDO 17B ,"Paniqui, Tarlac",JML Printing Press,Romeo Aquino Jarabe,"Capaoayan, Moncada, Tarlac",17BMP20130000000002,12/27/2014,[ to follow ],0927-8054171
RDO 18,Olongapo City,Aaron's Printing Press,Melba David del Rosario,"11 20th Cor brill St. West Bajac bajac,Olongapo City",018MP20140000000002,1/14/2014,melba.delrosario@ymail.com,0927-9104056/0949-9854187
RDO 18,Olongapo City,C.G.B Printing Press,Irene Balading Laxa,"0778 Mapanao Asinan Proper, Subic, Zambales",018MP20140000000003,1/14/2014,cgb.printingpress@yahoo.com,0915-3636852
RDO 18,Olongapo City,"Diorella Print Shop International Corporation","Diorella Print Shop International Corporation","7 5th St. East Tapinac, Olongapo City",018MP20140000000009,1/21/2014,inquiry@diorellaprints.com.ph,"222-2888/224-(047)2494/222-2718"
RDO 18,Olongapo City,Ebalo Printing Press,Albert F. Ebalo,"Zone 2, Iba, Zambales",018MP20140000000006,1/21/2014,ebalopress@yahoo.com,"0927-3139411/0919-5606424/(047)811-1070"
RDO 18,Olongapo City,G.R.G Printing Press,Rowena Garcia Pamintuan,"2722 Rizal Ave. East Bajac bajac, Olongapo City",018MP20140000000011,2/18/2014,grgprintingpress@yahoo.com,(047) 222-8312
RDO 18,Olongapo City,GMA2 Printing and Services,Margie Amlog Novilla,"11 Nieves Mabayuan, Olongapo City",018MP20140000000001,1/14/2014,dwins14@yahoo.com,"(047) 223-7723/603-1030"
RDO 18,Olongapo City,JJ Printing Press,Jesus N. Federico,"66 National Road, Lower Kalaklan, Olongapo City",018MP20140000000007,1/21/2014,jjprintpress@yahoo.com.ph,"222-4770/0917-(047)8848075"
RDO 18,Olongapo City,Jujacas Printing Press,Corazon S. Arranguez,"87-A Hansen St. East Tapinac, Olongapo City",018MP20140000000010,1/29/2014,tolites_jcjprinting@yahoo.com,0924-5927999/0927-5927999
RDO 18,Olongapo City,JV's Printing Press,Violeta T. Ardona,"147 Otero Ave. Mabayuan, Olongapo City",018MP20140000000008,1/21/2014,jvsprintingpress@gmail.com,"(047) 222-2177"
RDO 18,Olongapo City,Matias Press,Noemi N. Matias,"835 Rizal Ave. West Tapinac, Olongapo City",018MP20140000000012,2/26/2014,matiaspress07@yahoo.com,(047) 222-3311
RDO 18,Olongapo City,Olongapo Press,norma m. tolentino,"131-B Murphy St. New Kalalake, Olongapo City",018MP20140000000005,1/21/2014,"olongapo_press@yahoo.com/normatolentino_1014@yahoo.com","(047) 222-4654"
RDO 18,Olongapo City,Print Impress Supplies and Services,April Tolentino Aragoza,"138 Otero Ave., Mabayuan, Olongapo City",018MP20140000000004,1/21/2014,print_impress27@yahoo.com,"(047) 224-8708"
RDO 20,Balanga City,Balanga JC Press,Tomasita Dizon Aquino,Don Manuel Banzon Ave. DFS Balanga City,020MP20130000000002,12/27/2013,balangajcpress@yahoo.com,(047) 237-3418
RDO 20,Balanga City,Balanga Printing Press,Gliceria Teopengco Santiago,"Santiago Bldg, Capitol Drive, San Jose, Balanga City Bataan",020MP20130000000009,12/27/2013,bpp.gsan@yahoo.com.ph,(047) 237-5988
RDO 20,Balanga City,Central Printing Press,Valentina Corazon Cruz Fedelino,"421 Masagana Central, Balanga City, Bataan",020MP20130000000005,12/27/2013,bundalian_gina@yahoo.com,0921-6048538
RDO 20,Balanga City,DJM Printing Press,Liberty Cantorna Caabay,"Petronila Vill., Kaparangan Orani, Bataan",020MP20130000000003,12/27/2013,djmprintingpress@yahoo.com,(047) 431-2065
RDO 20,Balanga City,Ingrid Printing Press and Services,Ingrid Bugay Santiago,"Daang Bago, Samal, Bataan",020MP20130000000010,12/27/2013,gilsan57@gmail.com,(047) 633-0827
RDO 20,Balanga City,Kuyang's Printing Press,Arsenio Dimen Sy,"Burgos St. Poblacion, Balanga City",020MP20130000000013,12/27/2013,ody_espinosa@yahoo.com,(047) 791-1683
RDO 20,Balanga City,Laine Printing House,Carmelita Cruz Valencia,"Zamora St. Bagumbayan, Balanga City",020MP20130000000014,12/27/2013,valenciajoseph19@gmail.com,0908-2792728
RDO 20,Balanga City,Mariveles Printing Press,Benjamin Supnet Ramos,"#380 Zamora St. Poblacion Mariveles, Bataan",020MP20130000000008,12/27/2013,brbugarin@yahoo.com,(047) 935-4829
RDO 20,Balanga City,MCS Printing Press,Elizabeth Munoz Sedano,"Ibayo Omboy, Abucay, Bataan",020MP20130000000011,12/27/2013,mcsprintingpress@yahoo.com,0921-6836626
RDO 20,Balanga City,Orion Printing Services,Edgardo Austria Egual,"Sto. Domingo, Orion, Bataan",020MP20130000000004,12/27/2013,edgar_egual@yahoo.com.ph,(047) 244-4151
RDO 20,Balanga City,Orzen Printhouse,Zenaida Madulid Aquende,"Bagong Silang, Balanga City, Bataan",020MP20130000000001,12/27/2013,orzenprinthouse@gmail.com,(047) 237-9718
RDO 20,Balanga City,R.C. Serrano Printing Press,Ronald Henry Cruz Serrano,"National Road, Bayan Orani, Bataan",020MP20130000000012,12/27/2013,josie_jvc@yahoo.com,(047) 237-0815
RDO 20,Balanga City,RPN Printing Services,Roel Paguio Nuestro,"Capitol Drive, San Jose, Balanga City, Bataan",020MP20130000000007,12/27/2013,roelnuestro_RPN@yahoo.com,(047) 237-1521
RDO 20,Balanga City,St. Joseph Printing Press,Rufino Macalino Gozun,"Adelfa St. San Jose, Balanga City, Bataan",020MP20130000000006,12/27/2013,stjosephprinting@gmail.com,(047) 237-2714
RDO 21A ,"North, Pampanga",3JMD Printing Press,Marigrace David,"332 Mali St. Brgy. Cutcut, Angeles City",21AMP20130000000010,9/29/2013,jdmprintingpress@yahoo.com,0939-4012405
RDO 21A ,"North, Pampanga",515 Graphics Avenue,Cristy Rullan,"R.G. Gomez Mc Arthur Highway, Salapungan, Angeles City",21AMP20130000000034,9/29/2013,515grapicsavenue@gmailcom,(045) 458-0458
RDO 21A ,"North, Pampanga",ACP Print Shop,Carmelo Naguiat,"Rural bank Compound, Sto. Entierro St. Sto. Cristo Angeles City",21AMP20130000000029,9/29/2013,acpprintshop@gamail.com,(045) 888-9940
RDO 21A ,"North, Pampanga",Angeles Pima Press Corporation,Angeles Pima Press Corporation,"2464 Sto. Entierro St. Sto. Cristo, Angeles City 2009",21AMP20130000000002,9/29/2013,pimaprints@yahoo.com.ph,(045) 888-6389
RDO 21A ,"North, Pampanga",Cabalen Printing Press,Jhoanna Sangcap Waters,"808 Purok 3, Manibaug Paralaya, Porac, Pampanga",21AMP20130000000020,9/29/2013,jswwaters@yahoo.com,0908-8982080
RDO 21A ,"North, Pampanga",Camidan Press,Juanito Jovelianos Aquino,"466 3rd St. Citi Center,Phase2, Tabun, Angeles City 2009",21AMP20130000000014,9/29/2013,naquino_jc@yahoo.com,(045) 322-4573
RDO 21A ,"North, Pampanga",Citizen's Printing Press,Hilana Timbol Roman,"San Lorenzo Mall, Dau, Mabalacat, Pampanga",21AMP20130000000019,9/29/2013,citizens_printing_press@yahoo.com,"(045) 624-0726/436-8556"
RDO 21A ,"North, Pampanga",City Clark Graphic Printer,Roderick del Rosario Salunga,"1-A malonzo Cortex Bldg. Magalang Road, Salapungan, Angeles",21AMP20130000000031,9/29/2013,cityclarkgp@yahoo.com,0922-8308820
RDO 21A ,"North, Pampanga",CKP Printing Press,Teddy Manaloto,"353 Atis St. Landtenure, Pandan, Angeles City",21AMP20130000000004,9/29/2013,teddymanaloto@yahoo.com,0917-5086776
RDO 21A ,"North, Pampanga",Crisman Printing Services,Cheraldine de Guzman Crisostomo,"120 Jose Abad Santos St. Salapungan, Angeles City",21AMP20130000000007,9/29/2013,crismanprint06@yahoo.com,(045) 322-1113
RDO 21A ,"North, Pampanga",Dad's Printing Press,Freddie Venzon Pineda,"105 Ilang-ilang St. Sinura, Porac, Pampanga",21AMP20130000000024,9/29/2013,dadsprinting@yahoo.com,0919-8415012
RDO 21A ,"North, Pampanga",DAU Printing Press,Lucia Halili,"019 Adela Bldg. Mc Arthur Highway, Mabalacat, Dau, Pampanga",21AMP20130000000023,9/29/2013,dau_printing_press@yahoo.com,(045) 331-2856
RDO 21A ,"North, Pampanga",EMK Typesetting Services and Printing Press,Eduardo Gania,"735 Evangelista St. Lourdes Sur, Angeles City",21AMP20130000000027,9/29/2013,emkprinting@yahoo.com,0916-3886578
RDO 21A ,"North, Pampanga",EA Print Shop,Edison Anunciacion,"5041 Rizal St. Lourdes Sur, Angeles City",21AMP20130000000013,9/29/2013,printrus@yahoo.com,0943-3316986
RDO 21A ,"North, Pampanga",Galvan Printshop,Gerwin Galvan,"661 Biak na Bato, Salapungan, Angeles City",21AMP20130000000035,9/29/2013,gerwin_galvan@yahoo.com,to follow
RDO 21A ,"North, Pampanga",Gem-Irad Printing Press,JOSELINA GALANG MANALOTO,2415 DR SURLA ST BALIBAGO ANGELES CITY,21AMP20130000000016,9/29/2013,gem_irad@yahoo.com,0915-9164805
RDO 21A ,"North, Pampanga",Ginintuang Imprenta,ARNEL GUECO,3-25 PACIMAR ESTATE PULUNGBULU ANGELES CITY,21AMP20130000000006,9/29/2013,ginintuang_imprenta@yahoo.com.ph,0922-8870139
RDO 21A ,"North, Pampanga",Homs Printers,Florian David,"353 Mekong St. Anunas, Angeles City",21AMP20130000000012,9/29/2013,homptinters03@yahoo.co,(045) 625-6951
RDO 21A ,"North, Pampanga",ICM Printshop,Israel Manaloto,"Dizon Bldg. Sto. Rosario St. Sto. Rosario, Angeles City",21AMP20130000000036,9/29/2013,icm_printshop@yahoo.com,(045) 322-4435
RDO 21A ,"North, Pampanga",Irinco Printing Press,Rico Santos Irinco,"213 Corazon St. Nepo Subd. Cutcut, Angeles City",21AMP20130000000009,9/29/2013,irinco@yahoo.com,0919-2767242
RDO 21A ,"North, Pampanga",Linor Printing Press,Rosalina Calma Santos,"678 Sto. Rosario St. Sto. Domingo, Angeles City",21AMP20130000000001,9/29/2013,linorprintingpress@gmail.com,0922-23122114
RDO 21A ,"North, Pampanga",MDK Printing Press,Arnold Mendoza Manaloto,"Stall #2 Edan's Bldg. Clarkview, Angeles City",21AMP20130000000008,9/29/2013,mdkprinting@yahoo.com,"(045) 625-0077/889-32482"
RDO 21A ,"North, Pampanga",MAD A Printshop,Adamson Basilio,"B. Aquino St. Lourdes Sur East, Angeles City",21AMP20130000000026,9/29/2013,madaprinshop@gmail.com,0927-8034818
RDO 21A ,"North, Pampanga",Mafsarr's Printing and Publishing,Moises Magcalas Pineda,"4030 Henson St. Agapito del Rosario, Angeles City 2009",21AMP20130000000003,9/29/2013,mafsarrs_printing_press@yahoo.com,0916-4491057
RDO 21A ,"North, Pampanga",Metro JGT Publishing House,Jennifer Anne G. Tayag,"Fajardo St. Lourdes Sur East, Angeles City 2009",21AMP20130000000032,9/29/2013,metropublishing@yahoo.com,(045) 624-0017
RDO 21A ,"North, Pampanga",MGD Printing Press,Mauro Gaso Duran,"236 Dagohoy St. Lourdes Sur East, Angeles City",21AMP20130000000015,9/29/2013,mgdprinting@yahoo.com,(045) 598-0102
RDO 21A ,"North, Pampanga",Mhiles Press Offset or Letter Press,Mila Ocampo Cruz,"Blk 175, Lot 23 Bac. Ext. Mabalacat, Madapdap Restl, Pampanga",21AMP20130000000037,9/29/2013,mhilesprinting@yahoo.com,0916-4491057
RDO 21A ,"North, Pampanga",Odyssey Printing Press,David David,"Purok 3, Porac Brgy. Sinura, Pampanga",21AMP20130000000022,9/29/2013,odysseyprinting_2011@yahoo.com,0917-3544667
RDO 21A ,"North, Pampanga",Prints.Online Printing Press,Edwin Ricamata,"Stall 1, Sto. Rosario St. Sto. Domingo, Angeles City",21AMP20130000000033,9/29/2013,"prints.online_printingpress@yahoo.com",(045) 425-0008
RDO 21A ,"North, Pampanga",R.Q. Printers,Romeo Junto Regero,"728 P Santos, Cor. Robin St. Nepo Subd. Sto. Cristo, Angeles City",21AMP20130000000011,9/29/2013,rqpriters@yahoo.com,0921-6238531
RDO 21A ,"North, Pampanga",Red Gro Printing Press,Redentor Roque,"Enriquez Comp. Balibago, Angeles City",21AMP20130000000030,9/29/2013,rgroque_cpa@hotmail.com,(045) 6258163
RDO 21A ,"North, Pampanga",San Jose Press,San Jose Press,"1286 Miranda St. Sto. Rosario, Angeles City",21AMP20130000000005,9/29/2013,jeremias_abad@yahoo.com,(045) 322-3454
RDO 21A ,"North, Pampanga",Sicat Printing Press,Ruben Sicat,"Porac Manibaug, Paralaya, Pampanga",21AMP20130000000021,9/29/2013,sicatpress@gmail.com,(045) 323-5450
RDO 21A ,"North, Pampanga",The Letterpress,Jaime Payabayab Sta. Maria,"3027 Mc Arthur Highway c.m. Recto, Angeles City",21AMP20130000000017,9/29/2013,the.letterpress@yahoo.com,"(045) 322-2571/626-1853"
RDO 21A ,"North, Pampanga",Trikjanmae Printing Press,Glenn Patawaran,"Porac Poblacion, Pampanga",21AMP20130000000018,9/29/2013,trikmaeprintingprinting@yahoo.com,0921-73256480
RDO 21A ,"North, Pampanga",V.P. Gaviola Printing Services,Virginia Gaviola,"3-23 Manansala St. Manga Pulungbulo, Angeles City",21AMP20130000000028,9/29/2013,jingfup@yahoo.com,0920-9249549
RDO 21A ,"North, Pampanga",VR Printing Press,Victor Ramirez,"Mc Arthur Highway, Mabalacat Dau, Pampanga",21AMP20130000000025,9/29/2013,vicgramz@yahoo.com,(045) 331-2962
RDO 21B,South Pampanga,ASF Printing Press,"The Roman Catholic Archbishop of San FDO.","San Jose, City of San Fernando, Pampanga",21BMP20130000000014,12/18/2013,asfpress@yahoo.com,"(045) 961-28919/961-6772"
RDO 21B,South Pampanga,Aime Printing Press,Myrna Q. Torres,"40 San Isidro, City of San Fernando, Pampanga",21BMP20130000000017,12/18/2013,tq.enterprises05@yahoo.com,"(045) 860-2630"
RDO 21B,South Pampanga,Alexander Printing Press,Albert S. David,"54 Capitol Blvd. Sto.Nino, City of San Fernando, Pampanga",21BMP20130000000012,12/18/2013,albertd1david@yahoo.com,"(045) 961-2315"
RDO 21B,South Pampanga,Archel Printing Services,Arnel T. Gomez,"#85 J Pineda St. San Matias, Sto. Tomas, Pampanga",21BMP20130000000032,12/18/2013,archelprinting@yahoo.com,"(045) 436-1729"
RDO 21B,South Pampanga,Colgante Printing Press,Leonilo M. Buan,"101 Centro I Colgante, Apalit, Pampanga",21BMP20130000000031,12/18/2013,printing.colgante@yahoo.com,0907-1770457
RDO 21B,South Pampanga,Cornerlink Internet and Printing Services,Raymond P. Yap,"03 Heroes Ave. Kalayaan Vill. Quebiawan, City of San Fernando, Pampanga",21BMP20130000000016,12/18/2013,redrock_1000@yahoo.com,"(045) 455-0549"
RDO 21B,South Pampanga,D' Power Imprenta Printing Press,Jose Ranillo M. Dijamco,"800 St. Dominic Subd. San Miguel Betis, Guagua, Pampanga",21BMP20130000000010,12/18/2013,dijamcojulius@yahoo.com,0921-2266228 /900-2881
RDO 21B,South Pampanga,Del Carmen Printing Press,Michael June L. Bacani,"Del Carmen, City of San Fernando, Pampanga",21BMP20130000000020,12/18/2013,michaeljunebacani@yahoo.com,0935-8552109
RDO 21B,South Pampanga,Del Pilar Printing Press,Policarpio L. Rivera,"114 Cuyugan St. del Pilar, City of San Fernando, Pampanga",21BMP20130000000013,12/18/2013,delpilar_printingpress@yahoo.com,0999-495419
RDO 21B,South Pampanga,Eddvien Printing Services and Enterprises,Violeta B. Francisco,"Mc arthur Highway, Sampaloc, Apalit, Pampanga",21BMP20130000000030,12/18/2013,eddvienpress@yahoo.com,0932-4453628
RDO 21B,South Pampanga,EEID Printing Press,Daniel C. David,"blk 33 Lot 4, Laon Resttlement, Bulaon, City of San Fernando, Pampanga",21BMP20130000000029,12/18/2013,eeidprintingpress@yahoo.com,0932-8642730
RDO 21B,South Pampanga,EJM Printing Press,Eduardo I. Pacheco,"Jose Abad Santos (siran), Guagua, Pampanga",21BMP20130000000011,12/18/2013,ejm_printing@yahoo.com,0929-3361159
RDO 21B,South Pampanga,Eli-Bonn Press,Gloria M. Bondoc,"Gopiao Bldg. Mc Arthur Highway, Dolores, City of San Fernando, Pampanga",21BMP20130000000024,12/18/2013,elibonnpress@yahoo.com,0917-4637862
RDO 21B,South Pampanga,Ella-Kim Printing Services,Maria Teresita P. America,"377 Purok 3, San Miguel Betis, Guagua, Pampanga",21BMP20130000000009,12/18/2013,ellakimprinting@yahoo.com,0939-1794446
RDO 21B,South Pampanga,Emagine Printing Press,Samson B. David,"Imagine Bldg, Mc Arthur Highway, Cerhill Quebiawan, City of San Fernando, Pampanga",21BMP20130000000021,12/18/2013,emagineprinting@yahoo.com,"(045) 300-0682"
RDO 21B,South Pampanga,Guagua Printing,Orlando P. Roque,"271 Purok 5 Sto. Nino, Guagua, Pampanga",21BMP20130000000005,12/18/2013,guaguaprinting2013@yahoo.com,0915-9845724
RDO 21B,South Pampanga,I Printshop and Business Center,Gina M. Maminta,"Essel Park Subd. Telabastagan, City of San Fernando, Pampanga",21BMP20130000000028,12/18/2013,21121netcafe@yahoo.com,0922-8332112/0917-8832972
RDO 21B,South Pampanga,JCLM Printing Press,Rodolfo R. Manalili,"Jose Abad Santos Pilar Vill. San Isidro, City of San Fernando, Pampanga",21BMP20130000000022,12/18/2013,jclmprintingpress@yahoo.com,"(045) 860-5677"
RDO 21B,South Pampanga,Jesher Trading and Printing,Noel S. Samonte,"800 St. Dominic Subd. San Miguel Betis Guagua, Pampanga",21BMP20130000000006,12/18/2013,miriam.samonte@yahoo.com,"(045) 900-0897"
RDO 21B,South Pampanga,K-Line Printing,Jun D. Quiambao,"67 Jose P. Rizal St. Parian, Mexico, Pampanga",21BMP20130000000026,12/18/2013,klineprinting08@yahoo.com,"(045) 875-1484"
RDO 21B,South Pampanga,"Lorraine Printing Press, Inc.",Lorraine Printing Press Inc.,"Sto. Nino, Guagua, Pampanga",21BMP20130000000004,12/18/2013,connie_lansang@yahoo.com,0920-9526375
RDO 21B,South Pampanga,Mexico Printing Company Inc.,Mexico Printing Company Inc.,"Jose Abad Santos St. Parian, Mexico, Pampanga",21BMP20130000000034,12/18/2013,mexicoprinting_pamp@yahoo.com,"(045) 966-0511/966-0787"
RDO 21B,South Pampanga,Mirtech Printing Services,Ma. Theresa S. Manalang,"Sto. Cristo, Guagua, Pampanga",21BMP20130000000003,12/18/2013,theresamanalang@yahoo.com,0917-5231901
RDO 21B,South Pampanga,Printer's World Inc.,Printers World Inc.,"Sto. Nino, Guagua, Pampanga",21BMP20130000000002,12/18/2013,printers_world@yahoo.com,"(045) 900-0512"
RDO 21B,South Pampanga,Printers Mark Offset and Designs,Ma. Dolores H. David,"O.G. Road, Dolores City of San Fernando, Pampanga",21BMP20130000000018,12/18/2013,printersmark@yahoo.com,"(045) 961-6775"
RDO 21B,South Pampanga,Publicitta Printing Press,Marivic A. Dizon,"Juliana Subd. Jualiana, City of San Fernando, Pampanga",21BMP20130000000023,12/18/2013,madzonprintshop@yahoo.com,0923-9475921
RDO 21B,South Pampanga,Ram Printers,Violeta D. Samson,"91 Mc Arthur Highway San Nicolas, San Fernando, Pampanga",21BMP20130000000033,12/18/2013,ramprinters85@gmail.com,"(045) 961-2391/301-5789"
