particular,A002,A003,A004,A006,A007,A008,A009,A010,A014,A017,A018,A019,A021,A022,A029,A117,A118,A119,A121,A122,A123,A124,A126,A127,Total
               Lung Center of the Philippines,0,0,0,0,0,0,0,"157,560",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"157,560"
               National Kidney and Transplant Institute,0,0,0,0,0,0,0,"164,800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"164,800"
               Philippine Children`s Medical Center,0,0,0,0,0,0,0,"345,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"345,000"
               Philippine Heart Center,0,0,0,0,0,0,0,"187,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"187,000"
               Philippine Institute of Traditional and,,,,,,,,,,,,,,,,,,,,,,,,,
                     Alternative Health Care,0,0,0,0,0,0,0,"40,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"40,000"
,,,,,,,,,,,,,,,,,,,,,,,,,
          Department of Trade and Industry,0,0,0,0,0,0,0,"151,510",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"151,510"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Aurora Pacific Economic Zone and,,,,,,,,,,,,,,,,,,,,,,,,,
                     Freeport Authority (formerly ASEZA),0,0,0,0,0,0,0,"55,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"55,000"
               Center for International Trade,,,,,,,,,,,,,,,,,,,,,,,,,
                     Expositions and Missions,0,0,0,0,0,0,0,"88,510",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"88,510"
               Cottage Industry Technology Center,0,0,0,0,0,0,0,"8,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,000"
,,,,,,,,,,,,,,,,,,,,,,,,,
          Department of Transportation and Communications,0,0,0,0,0,0,0,"301,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"301,000"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Philippine Postal Corporation,0,0,0,0,0,0,0,"301,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"301,000"
,,,,,,,,,,,,,,,,,,,,,,,,,
          National Economic and Development Authority,0,0,0,0,0,0,0,"33,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"33,000"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Philippine Institute for Development Studies,0,0,0,0,0,0,0,"33,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"33,000"
,,,,,,,,,,,,,,,,,,,,,,,,,
          Other Executive Offices,0,0,0,0,0,0,0,"6,541,038",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,541,038"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Cagayan Economic Zone Authority,0,0,0,0,0,0,0,"12,003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,003"
               Credit Information Corporation,0,0,0,0,0,0,0,"28,410",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"28,410"
               Cultural Center of the Philippines,0,0,0,0,0,0,0,"202,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"202,000"
               Development Academy of the Philippines,0,0,0,0,0,0,0,"45,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"45,000"
               National Home Mortgage Finance Corporation,0,0,0,0,0,0,0,"500,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"500,000"
               National Housing Authority,0,0,0,0,0,0,0,"5,631,025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,631,025"
               Philippine Center for Economic Development,0,0,0,0,0,0,0,"14,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14,500"
               Southern Philippines Development Authority,0,0,0,0,0,0,0,"59,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"59,000"
               Zamboanga City Special Economic Zone Authority,0,0,0,0,0,0,0,"49,100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"49,100"
,,,,,,,,,,,,,,,,,,,,,,,,,
          Budgetary Support to Government Corporations,,,,,,,,,,,,,,,,,,,,,,,,,
                - Others,0,0,0,0,0,0,0,"13,606",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13,606"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Allocation to Local Government Units,0,"3,280","34,629",0,"93,100","2,000",0,"290,239,487","39,000",0,0,0,200,0,"859,702",0,40,0,0,0,0,0,0,0,"291,271,438"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Internal Revenue Allotment,0,0,0,0,0,0,0,"273,309,592",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"273,309,592"
          Special Shares of Local Government Units in,,,,,,,,,,,,,,,,,,,,,,,,,
                the Proceeds of National Taxes,0,0,0,0,0,0,0,"16,679,895",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"16,679,895"
          Barangay Officials Death Benefits Fund,0,0,0,0,0,0,0,"50,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50,000"
          Metropolitan Manila Development Authority,0,"3,280","34,629",0,"93,100","2,000",0,0,"39,000",0,0,0,200,0,"859,702",0,40,0,0,0,0,0,0,0,"1,031,951"
          Financial Subsidy to Local Government Units,0,0,0,0,0,0,0,"200,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"200,000"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Calamity Fund,0,0,"800,000",0,0,0,0,"2,650,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,450,000"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
,,,,,,,,,,,,,,,,,,,,,,,,,
     Contingent Fund,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"740,000",0,0,0,0,0,0,0,0,0,"740,000"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
,,,,,,,,,,,,,,,,,,,,,,,,,
     International Commitments Fund,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,795,953",0,0,"1,795,953"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
,,,,,,,,,,,,,,,,,,,,,,,,,
     Priority Development Assistance Fund,0,0,0,0,0,0,0,"7,707,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,707,000"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
,,,,,,,,,,,,,,,,,,,,,,,,,
     Tax Expenditures Fund,0,0,0,0,0,0,0,0,0,0,0,0,"33,043,000",0,0,0,0,0,0,0,0,0,0,0,"33,043,000"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
,,,,,,,,,,,,,,,,,,,,,,,,,
     Debt Service Fund-Interest Payment,0,0,0,0,0,0,"333,107,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"333,107,000"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
GRAND TOTAL,"9,474,407","3,800,134","23,840,915","691,630","46,624,505","15,706,533","333,473,226","402,302,131","10,226,686","12,658,872","1,481,283","1,329,034","34,899,634","9,969,209","24,074,489","1,681,526","802,309","1,744,121","13,358","262,022","5,232,299","1,853,110","56,575","218,695","942,416,703"
