particular,A002,A003,A004,A006,A007,A008,A009,A010,A014,A017,A018,A019,A021,A022,A029,A117,A118,A119,A121,A122,A123,A124,A126,A127,Total
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Laguna Lake Development Authority,0,0,0,0,0,0,0,857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,857
               Natural Resources Development Corporation,0,0,0,0,0,0,0,"95,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"95,000"
,,,,,,,,,,,,,,,,,,,,,,,,,
          Department of Finance,0,0,0,0,0,0,0,"4,403,271",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,403,271"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Philippine Deposit Insurance Corporation,0,0,0,0,0,0,0,"4,403,271",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,403,271"
,,,,,,,,,,,,,,,,,,,,,,,,,
          Department of Health,0,0,0,0,0,0,0,"4,649,796",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,649,796"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Lung Center of the Philippines,0,0,0,0,0,0,0,"184,205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"184,205"
               National Kidney and Transplant Institute,0,0,0,0,0,0,0,"305,341",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"305,341"
               Philippine Children`s Medical Center,0,0,0,0,0,0,0,"269,920",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"269,920"
               Philippine Heart Center,0,0,0,0,0,0,0,"303,557",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"303,557"
               Philippine Health Insurance Corporation,0,0,0,0,0,0,0,"3,546,773",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,546,773"
               Philippine Institute of Traditional and,,,,,,,,,,,,,,,,,,,,,,,,,
                     Alternative Health Care,0,0,0,0,0,0,0,"40,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"40,000"
,,,,,,,,,,,,,,,,,,,,,,,,,
          Department of National Defense,0,0,0,0,0,0,0,"248,582",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"248,582"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               AFP Commissary and Exchange Service,0,0,0,0,0,0,0,"248,582",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"248,582"
,,,,,,,,,,,,,,,,,,,,,,,,,
          Department of Public Works and Highways,0,0,0,0,0,0,0,"2,702",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,702"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Local Water Utilities Administration,0,0,0,0,0,0,0,"2,702",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,702"
,,,,,,,,,,,,,,,,,,,,,,,,,
          Department of Tourism,0,0,0,0,0,0,0,"65,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"65,000"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Tourism Promotions Board,0,0,0,0,0,0,0,"37,915",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"37,915"
               Philippine Convention and Visitors Corporation,0,0,0,0,0,0,0,"27,085",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"27,085"
,,,,,,,,,,,,,,,,,,,,,,,,,
          Department of Trade and Industry,0,0,0,0,0,0,0,"106,246",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"106,246"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Aurora Pacific Economic Zone and,,,,,,,,,,,,,,,,,,,,,,,,,
                     Freeport Authority (formerly ASEZA),0,0,0,0,0,0,0,"22,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"22,500"
               Center for International Trade,,,,,,,,,,,,,,,,,,,,,,,,,
                     Expositions and Missions,0,0,0,0,0,0,0,"73,746",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"73,746"
               Cottage Industry Technology Center,0,0,0,0,0,0,0,"10,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,000"
,,,,,,,,,,,,,,,,,,,,,,,,,
          Department of Transportation and Communications,0,0,0,0,0,0,0,"629,932",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"629,932"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Philippine National Railways,0,0,0,0,0,0,0,"348,656",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"348,656"
               Philippine Postal Corporation,0,0,0,0,0,0,0,"281,276",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"281,276"
,,,,,,,,,,,,,,,,,,,,,,,,,
          National Economic and Development Authority,0,0,0,0,0,0,0,"19,200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"19,200"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Philippine Institute for Development Studies,0,0,0,0,0,0,0,"19,200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"19,200"
,,,,,,,,,,,,,,,,,,,,,,,,,
          Presidential Communications Operations Office,0,0,0,0,0,0,0,"4,039",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,039"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
"               People`s Television Network, Incorporated",0,0,0,0,0,0,0,"4,039",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,039"
,,,,,,,,,,,,,,,,,,,,,,,,,
          Other Executive Offices,0,0,0,0,0,0,0,"4,140,237",0,0,0,0,"1,088,647",0,0,0,0,0,0,0,0,0,0,0,"5,228,884"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Bases Conversion Development Authority,0,0,0,0,0,0,0,0,0,0,0,0,"689,587",0,0,0,0,0,0,0,0,0,0,0,"689,587"
               Cultural Center of the Philippines,0,0,0,0,0,0,0,"105,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"105,000"
               Development Academy of the Philippines,0,0,0,0,0,0,0,"20,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20,000"
               Development Bank of the Philippines,0,0,0,0,0,0,0,"2,447",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,447"
               North Luzon Railways Corporation,0,0,0,0,0,0,0,0,0,0,0,0,"399,060",0,0,0,0,0,0,0,0,0,0,0,"399,060"
               National Home Mortgage Finance Corporation,0,0,0,0,0,0,0,"500,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"500,000"
               National Housing Authority,0,0,0,0,0,0,0,"3,423,040",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,423,040"
               Philippine Center for Economic Development,0,0,0,0,0,0,0,"29,750",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"29,750"
               Southern Philippines Development Authority,0,0,0,0,0,0,0,"30,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"30,000"
               Zamboanga City Special Economic Zone Authority,0,0,0,0,0,0,0,"30,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"30,000"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Allocation to Local Government Units,0,"12,138","53,034",0,"48,408","2,543",0,"285,747,461","53,139",0,0,0,44,0,"911,940",0,37,0,0,0,0,0,0,0,"286,828,744"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Internal Revenue Allotment,0,0,0,0,0,0,0,"265,802,377",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"265,802,377"
          Special Shares of Local Government Units in,,,,,,,,,,,,,,,,,,,,,,,,,
                the Proceeds of National Taxes,0,0,0,0,0,0,0,"11,445,118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,445,118"
          Metropolitan Manila Development Authority,0,"12,138","53,034",0,"48,408","2,543",0,0,"53,139",0,0,0,44,0,"911,940",0,37,0,0,0,0,0,0,0,"1,081,283"
          Special Financial Assistance to Local,,,,,,,,,,,,,,,,,,,,,,,,,
                Government Units,0,0,0,0,0,0,0,"4,599,910",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,599,910"
          Financial Subsidy to Local Government Units,0,0,0,0,0,0,0,"3,900,056",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,900,056"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Debt Service Fund-Interest Payment,0,0,0,0,0,0,"294,244,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"294,244,000"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
GRAND TOTAL,"7,282,357","2,797,594","15,961,725","1,986,284","38,653,287","9,705,148","294,478,309","377,024,355","7,992,292","8,597,618","2,956,711","1,835,491","12,387,210","264,052","26,606,659","1,091,465","792,077","1,390,565","1,812","188,044","792,457","60,552","53,690","94,310","812,994,064"
