region,higher_education_institution,number_of_faculty,number_of_students,faculty_student_ratio
NCR (National Capital Region),Datamex Computer College-Pasay,2937,18,1 is to 163
NCR (National Capital Region),De La Salle University-Manila,18754,1050,1 is to 18
NCR (National Capital Region),STI College-De Los Santos,345,40,1 is to 9
NCR (National Capital Region),De Ocampo Memorial College,176,21,1 is to 8
NCR (National Capital Region),Divine Word Mission Seminary,153,23,1 is to 7
NCR (National Capital Region),De La Salle-College of Saint Benilde,13148,779,1 is to 17
NCR (National Capital Region),Dominican College,250,32,1 is to 8
NCR (National Capital Region),Don Bosco Technical College,1026,74,1 is to 14
NCR (National Capital Region),Dr. Carlos S. Lanting College,3135,109,1 is to 29
NCR (National Capital Region),Emilio Aguinaldo College,3894,162,1 is to 24
NCR (National Capital Region),Caritas Family Hospital and Colleges,486,37,1 is to 13
NCR (National Capital Region),Far Eastern University,27886,905,1 is to 31
NCR (National Capital Region),FEATI University,1169,112,1 is to 10
NCR (National Capital Region),Febias College of Bible,182,30,1 is to 6
NCR (National Capital Region),FEU-FERN College,1501,79,1 is to 19
NCR (National Capital Region),FEU-Dr. Nicanor Reyes Medical Foundation,3295,353,1 is to 9
NCR (National Capital Region),Governor Andres Pascual College,625,27,1 is to 23
NCR (National Capital Region),Greenville College,2957,30,1 is to 99
NCR (National Capital Region),De La Salle-Araneta University ,2297,116,1 is to 20
NCR (National Capital Region),Guzman College of Science and Technology,38,15,1 is to 3
NCR (National Capital Region),Holy Rosary College Foundation,134,18,1 is to 7
NCR (National Capital Region),Institute of Community and Family Health,44,8,1 is to 6
NCR (National Capital Region),Institute of Formation and Religious Studies,137,22,1 is to 6
NCR (National Capital Region),Interface Computer College-Manila,398,14,1 is to 28
NCR (National Capital Region),International Academy of Management and Economics,2361,34,1 is to 69
NCR (National Capital Region),International Baptist College,33,27,1 is to 1
NCR (National Capital Region),International Graduate School of Leadership,142,24,1 is to 6
NCR (National Capital Region),J.P. Sioson General Hospital and Colleges,43,14,1 is to 3
NCR (National Capital Region),Jose Rizal University,8189,203,1 is to 40
NCR (National Capital Region),La Consolacion College-Manila,1363,80,1 is to 17
NCR (National Capital Region),La Consolacion College-Caloocan,405,23,1 is to 18
NCR (National Capital Region),Lacson College,441,15,1 is to 29
NCR (National Capital Region),Las Pinas College,205,37,1 is to 6
NCR (National Capital Region),Regis Marie College,108,14,1 is to 8
NCR (National Capital Region),Lyceum of the Philippines University,11543,231,1 is to 50
NCR (National Capital Region),Manila Central University,3335,224,1 is to 15
NCR (National Capital Region),Manila Tytana Colleges,1772,150,1 is to 12
NCR (National Capital Region),Manila Law College,104,19,1 is to 5
NCR (National Capital Region),Manila Adventist Medical Center and Colleges,606,64,1 is to 9
NCR (National Capital Region),Manila Theological College,155,19,1 is to 8
NCR (National Capital Region),Manuel L. Quezon University,1256,150,1 is to 8
NCR (National Capital Region),Mapua Institute of Technology-Manila,11676,401,1 is to 29
NCR (National Capital Region),Mapua Institute of Technology-Makati,2486,94,1 is to 26
NCR (National Capital Region),Martinez Memorial College,354,32,1 is to 11
NCR (National Capital Region),Mary Chiles College,78,25,1 is to 3
NCR (National Capital Region),Mary Johnston College,14,12,1 is to 1
NCR (National Capital Region),CICM Maryhill School of Theology,187,25,1 is to 7
NCR (National Capital Region),Metro Business College-Pasay,373,7,1 is to 53
NCR (National Capital Region),Metro Manila College,1808,80,1 is to 23
NCR (National Capital Region),Metropolitan Hospital College of Nursing,862,53,1 is to 16
NCR (National Capital Region),Miriam College,3199,263,1 is to 12
NCR (National Capital Region),Mother of Life Center,41,15,1 is to 3
NCR (National Capital Region),Namei Polytechnic Institute,638,30,1 is to 21
NCR (National Capital Region),National College of Business and Arts-Cubao,777,35,1 is to 22
NCR (National Capital Region),National College of Business and Arts-Fairview,3066,74,1 is to 41
NCR (National Capital Region),The National Teachers College,6604,119,1 is to 55
NCR (National Capital Region),National University,3993,159,1 is to 25
NCR (National Capital Region),New Era University,13060,339,1 is to 39
NCR (National Capital Region),Olivarez College,1576,95,1 is to 17
NCR (National Capital Region),Our Lady of Fatima University-Fatima Medical Science Foundation-Valenzuela,12264,ND,ND
NCR (National Capital Region),Our Lady of Lourdes College,382,29,1 is to 13
NCR (National Capital Region),Our Lady of the Angels Seminary,158,29,1 is to 5
NCR (National Capital Region),Pace Graduate School of Christian Education,29,12,1 is to 2
NCR (National Capital Region),Pasig Catholic College,704,51,1 is to 14
NCR (National Capital Region),Patts College of Aeronautics,5567,105,1 is to 53
NCR (National Capital Region),Perpetual Help College of Manila,934,71,1 is to 13
NCR (National Capital Region),University of Perpetual Help System-Dalta,8410,347,1 is to 24
NCR (National Capital Region),Philippine Dominican Center of Institutional Studies,73,22,1 is to 3
NCR (National Capital Region),Philippine Christian University,4112,223,1 is to 18
NCR (National Capital Region),Philippine College of Criminology,3510,129,1 is to 27
NCR (National Capital Region),Philippine College of Health Sciences,886,69,1 is to 13
NCR (National Capital Region),St. Louis College-Valenzuela,535,29,1 is to 18
NCR (National Capital Region),Philippine Law School,406,19,1 is to 21
NCR (National Capital Region),Philippine Merchant Marine School-Manila,217,10,1 is to 22
NCR (National Capital Region),Philippine Merchant Marine School-Las Pinas,12724,94,1 is to 135
NCR (National Capital Region),Philippine School of Business Administration-Quezon City,3280,79,1 is to 42
NCR (National Capital Region),Philippine School of Business Administration-Manila,1602,53,1 is to 30
NCR (National Capital Region),Philippine Women's University System-Manila,4031,212,1 is to 19
NCR (National Capital Region),Philippine Women's University System-Quezon City,183,28,1 is to 7
NCR (National Capital Region),Philsin College Foundation,339,9,1 is to 38
NCR (National Capital Region),Philippine Maritime Institute-Manila,2229,102,1 is to 22
NCR (National Capital Region),PMI Colleges-Quezon City,3347,95,1 is to 35
NCR (National Capital Region),World Citi Colleges-Quezon City,1051,65,1 is to 16
NCR (National Capital Region),Makati Medical Center College of Nursing,388,46,1 is to 8
NCR (National Capital Region),Republican College,349,27,1 is to 13
NCR (National Capital Region),Roosevelt College-Marikina,114,33,1 is to 3
NCR (National Capital Region),St. Cammillus College Seminary,118,23,1 is to 5
NCR (National Capital Region),St. Francis Divine College,44,21,1 is to 2
NCR (National Capital Region),Saint Francis of Assisi College,807,31,1 is to 26
NCR (National Capital Region),St. Joseph's College of Quezon City,706,51,1 is to 14
NCR (National Capital Region),St. Jude College,1772,125,1 is to 14
NCR (National Capital Region),St. Paul University-Manila (St. Paul Univerity System),1940,132,1 is to 15
NCR (National Capital Region),St. Paul University-Quezon City,1659,101,1 is to 16
NCR (National Capital Region),Saint Rita College-Manila,64,19,1 is to 3
NCR (National Capital Region),St. Scholastica's College,2077,205,1 is to 10
NCR (National Capital Region),Samson College of Science and Technology-Quezon City,317,16,1 is to 20
NCR (National Capital Region),San Beda College,7385,305,1 is to 24
NCR (National Capital Region),San Carlos Seminary,189,42,1 is to 5
NCR (National Capital Region),San Juan de Dios Educational Foundation,465,46,1 is to 10
NCR (National Capital Region),San Sebastian College-Recoletos,3928,159,1 is to 25
NCR (National Capital Region),Sta. Catalina College,93,11,1 is to 8
NCR (National Capital Region),Santa Isabel College,697,86,1 is to 8
NCR (National Capital Region),Siena College,386,33,1 is to 12
NCR (National Capital Region),Southeastern College,314,17,1 is to 18
NCR (National Capital Region),St. Luke's College of Medicine-William H. Quasha Memorial,333,157,1 is to 2
NCR (National Capital Region),St. Rita Hospital College of Nursing and School of Midwifery,359,25,1 is to 14
NCR (National Capital Region),Stella Maris College,106,16,1 is to 7
NCR (National Capital Region),System Plus Computer College-Quezon City,209,18,1 is to 12
NCR (National Capital Region),Technological Institute of the Philippines-Manila,8572,259,1 is to 33
NCR (National Capital Region),Technological Institute of The Philippines-Quezon City,13494,385,1 is to 35
NCR (National Capital Region),Trinity University of Asia,5203,219,1 is to 24
NCR (National Capital Region),Unciano Colleges and General Hospital,229,20,1 is to 11
NCR (National Capital Region),Southeast Asian College,683,67,1 is to 10
NCR (National Capital Region),University of the East Ramon Magsaysay Memorial Medical Center,2592,344,1 is to 8
NCR (National Capital Region),University of Manila,9600,223,1 is to 43
NCR (National Capital Region),University of Santo Tomas,43221,1791,1 is to 24
NCR (National Capital Region),University of the East-Manila,15906,614,1 is to 26
NCR (National Capital Region),University of the East-Caloocan,7187,153,1 is to 47
NCR (National Capital Region),Angelicum College,157,36,1 is to 4
NCR (National Capital Region),Asian College of Science and Technology-Cubao,482,38,1 is to 13
NCR (National Capital Region),Don Bosco Center of Studies,191,23,1 is to 8
NCR (National Capital Region),Abraham Dumlao Colleges of the Philippines,105,4,1 is to 26
NCR (National Capital Region),FEU-East Asia College,7624,228,1 is to 33
NCR (National Capital Region),IETI College-Alabang,856,21,1 is to 41
NCR (National Capital Region),Our Lady of Perpetual Succor College,326,32,1 is to 10
NCR (National Capital Region),San Beda College-Alabang,2039,131,1 is to 16
NCR (National Capital Region),St. Dominic Savio College,1262,43,1 is to 29
NCR (National Capital Region),St. John Technological College of the Philippines,620,28,1 is to 22
NCR (National Capital Region),STI College-Alabang,785,20,1 is to 39
NCR (National Capital Region),STI College-Cubao,1245,44,1 is to 28
NCR (National Capital Region),STI College-EDSA Crossing,689,31,1 is to 22
NCR (National Capital Region),STI Education Services Group-Global City,3475,101,1 is to 34
NCR (National Capital Region),STI College-Caloocan,2469,72,1 is to 34
NCR (National Capital Region),STI College-Makati,569,30,1 is to 19
NCR (National Capital Region),STI College-Munoz EDSA,1032,57,1 is to 18
NCR (National Capital Region),STI College-Novaliches,1405,54,1 is to 26
NCR (National Capital Region),STI Education Services Group-Fairview,3137,38,1 is to 83
NCR (National Capital Region),STI College-Taft,523,33,1 is to 16
NCR (National Capital Region),STI College-Recto,1073,38,1 is to 28
NCR (National Capital Region),Philippine Rehabilitation Institute Foundation,158,31,1 is to 5
NCR (National Capital Region),Immaculada Concepcion Colleges,69,15,1 is to 5
NCR (National Capital Region),O.B. Montessori Center,48,16,1 is to 3
NCR (National Capital Region),West Bay College,1328,41,1 is to 32
NCR (National Capital Region),System Plus Computer College-Caloocan,54,10,1 is to 5
NCR (National Capital Region),Saint Bernadette College of Alabang,203,25,1 is to 8
NCR (National Capital Region),Children of Mary Immaculate College,40,14,1 is to 3
NCR (National Capital Region),Nova Computer College,34,8,1 is to 4
NCR (National Capital Region),Informatics College-Manila,386,13,1 is to 30
NCR (National Capital Region),The Fisher Valley College,877,32,1 is to 27
NCR (National Capital Region),La Consolacion College-Deparo,203,25,1 is to 8
NCR (National Capital Region),St. John Berchmans School of Manila Foundation,43,ND,ND
NCR (National Capital Region),ABE International College of Business and Economics-Legarda,539,18,1 is to 30
NCR (National Capital Region),AMA Computer College-Caloocan,562,15,1 is to 37
NCR (National Capital Region),AMA Computer College-Fairview,989,23,1 is to 43
NCR (National Capital Region),AMA Computer College-Paranaque,570,16,1 is to 36
NCR (National Capital Region),AMA Computer College-Sta. Mesa,468,20,1 is to 23
NCR (National Capital Region),Asia School of Arts and Sciences,92,15,1 is to 6
NCR (National Capital Region),Child Jesus College,56,7,1 is to 8
NCR (National Capital Region),Divine Mercy College Foundation,1201,56,1 is to 21
NCR (National Capital Region),Tech Pacific College,28,7,1 is to 4
NCR (National Capital Region),Informatics College-Caloocan,325,16,1 is to 20
NCR (National Capital Region),Interface Computer College-Caloocan,320,18,1 is to 18
NCR (National Capital Region),Our Lady of Fatima University-Quezon City,8523,155,1 is to 55
NCR (National Capital Region),Our Lady of Lourdes Technological College,544,15,1 is to 36
NCR (National Capital Region),St. Clare College of Caloocan,2209,45,1 is to 49
NCR (National Capital Region),St. James College of Quezon City,128,25,1 is to 5
NCR (National Capital Region),STI College-Las Pinas,920,41,1 is to 22
NCR (National Capital Region),STI College-Paranaque,1122,22,1 is to 51
NCR (National Capital Region),Asia Graduate School of Theology,22,12,1 is to 2
NCR (National Capital Region),AMA Computer College-Las Pinas,492,19,1 is to 26
NCR (National Capital Region),AMA Computer College-Pasig City,711,22,1 is to 32
NCR (National Capital Region),Wesleyan College of Manila,166,30,1 is to 6
NCR (National Capital Region),Loral Douglas Woosley Bethany Colleges,79,24,1 is to 3
NCR (National Capital Region),STI College-Marikina,633,14,1 is to 45
NCR (National Capital Region),IETI College of Science and Technology-Marikina,286,17,1 is to 17
NCR (National Capital Region),Manila Business College,462,29,1 is to 16
NCR (National Capital Region),St. James College of Paranaque,34,15,1 is to 2
NCR (National Capital Region),Access Computer and Technical Colleges-Manila,1572,11,1 is to 143
NCR (National Capital Region),Kalayaan College,342,46,1 is to 7
NCR (National Capital Region),Criminal Justice College,166,17,1 is to 10
NCR (National Capital Region),Entrepreneurs School of Asia,224,26,1 is to 9
NCR (National Capital Region),Asian Institute of Computer Studies,227,12,1 is to 19
NCR (National Capital Region),St. Mary's College,97,37,1 is to 3
NCR (National Capital Region),ABE International College of Business and Accountancy-Cubao,731,28,1 is to 26
NCR (National Capital Region),ABE International College of Business and Accountancy-Las Pinas,644,24,1 is to 27
NCR (National Capital Region),National Christian Life College,138,12,1 is to 12
NCR (National Capital Region),Global City Innovative College,860,89,1 is to 10
NCR (National Capital Region),Center for Early Childhood Care and Development,14,9,1 is to 2
NCR (National Capital Region),Southville International School and Colleges,1026,74,1 is to 14
NCR (National Capital Region),Information and Communications Technology Academy,529,48,1 is to 11
NCR (National Capital Region),Our Lady of Guadalupe Colleges,239,22,1 is to 11
NCR (National Capital Region),STI College-Quezon Avenue,542,37,1 is to 15
NCR (National Capital Region),The Manila Times College,41,11,1 is to 4
NCR (National Capital Region),Access Computer and Technical Colleges-Quezon City,1116,13,1 is to 86
NCR (National Capital Region),Immaculate Heart of Mary College-Paranaque,187,36,1 is to 5
NCR (National Capital Region),Lyceum of Alabang,2351,44,1 is to 53
NCR (National Capital Region),Rogationist Seminary College,186,28,1 is to 7
NCR (National Capital Region),La Consolacion College-Pasig,79,22,1 is to 4
NCR (National Capital Region),Kester Grant College Philippines,115,25,1 is to 5
NCR (National Capital Region),Informatics College-Quezon City,631,32,1 is to 20
NCR (National Capital Region),ABE International Business College-Caloocan City,567,22,1 is to 26
NCR (National Capital Region),Informatics College-Eastwood,341,17,1 is to 20
NCR (National Capital Region),World Citi Colleges-Caloocan,1204,16,1 is to 75
NCR (National Capital Region),Colegio de Santa Monica-Manila,181,22,1 is to 8
NCR (National Capital Region),Informatics College-Northgate,451,15,1 is to 30
NCR (National Capital Region),Saint Bernadette College of Health and Sciences,367,31,1 is to 12
NCR (National Capital Region),Mary the Queen College of Science and Technology,837,34,1 is to 25
NCR (National Capital Region),St. Bernadette of Lourdes College,65,20,1 is to 3
NCR (National Capital Region),Flight School International,64,16,1 is to 4
NCR (National Capital Region),Capitol Medical Center Colleges,231,21,1 is to 11
NCR (National Capital Region),Saint Pedro Poveda College,29,27,1 is to 1
NCR (National Capital Region),Saint Mary's College of San Juan,301,10,1 is to 30
NCR (National Capital Region),New England College,123,28,1 is to 4
NCR (National Capital Region),Universal Colleges of Paranaque,805,39,1 is to 21
NCR (National Capital Region),South Mansfield College,131,ND,ND
NCR (National Capital Region),ABE International College of Business and Accountancy-Taft,358,21,1 is to 17
NCR (National Capital Region),St. John of Beverly School,67,17,1 is to 4
NCR (National Capital Region),NOVAGEN College of Quezon City,293,26,1 is to 11
NCR (National Capital Region),Jesus Reigns Christian College Foundation,235,43,1 is to 5
NCR (National Capital Region),Villagers Montessori College,418,32,1 is to 13
NCR (National Capital Region),AMA School of Medicine,39,16,1 is to 2
NCR (National Capital Region),Sta. Cecilia College,1251,17,1 is to 74
NCR (National Capital Region),Enderun College,945,82,1 is to 12
NCR (National Capital Region),Messiah College Foundation,67,25,1 is to 3
NCR (National Capital Region),National Polytechnic College of Science and Technology,238,30,1 is to 8
NCR (National Capital Region),Lady of Lourdes Hospital and Colleges of Caybiga,478,13,1 is to 37
NCR (National Capital Region),College of St. Catherine,157,17,1 is to 9
NCR (National Capital Region),Grace Christian College,50,36,1 is to 1
NCR (National Capital Region),Centro Escolar University-Makati,4195,139,1 is to 30
NCR (National Capital Region),Philippine Cultural College,106,29,1 is to 4
NCR (National Capital Region),Diliman Computer Technology Institute,130,31,1 is to 4
NCR (National Capital Region),The One Nation Entrepreneur School,30,10,1 is to 3
NCR (National Capital Region),Bestlink College of the Philippines,9359,182,1 is to 51
NCR (National Capital Region),Global Reciprocal Colleges,1615,76,1 is to 21
NCR (National Capital Region),Golden Link College Foundation,63,26,1 is to 2
NCR (National Capital Region),Pacific InterContinental College,17,ND,ND
NCR (National Capital Region),ACLC College of Taguig,486,24,1 is to 20
NCR (National Capital Region),Asian Institute of Computer Studies-Quezon City,166,9,1 is to 18
NCR (National Capital Region),Far Eastern University-Makati,1912,83,1 is to 23
NCR (National Capital Region),Infotech Institute of Arts and Sciences,143,ND,ND
NCR (National Capital Region),St. Dominic Institute,268,15,1 is to 18
NCR (National Capital Region),Treston International College,215,24,1 is to 9
NCR (National Capital Region),ABE International Business College-Makati City,508,12,1 is to 42
NCR (National Capital Region),Access Computer and Technical Colleges-Lagro,1458,9,1 is to 162
NCR (National Capital Region),Facilities Management College,126,15,1 is to 8
NCR (National Capital Region),ABE International Business College-Commonwealth,334,19,1 is to 18
NCR (National Capital Region),College of Divine Wisdom,118,14,1 is to 8
NCR (National Capital Region),La Consolacion College-Valenzuela,18,9,1 is to 2
NCR (National Capital Region),AMA Computer College-Mandaluyong,105,9,1 is to 12
NCR (National Capital Region),South SEED LPDH College,115,11,1 is to 10
NCR (National Capital Region),Bethel Bible College of the Assemblies of God,69,13,1 is to 5
NCR (National Capital Region),Christ the King College of Science and Technology,995,36,1 is to 28
NCR (National Capital Region),St. Vincent de Ferrer College of Camarin,219,44,1 is to 5
NCR (National Capital Region),Datamex-College of Saint Adeline-Fairview,429,10,1 is to 43
NCR (National Capital Region),Access Computer and Technical College-Camarin,933,9,1 is to 104
NCR (National Capital Region),Datamex-College of Saint Adeline-Valenzuela,794,10,1 is to 79
NCR (National Capital Region),School of Fashion and the Arts,0,23,1 is to 0
NCR (National Capital Region),PNTC Colleges-Manila,60,18,1 is to 3
NCR (National Capital Region),La Verdad Christian College-Caloocan,107,28,1 is to 4
NCR (National Capital Region),Arellano University-Mandaluyong,ND,21,ND
CAR (Cordillera Administrative Region),Abra Valley Colleges,1480,75,1 is to 20
CAR (Cordillera Administrative Region),Baguio Central University,2237,177,1 is to 13
CAR (Cordillera Administrative Region),University of the Cordilleras,13950,391,1 is to 36
CAR (Cordillera Administrative Region),Cordillera Career Development College,2480,92,1 is to 27
CAR (Cordillera Administrative Region),Divine Word College of Bangued,1240,77,1 is to 16
CAR (Cordillera Administrative Region),Philippine Nazarene College,121,24,1 is to 5
CAR (Cordillera Administrative Region),Pines City Colleges,1410,68,1 is to 21
CAR (Cordillera Administrative Region),Saint Louis College of Bulanao,424,35,1 is to 12
CAR (Cordillera Administrative Region),Saint Louis University,36887,999,1 is to 37
CAR (Cordillera Administrative Region),San Pablo Major Seminary,119,25,1 is to 5
CAR (Cordillera Administrative Region),Casiciaco Recoletos Seminary,111,21,1 is to 5
CAR (Cordillera Administrative Region),University of Baguio,12157,388,1 is to 31
CAR (Cordillera Administrative Region),Easter College,347,48,1 is to 7
CAR (Cordillera Administrative Region),Keystone College,128,23,1 is to 6
CAR (Cordillera Administrative Region),STI Education Group Services,442,30,1 is to 15
CAR (Cordillera Administrative Region),Baguio College of Technology,1196,33,1 is to 36
CAR (Cordillera Administrative Region),BVS College,178,15,1 is to 12
CAR (Cordillera Administrative Region),International Christian Colleges ,106,8,1 is to 13
CAR (Cordillera Administrative Region),Cordillera A+ Computer Technology College,125,24,1 is to 5
CAR (Cordillera Administrative Region),AMA Computer College-Baguio,483,21,1 is to 23
CAR (Cordillera Administrative Region),Data Center College of the Philippines of Bangued-Abra,904,36,1 is to 25
CAR (Cordillera Administrative Region),Kalinga Colleges of Science and Technology,919,27,1 is to 34
CAR (Cordillera Administrative Region),Data Center College of the Philippines of Baguio City,302,23,1 is to 13
CAR (Cordillera Administrative Region),Philippines Women's University-Baguio City,1084,38,1 is to 29
CAR (Cordillera Administrative Region),Baguio Christian Mission International College,55,12,1 is to 5
CAR (Cordillera Administrative Region),Kings Colleges of the Philippines-Benguet,2476,108,1 is to 23
CAR (Cordillera Administrative Region),Saint Tonis College,170,27,1 is to 6
CAR (Cordillera Administrative Region),Colegio Nacional,236,36,1 is to 7
CAR (Cordillera Administrative Region),BSBT College,473,27,1 is to 18
CAR (Cordillera Administrative Region),Xijen College of Mt. Province,107,16,1 is to 7
CAR (Cordillera Administrative Region),Pinnacle Colleges of Bangued,20,10,1 is to 2
CAR (Cordillera Administrative Region),Baguio City Academy Colleges,162,12,1 is to 14
CAR (Cordillera Administrative Region),HML International College,62,11,1 is to 6
CAR (Cordillera Administrative Region),Remnant International School ,201,20,1 is to 10
CAR (Cordillera Administrative Region),Triniville Central College ,6,10,1 is to 1
CAR (Cordillera Administrative Region),International School of Asia and the Pacific-Tabuk Branch,85,27,1 is to 3
ARMM (Autonomous Region in Muslim Mindanao),Jamiatu Marawi Al-Islamia Foundation,494,25,1 is to 20
ARMM (Autonomous Region in Muslim Mindanao),Jamiatu Muslim Mindanao,409,16,1 is to 26
ARMM (Autonomous Region in Muslim Mindanao),Jamiatul Philippine Al-Islamia,871,30,1 is to 29
ARMM (Autonomous Region in Muslim Mindanao),Mapandi Memorial College,653,ND,ND
ARMM (Autonomous Region in Muslim Mindanao),Marawi Capitol College Foundation,836,ND,ND
ARMM (Autonomous Region in Muslim Mindanao),Pacasum College,822,ND,ND
ARMM (Autonomous Region in Muslim Mindanao),Datu Mala-Muslim Mindanao Islamic College Foundation,638,15,1 is to 43
ARMM (Autonomous Region in Muslim Mindanao),Bubong Marzok Memorial Foundation College,286,ND,ND
ARMM (Autonomous Region in Muslim Mindanao),Senator Ninoy Aquino College Foundation-Marawi,1227,ND,ND
ARMM (Autonomous Region in Muslim Mindanao),Gani L. Abpi Colleges,155,18,1 is to 9
ARMM (Autonomous Region in Muslim Mindanao),Central Sulu College,388,ND,ND
ARMM (Autonomous Region in Muslim Mindanao),Notre Dame of Jolo College,1827,122,1 is to 15
ARMM (Autonomous Region in Muslim Mindanao),Parang Foundation College,207,ND,ND
ARMM (Autonomous Region in Muslim Mindanao),Shariff Kabunsuan College-Annex,381,20,1 is to 19
ARMM (Autonomous Region in Muslim Mindanao),Sultan Kudarat Islamic Academy Foundation College,133,11,1 is to 12
ARMM (Autonomous Region in Muslim Mindanao),Central Basak Islamic Regional College,38,ND,ND
ARMM (Autonomous Region in Muslim Mindanao),Southwestern Mindanao Islamic Institute,795,35,1 is to 23
ARMM (Autonomous Region in Muslim Mindanao),Tawi-Tawi School of Midwifery,52,ND,ND
ARMM (Autonomous Region in Muslim Mindanao),Abubakar Computer Learning Center Foundation,160,40,1 is to 4
ARMM (Autonomous Region in Muslim Mindanao),Lanao Educational Institute,305,20,1 is to 15
ARMM (Autonomous Region in Muslim Mindanao),Mahardika Institute of Technology,1876,96,1 is to 20
ARMM (Autonomous Region in Muslim Mindanao),Dansalan Polytechnic College,130,ND,ND
ARMM (Autonomous Region in Muslim Mindanao),Philippine Muslim Teachers' College,107,ND,ND
ARMM (Autonomous Region in Muslim Mindanao),Sal Foundation College,ND,8,ND
ARMM (Autonomous Region in Muslim Mindanao),Mindanao Autonomous College Foundation,461,29,1 is to 16
ARMM (Autonomous Region in Muslim Mindanao),Datu Ibrahim Paglas Memorial College,ND,21,ND
ARMM (Autonomous Region in Muslim Mindanao),Cali Paramedical College Foundation,264,ND,ND
ARMM (Autonomous Region in Muslim Mindanao),Saffrullah M. Dipatuan Foundation Academy,247,24,1 is to 10
ARMM (Autonomous Region in Muslim Mindanao),Southern Philippines College of Sciences and Health Education,244,33,1 is to 7
ARMM (Autonomous Region in Muslim Mindanao),Mariam School of Nursing,45,16,1 is to 3
ARMM (Autonomous Region in Muslim Mindanao),Alexian College of Parang,7,12,1 is to 1
ARMM (Autonomous Region in Muslim Mindanao),Lanao College of Criminology,126,ND,ND
ARMM (Autonomous Region in Muslim Mindanao),Lanao Islamic Paramedical College Foundation,67,17,1 is to 4
ARMM (Autonomous Region in Muslim Mindanao),Lake Lanao College,594,16,1 is to 37
ARMM (Autonomous Region in Muslim Mindanao),Hiland Institute Colleges,ND,7,ND
ARMM (Autonomous Region in Muslim Mindanao),Datu Blo Umpar Adiong Agricultural School Foundation,8,6,1 is to 1
ARMM (Autonomous Region in Muslim Mindanao),Bai Malgen Mama College,37,13,1 is to 3
ARMM (Autonomous Region in Muslim Mindanao),Eastern Kutawato College,53,ND,ND
ARMM (Autonomous Region in Muslim Mindanao),Al Kwarizmi International College Foundation,383,31,1 is to 12
ARMM (Autonomous Region in Muslim Mindanao),Hardam Furigay Colleges Foundation,611,32,1 is to 19
XIII (Caraga),Agusan Business and Arts Foundation,106,11,1 is to 10
XIII (Caraga),Agusan Colleges,434,36,1 is to 12
XIII (Caraga),Agusan Del Sur College,900,64,1 is to 14
XIII (Caraga),Agusan Institute of Technology,1237,35,1 is to 35
XIII (Caraga),Asian College Foundation,200,13,1 is to 15
XIII (Caraga),Butuan City Colleges,95,31,1 is to 3
XIII (Caraga),Butuan Doctors' College,507,43,1 is to 12
XIII (Caraga),Don Jose Ecleo Memorial Foundation College of Science and Technology,451,28,1 is to 16
XIII (Caraga),Elisa R. Ochoa Memorial Northern Mindanao School of Midwifery,55,20,1 is to 3
XIII (Caraga),New Northern Mindanao Colleges,976,62,1 is to 16
XIII (Caraga),Northwestern Agusan Colleges,352,29,1 is to 12
XIII (Caraga),Saint Francis Xavier College,1082,44,1 is to 25
XIII (Caraga),Saint Joseph Institute of Technology,3428,109,1 is to 31
XIII (Caraga),Saint Jude Thaddeus Institute of Technology,495,33,1 is to 15
XIII (Caraga),San Francisco Colleges,244,17,1 is to 14
XIII (Caraga),St. Paul University Surigao,2091,107,1 is to 20
XIII (Caraga),Surigao Education Center,1717,93,1 is to 18
XIII (Caraga),Father Saturnino Urios University,5215,288,1 is to 18
XIII (Caraga),West Agusan Colleges,79,16,1 is to 5
XIII (Caraga),Northeastern Mindanao Colleges,1805,59,1 is to 31
XIII (Caraga),Andres Soriano College,623,25,1 is to 25
XIII (Caraga),Saint Michael's College Cantilan,466,30,1 is to 16
XIII (Caraga),Saint Theresa College of Tandag,467,35,1 is to 13
XIII (Caraga),Saint Vincent de Paul Diocesan College,323,30,1 is to 11
XIII (Caraga),Southern Technological Institute of the Philippines,435,39,1 is to 11
XIII (Caraga),Surigao Sur Colleges,121,10,1 is to 12
XIII (Caraga),Siargao Island Institute of Technology,920,47,1 is to 20
XIII (Caraga),Caraga Institute of Technology,677,30,1 is to 23
XIII (Caraga),De La Salle John Bosco College,612,67,1 is to 9
XIII (Caraga),Mt. Carmel College of San Francisco,392,28,1 is to 14
XIII (Caraga),Sunrise Christian College Foundation of the Philippines,74,15,1 is to 5
XIII (Caraga),Saint Michael College of Caraga,626,44,1 is to 14
XIII (Caraga),Southway College of Technology,1035,37,1 is to 28
XIII (Caraga),Holy Child Colleges of Butuan City,1569,49,1 is to 32
XIII (Caraga),STI College-Surigao,668,23,1 is to 29
XIII (Caraga),Balite Institute of Technology-Butuan,15,11,1 is to 1
XIII (Caraga),Saint Peter College Seminary,129,13,1 is to 10
XIII (Caraga),Bucas Grande Foundation College,540,18,1 is to 30
XIII (Caraga),ACLC College of Butuan City,1032,40,1 is to 26
XIII (Caraga),Philippine Electronics and Communication Institute of Technology,148,22,1 is to 7
XIII (Caraga),Rafael A. Mondejar Memorial College,28,10,1 is to 3
XIII (Caraga),Caraga Computer College,54,10,1 is to 5
XIII (Caraga),Golden Gate International Career Institute,56,12,1 is to 5
XIII (Caraga),Candelaria Institute of Cabadbaran,10,8,1 is to 1
V-B (MIMAROPA),Abada College,1351,43,1 is to 31
