Project Title,Project Description,Implementing Agency,"Total Project Cost
 (in PhP M)",Funding Source,Sector,ICC-TB Dates,ICC-CC Dates,NEDA Board Dates,Implementation Period,"Regions/
 Provinces",Project Status,Status of Compliance with NEDA Board/ICC Conditions,Updates/Implementation Status
Basic Education Sector Transformation (BEST),"To achieve the projectÕs objectives, the proposed BEST has two (2) main components: (i) Improving teaching and learning and (ii) Strengthening systems.",Department of Education,"9,419.00",AusAID,Social Development,> 08 Mar 2013,> 08 Apr 2013,> 26 Jun 2013,2013-2019,"NCR, V, VI, VII, VIII, and X","Under implementation.

The Subsidiary Agreement between GOP and GOA was signed last 21 February 2014 and was conveyed through a letter dated 20 June 2014 by the Department of Education.","The NB confirmed the ICC approval of the proposed project, subject to the DepEd's submission of the following:
 a. Targets per region during the inception year of program implementation; and
 b. Brief summary of education-related problems discovered, proposed solutions and outcomes by division and region.
 
 DepEd, through its 09 September 2013 letter to CabSec, submitted the indicative target outputs and activities of the Program. On the other hand, DepEd informed CabSec that specific targets and solutions in the regional and division levels will be identified during program appraisal and start-up. The NEDA Secretariat forwarded its comments on DepEd's submission through letter dated 14 November 2013, which was accordingly acknowledged by DepEd on 02 January 2014.","Under implementation.

The Subsidiary Agreement between GOP and GOA was signed last 21 February 2014 and was conveyed through a letter dated 20 June 2014 by the Department of Education."
School Building Project for Basic Education,"The project will involve upgrading/improvement, road asset preservation and preventive maintenance and institutional capacity development.",Department of Education,960,AusAID,Social Development,"> 31 Jan 2012
> 12 Aug 2010",> 19 Aug 2010,> 20 Dec 2010,"Feb 2012 to August 30, 2013","Tentative list of priority cities and provinces:
 - Region III (Bulacan, San Jose del Monte City, Nueva Ecija, Cabanatuan City, Pampanga, Angeles City, San Fernando City, Tarlac, Zambales)
 
 - Region IVA (Antipolo, Batangas, Batangas City, Laguna, Lipa City, Tanauan City, Rizal, Quezon, Cavite, Cavite City, Dasmarinas City","Under Implementation.
 
 As of March 2014
 > Physical Accomplishment: 
 With time elapsed 89.97%, classroom construction are at various stages of implementation with 136 classrooms or 20.73% of the total 656 classrooms already completed. Close to 50% or 324 classrooms are at construction stage while the remaining 29.8% or 196 classrooms are at various procurement stages.","The Joint ICC-CC and TB reconfirmed the approval of the project and noted the changes in project design. The notation is also with the understanding that DepEd will clarify in the Direct Funding Agreement the roles of the Project Management Unit as against the TSU; and that the cost for the engagement of experts for TSU will be shouldered by AusAID on top of the total ICC project cost. Thus, the enumerated adjustments in the project design will not affect the ICC-CC approved project cost of P960 million (AUS$24 million).
 
 Already complied with as of 31 January 2013. The Technical Support Unit (TSU) has already started and is now housed at the Department of Education working side by side with PFSED. The first Mobilization Meeting of the TSU (and Introduction to DepED/PFSED) was held on November 27, 2012. TSU is currently validating the sites for the priority cities and provinces of the project.","As of March 2014
 > Physical Accomplishment: 
 With time elapsed 89.97%, classroom construction are at various stages of implementation with 136 classrooms or 20.73% of the total 656 classrooms already completed. Close to 50% or 324 classrooms are at construction stage while the remaining 29.8% or 196 classrooms are at various procurement stages. 
 
 > Financial Status:
 As of March 2014, DepEd reports total fund transfer made to Division Offices (DOs) at PhP 512.07 million (Au$11.853 million) or 59.3% of the total grant amount of PhP863.98 million (Au$20 million) . Of the amount transferred to DOs, PhP216.82 million (Aus$5.09 million) or 42.3% was already paid to contractors."
Public-Private Partnership for School Infrastructure Project,"Involves the construction of 1-storey and 2-storey school buildings with a total of 9,623 classrooms in 2,300 elementary and secondary schools in the Regions I, III and IVA. Other project components are furniture and fixtures; blackboards, electrical installations, and comfort rooms (incl. water systems).",Department of Education,"9,891.83",Public-Private Partnership (PPP),Social Development,> 9 Nov 2011,> 22 Nov 2011,> 19 Dec 2011,Construction Period: Sept 2012 to Sept 2013,"Region I (Ilocos Norte, Ilocos Sur, La Union, Pangasinan I and Pangasinan II)
 
 Region III (Bulacan, Zambales, Tarlac, Bataan, Pampanga, Nueva Ecija and Aurora)
 
 Region IV-A (Batangas, Cavite, Laguna, Quezon and Rizal)","Under Implementation.
 
 Status as of 30 June 2014 from PPP Center website:
 1,540 sub-projects (5,038 classrooms) have been completed
 733 sub-projects (3,365 classrooms) have started construction","Aside from the set Bidding Parameters and Risk Allocation, the NEDA Board confirmed the ICCÕs approval of the proposed Public-Private Partnership for School Infrastructure Project subject to the following:
 
 ¥ DepEd is requested to submit standard ICC/NEDA Board requirements:
 a) Department of Budget and Management multi-year obligation authority (MYOA) - (MYOA from Department of Budget and Management dated 3 Sept 2012 amounting to PhP16.28billion);
 b) Regional Development Council endorsements - (RDC endorsements submitted as follows: RDC 1 endorsement thru RDC Resolution No. 30, s 2012, RDC 3 endorsement thru RDC Resolution No. 03-07-2012 and RDC 4-A endorsement thru RDC Resolution No IV-A-04-2012);
 c) Environmental Impact Assessment (EIS)/ Environmental Compliance Certificate (ECC)/ Certificate of Non-Coverage (CNC) from the DENR - Environmental Management Bureau (DENR-EMB) - (During the 30 April 2012 ICC meeting, DENR clarified that securing ECC is not mandatory but DENR may provide such CNC if so required by other authorities)
 
 ¥ The DepEd and the DPWH to ensure the following:
 a) There are enough project contractors who have sufficient capabilities to carry out the school building project. It was noted that there should be minimum performance standards that the contractors should satisfy;
 b) A limited testing of five to ten prototypes will be conducted before the project is launched. Said prototypes should be subjected to the worst conditions to ensure that these could withstand the same. Given this, the DPWH, in coordination with DepEd, to submit a proposal to the Office of the President on how this will be undertaken; and
 c) Based on discussions with prospective manufacturers, to submit to the ICC for confirmation the proposed MPSS and generalized design.","Under Implementation..
 
 Status as of 30 June 2014 from PPP Center website:
 1,540 sub-projects (5,038 classrooms) have been completed
 733 sub-projects (3,365 classrooms) have started construction
 
 Target Completion Date: 2014"
"Public-Private Partnership for School Infrastructure Project, Phase II","Involves the design and construction of 10,680 classrooms (with school furniture and toilets) in 14 regions nationwide.",Department of Education,"13,140.28",Public-Private Partnership (PPP),Social Development,> 22 Nov 2012,> 22 Nov 2012,> 29 Nov 2012,July 2013-June2014,"Region I, Region II, Region III, Region IV-B, Region V, Region VI, Region VII, Region VIII, Region IX, Region X, Region XI, Region XII, Caraga","Under Implementation.
 
 Status from PPP Center website as of 05 September 2014:
 Ongoing procurement of Independent Consultant; for financial negotiation with the highest rated bidder.","The following ICC requirements were complied with:
 
 a. Submission of the revised comparison/analysis on the financing terms and conditions and unbundled unit costs of the project with other similar fire trucks projects. - Complied (submitted through 24 November 2008 DILG letter to NEDA)
 
 b. Department of Budget and Management-certified budget strategy. - Complied (31 August 2013 Department of Budget and Management letter)","Under Implementation..
 
 Status from PPP Center Website accessed on 05 September 2014:
 Ongoing procurement of Independent Consultant; for financial negotiation with the highest rated bidder.
 
 Target Completion Date:
 March 2015"
Market Transformation through Introduction of Energy Efficient Electric Vehicles Project (formerly Market Transformation through Introduction of Energy Efficient Electric Tricycle (E-Trike Project),"DOE proposed changes to the project was confirmed by the NEDA Board on 21 November 2013:
  - Modification of the project title to ÒMarket Transformation through Introduction of Energy Efficient Electric Vehicles Project; and
  - Modification of project cost from US$500 to US$504 million (brought about by the additional US$4 million (PhP172 M) grant from Clean Technology Fund (CTF) for the solar charging stations.
 
 Involves the provision of 100,000 E-Trikes to replace the same number of gas-fed internal combustion engine (ICE) tricycles, particularly those aging tricycles and those running on two-stroke gasoline engines. These E-Trike units will be acquired by target LGUs over the five-year project implementation period and distributed to tricycle operators/drivers on a Òlease-to-ownÓ arrangement. The suppliers will provide a 3-year warranty on mechanical and technical performance of the E-Trikes as part of their supply contract.",Department of Energy,"21,672.00","ADB, CTF",Infrastructure,"> 03 Dec 2012 (ad referendum)
 > 25 Nov 2011","> 03 Dec 2012 (ad referendum)
 > 16 Feb 2012","> 21 Nov 2013 (reported as Matters Arising)
 > 26 June 2013
 > 22 Mar 2012",2013-2017,"Regions III, IV-B, VI, XI, NCR, other regions to be identified",Under Implementation.,"Monetary board approval and DOJ opinion were secured paving the way to loan effectiveness on 13 Dec. 2013.
 
 Tripartite MOA signed by DOE Sec. Petilla and LBP","The Project is newly effective.
 1) Monitoring and inspection of LGUs demonstrating Electric Vehicles.
  - 20 E-Trike Pilot units in Mandaluyong City.
 2) Review and validation activities on Tricycle Operations
  - Coordinated with the Development Academy of the Philippines (DAP) on the profiling of tricycle operations made on target LGUs.
  President, awaiting signature of DOF Secretary.
 3) Procurement Activities
  - Evaluated the proposals for PIC.
  - Failed negotiation with the first-rank firm for the PIC on 09 Dec. 2013.
  - Bidding and evaluation of proposals on the Supply and Delivery of 3,000 E-Trikes package 1).
  - Opening of Price Bids of the three (3) technically qualified E-Trike Suppliers on 05 December 2013
  - E-Trike Project Ad Hoc Committee (ETPAC) evaluated the Price Bid proposals.
  - E-Trike Project Ad Hoc Committee (ETPAC) presented to the DOE-BAC on 19 Dec 2013 the result of Price Bid Evaluation.
  - Awaiting final recommendation from DOE-BAC for submission to ADB for the issuance of No Objection Letter (NOL).
  - Conducted 6 IECs / promotional activities and LGU consultations.
 4) Final Requirements/Arrangements
  - Conducted coordination meetings among DOE, DOF, LBP, BIR, and ADB on the formulation of appropriate financing scheme for the Project
 5) Conducted 24 consultation meetings with LTO, partner LGUs, concerned agencies, transport groups, and other stakeholders."
Integrated Natural Resources and Environmental Management Project (INREMP),"The project will adopt the ridge-to-reef approach which aims to operationalize an Integrated Environmental Management (IEM) within the priority watersheds of the four critical river basins, namely: (a) Chico River Basin; (b) Bukidnon River Basin; (c) Wahig-Inabanga River Basin; and (d) Lake Lanao Watershed. The project will institutionalize the Payment for Ecosystems Services (PES) scheme; establish the legal framework for local communities and LGUs to manage upper river basins; and mainstream climate change mitigation through investments supplemented by grants in reducing emissions from deforestation and forest degradation.",Department of Environment and Natural Resources,"7,244.22",ADB,"Agriculture, Agrarian Reform, Environment and Natural resources",> 17 Nov 2010,"> 17 Aug 2011
 > 8 Feb 2011",> 22 Mar 2012,2012-2018,"Regions - ARMM, CAR, VII, X","Under Implementation.
 
The approved Procurement Plan has been revised to incorporate additional items (i.e. Technical Resource Pool, vehicles, others). Purchase Requests were likewise revised for the consultants, works and goods. The PR for the Technical Resource Pool has been signed; National Project Management Office has been created and functional and housed at the Forest Management Bureau. Regional Project Management office down to the Provincial Management Office has been created. Discussion with ADB in progress regarding the 10M originally coursed to DA as possible support to ""Yolanda"" affected areas.","Provided that all conditions for loan effectiveness have been met, ADB declared through a 12 August 2013 letter to DOF the effectiveness of the loan and grant for the project, effective 9 August 2013.","Under Implementation..
 
 The approved Procurement Plan has been revised to incorporate additional items (i.e. Technical Resource Pool, vehicles, others). Purchase Requests were likewise revised for the consultants, works and goods. The PR for the Technical Resource Pool has been signed; National Project Management Office has been created and functional and housed at the Forest Management Bureau. Regional Project Management office down to the Provincial Management Office has been created. Discussion with ADB in progress regarding the 10M originally coursed to DA as possible support to ""Yolanda"" affected areas.
 
 The following are the Project's physical accomplishments as of December 2013:
 
 * Withdrawal application with ADB has been cleared but NCA has not been
 issued by Department of Budget and Management;
 * Request for the opening of imprest account has been made with the Landbank;
 * The approved Procurement Plan has been revised to incorporate additional items (i.e. Technical Resource Pool, vehicles, others). Purchase Requests were likewise revised for the consultants, works and goods. The PR for the Technical Resource Pool has been signed;
 * ADB has issued NOL to all TORs of the consultants;
 * National Project Management Office has been created and functional and housed at the Forest Management Bureau. Regional Project Management office down to the Provincial Management Office has been created;
 * Regional Orientations have been done in CAR, R10 and R7 last Aug 28-29; Sept. 4-5 and Sept 11-12, respectively;
 * Discussion with ADB in progress regarding the 10M originally coursed to DA as possible support to ""Yolanda"" affected areas;
 * Follow up meetings with the LGU of Bukidnon and NCIP were conducted to strengthen implementation arrangements."
Additional Financing for the World Bank-assisted Second Land Administration and Management Project,"DENR and DOF Proposal:
  a. Tenure Security. (i) modernize the management of land records; (ii) provide cost effective access to land information; (iii) improve the delivery of land-related services; and, (iv) provide support to LGUs for revenue generation and land use and development planning
  b.Property Valuation and Taxation. Mainstream the reforms, including the necessary systems, methodologies and technologies, to LGUs, NGAs, and private sector.",Department of Environment and Natural Resources,"2,681.40",World Bank,"Agriculture, Agrarian Reform, Environment and Natural resources",> 2 Aug 2012,> 2 Aug 2012,> 18 Sept 2012,2012-2015,"CAR, Regions
 I, II, III, IV A, 
 IVB, V, VI, VII, VIII, IX, X, 
 XI, XII, XIII",Dropped from pipeline by mutual agreement between GOP and World Bank.,"The Joint ICC-CC and TB reconfirmed the approval of the project and noted the changes in project design. The notation is also with the understanding that DepEd will clarify in the Direct Funding Agreement the roles of the Project Management Unit as against the TSU; and that the cost for the engagement of experts for TSU will be shouldered by AusAID on top of the total ICC project cost. Thus, the enumerated adjustments in the project design will not affect the ICC-CC approved project cost of P960 million (AUS$24 million).
 
 Already complied with as of 31 January 2013. The Technical Support Unit (TSU) has already started and is now housed at the Department of Education working side by side with PFSED. The first Mobilization Meeting of the TSU (and Introduction to DepED/PFSED) was held on November 27, 2012. TSU is currently validating the sites for the priority cities and provinces of the project.",Dropped from pipeline by mutual agreement between GoP and WB.
Modernization of the Dr. Jose Fabella Memorial Hospital,"Construction of a new 9-storey, 800 bed hospital with emergency room facilities; offices and pharmacy; laboratory and radiology facilities; delivery room complex; intensive care unit complex, with a 130-bassinet capacity Neonatal ICU; suites, private rooms, and wards; administration offices, training facilities and auditorium; and other support facilities.",Department of Health,"2,000.25",Local Financing,Social Development,> 27 Nov 2013,"> 16 Dec 2013
> 21 Apr 2014",> 29 May 2014,"28 months
 Design Phase: 4 months
 Construction Phase: 24 months",NCR,For implementation.,"Approved, subject to DPWH vetting on the construction, and Department of Budget and Management vetting of costs (e.g., machinery, equipment, etc.)","Requested updates from DOH on 22 September 2014.  Still awaiting DOH response.

As of July 2014, the DOH provided the following updates:

1. MMDA/RDC-NCR endorsement. The project has been presented to the Infrastructure and Social Sectors of the RDC-NCR (MMDA) in May 2014, and is scheduled to be presented to the full RDC-NCR on July 8, 2014.   
2. DPWH vetting on the construction. The DOH has submitted the project documents to the DPWH for vetting on the construction. The status of the DPWH review of the project will be followed up. 
3. Environmental Impact Statement/ECC. A Department Personnel Order designating a DOH officer to prepare the EIA of the Project has been issued in May 2014 (attached). The EIA is currently under preparation."
Modernization of the Philippine Orthopedic Center,"The proposed MPOC envisages the development of a new facility located at East Avenue, Quezon City. It is intended to be a super-specialty tertiary orthopaedic hospital with a 700-bed capacity. The estimated economic life of the project is 50 years, of which the concession period is 25 years covering 2.5 years for construction period and 22.5 years as operations period.",Department of Health,"5,607.79",Public-Private Partnership (PPP),Social Development,"> 04 Oct 2013 (approved change in 11 May 2012)
> 18 Jul 2013
> 11 May 2012","> 04 Oct 2013 (approved change in 11 May 2012)
> 05 Aug 2013
> 11 May 2012","> 21 Nov 2013 (reasonableness of ROR)
 > 18 Sept 2012
 > 30 May 2012",2013-2038 (2.5 years construction and 22.5 years O&M),NCR,"Status from PPP Center website accessed on 8 September 2014:
 
 Contract signed last 06 March 2014.","ICC confirmed the reasonableness of the project's internal rate of return (IRR) on 04 October 2013.
 
 The NEDA Board confirmed the ICC's approval of the proposed project, subject to compliance by the Department of Health with the following directives:
 a) Clarify with interested private proponents that there is no guarantee that PhilHealth will follow a certain schedule of rates during the concession period of 25 years to ascertain if they are amenable to it.
 b) Include provisions on the following .in the concession agreement of the project:
 - Fixed minimum allocation of beds in the modernized POC for sponsored patients (i.e., 6O% as presented);
 - Liability of the concessionaire on any medical negligence charges filed against the hospital's physicians/medical professionals during the concession period; and
 - Provisions that will protect government interests in the event of foreclosure of the entire facility and its assets and the turnover of the same to the government before the expiry of the concession period.","Status from PPP Center website accessed on 8 September 2014:
 
 Contract signed last 06 March 2014."
Development Objective Agreement between the Republic of the Philippines and the United States of America on Family Health Improved,"The new health strategy will focus on three component areas in the health sector for which USAID has successful investments in the past and demonstrated comparative advantage:
  - Family Planning and Maternal and Child Health (FP/MCH);
  - Tuberculosis (TB) control and multi-drug resistant/extensively-drug resistant (MDR/XDR) TB treatment;
  - Creation of a comprehensive package of services model to address the highly infective HIV/AIDS among most at-risk population (MARPs) and other infectious diseases, should funds allow.",Department of Health,"8,940.62",USAID,Social Development,> 21 May 2012,> 23 May 2012 (ad referendum),"> 18 Sept 2012
 > 30 May 2012",2012-2017,Nationwide,"Under Implementation.
 
Ongoing sub-projects: Family Planning and reproductive health,Tuberculosis and Maternal Neonatal Child health and Nutrition projects.
 
Nine (9) projects under the DOAG is currently Under Implementation..","The NEDA Board confirmed the ICC-CC approval of the project with the following instructions:
 a) The project's thrid component, ""Creation of a comprehensive package of services model to address the highly infective HIV/AIDS among at risk population (MARPS) and other infectious diseases"", is subject to availability of funds from USAID.
 b) Department of Health to clearly define in the Joint Program Implementation Letters to the Agreement that it shall not include provisions allowing abortions; and
 c) Department of Budget and Management Secretary to participate in planning the information dissemination on this program to ensure that the political backlash from the program is minimized.The NB confirmation also carries the submission of the following remianing ICC requisite documents:
 a) Department of Budget and Management-certified budget strategy; and
 b) RDC endorsements.

As of 05 September 2014, the following are the updates:
 a. Department of Health has secured 9 (i.e.Regions I, III, V, VI, VIII, IX, X, XII, and CARAGA) out of 17 RDC resolutions. Follow up letters had been forwarded already to CHDs requesting assistance on the submission of RDC resolutions.
 b. Annex 1 of the signed DOAG reflected that the project's third component, (Creation of a comprehensive package of services model to address the highly infective HIV/AIDS among most at-risk population and other infectious diseases) will be undertaken depending on the availability of funds from USAID.
 c. On the Department of Budget and Management-certified budget strategy, per discussion during the ODA Review last April 10, 2014, Department of Health will instead present the GOP contribution/attribution to the project. Per 28 May 2014 DOH letter to USAID-Office of Health, DOH submitted  their counterpart report for the period September 2012 to May 2013 with total amount of contribution at PhP767,786,015.00.","Under Implementation..

Ongoing sub-projects: Family Planning and reproductive health,Tuberculosis and Maternal Neonatal Child health and Nutrition projects.

Nine (9) projects under the DOAG is currently Under Implementation.. These include: (1) Integrated Maternal, Neonatal, Child Health and Nutrition/Family Planning Regional Project in Luzon; (2) Integrated Maternal, Neonatal, Child Health and Nutrition/Family Planning Regional Project in Visayas; (3) Integrated Maternal, Neonatal, Child Health and Nutrition/Family Planning Regional Project in Mindanao; (4) Innovations and Multi-Sectoral Partnerships to Achieve Control of Tuberculosis; (5) Health Policy Development Program 2; (6) Communication for Health Advancement through Networking and Governance Enhancement; (7) Maternal, Neonatal, Child Health and Nutrition Scale Up; (8) Reaching Out to Most-at-risk Populations; (9) Maternal and Child Health Integrated Program.
 
 Total obligated funds for the DOAG is US$64.98 million (USAID contribution of US$48.74 million and GOP contribution of US$16.25 million), as reflected in the Amendment No. 1, which was signed by both parties on 24 September 2013.
 
 Department of Health through its letter on 11 June 2013 endorsed the six (6) projects under DOAG for NEDA review. The NEDA Secretariat forwarded its comments to Department of Health on 17 July 2013, for Department of Health consideration. NEDA is awaiting Department of Health response to the NS comments. 
 
 USAID and Department of Health jointly launched the new projects under DOAG on 16 May 2013.
 
 Department of Health signed concurrence with the Joint Project Implementation Letter Nos. 1, the conditions for first disbursement of DOAg has been met on schedule; 2 (lists of New Health Projects under the signed DOAG) and 3 (Implementation Arrangements under the DOAG). 
 
 The Development Objective Agreement between the Republic of the Philippines and the United States of America on Family Health Improved was signed by Department of Health Secretary Enrique T. Ona and Ms. Gloria D. Steele on 28 September 2012."
